# Diamond Light Source
# Instrument: B18-CORE XAS Date: Fri, 29 Jul 2016 08:40:23 BST
# Ring energy:   3.0
# Ring current - start: 301.5
# Primary slits:  vertical gap=  2.4; horizontal gap= 52.0; vertical offset=  0.4; horizontal offset= -1.0
# Secondary slits:  vertical gap=  3.0; horizontal gap= 25.0; vertical offset=  5.1; horizontal offset= 18.3
# OH Mirror Coating: Cr
# White beam filter: 140um PyC
# Crystal cut: Si(111)
# PostDCM slits:  vertical gap=  3.6; horizontal gap= 28.0; vertical offset= -7.2; horizontal offset= 19.0
# Experimental slits:  vertical gap= 28.6; horizontal gap= 45.0; vertical offset=  5.7; horizontal offset= -17.5
# HR Mirror : out; Y: 40.0; Pitch:  1.3; Coating: Cr
# Mirror 2: Pitch:  2.3; Height: -6.2; Yaw: -1.5; Bend:  0.8;
# I0 Stanford sensitivity: 500 nA/V Offsets: 20 pA
# It Stanford sensitivity: 1 uA/V Offsets: 1 pA
# Iref Stanford sensitivity: 200 nA/V Offsets: 1 pA
#
# Ascii output file name: 'Andrea_Pt//ascii/263814_PtSn_OCA_1.dat'
# Nexus output file: '/dls/b18/data/2016/sp10306-9/Andrea_Pt//nexus/263814_PtSn_OCA_1.nxs'
# XML folder and files:
# /dls/b18/data/2016/sp10306-9/xml/Andrea_Pt/
# QEXAFS_Parameters1
# Sample_Parameters1
# Detector_Parameters1
# Output_Parameters1
# The contents of these files are also stored in the nexus file.
#
# Sample name: PtSn_OCA
# Sample description: default sample description
# Additional comments: default additional comments
# command: qexafs_energy 11364.0 13000.0 3266 63.59 qexafs_counterTimer01
#
#
# qexafs_energy	    time	      I0	      It	    Iref	   lnI0It	 lnItIref
     11364.22	0.019014	134613.0	291711.0	283514.0	-0.773360	0.0285021
     11364.66	0.018883	133959.0	290104.0	281995.0	-0.772706	0.0283501
     11365.09	0.017628	124738.0	270318.0	262783.0	-0.773384	0.0282704
     11365.53	0.017997	127378.0	275962.0	268290.0	-0.773104	0.0281947
     11365.97	0.018681	132116.0	286300.0	278393.0	-0.773360	0.0280064
     11366.40	0.019318	136377.0	295645.0	287527.0	-0.773736	0.0278426
     11366.84	0.020391	143968.0	312058.0	303515.0	-0.773598	0.0277580
     11367.28	0.020040	141444.0	306616.0	298278.0	-0.773692	0.0275702
     11367.72	0.021174	149246.0	323669.0	314869.0	-0.774125	0.0275647
     11368.15	0.020561	145018.0	314454.0	305994.0	-0.773980	0.0272723
     11368.59	0.019867	140224.0	304050.0	295939.0	-0.773951	0.0270388
     11369.03	0.020330	143275.0	310747.0	302393.0	-0.774213	0.0272516
     11369.47	0.019741	138983.0	301566.0	293601.0	-0.774637	0.0267672
     11369.90	0.019308	135602.0	294551.0	286776.0	-0.775728	0.0267507
     11370.34	0.019104	134720.0	292299.0	284629.0	-0.774579	0.0265907
     11370.78	0.018892	133429.0	289441.0	281916.0	-0.774382	0.0263423
     11371.22	0.019562	137553.0	298780.0	290998.0	-0.775698	0.0263911
     11371.65	0.019191	135042.0	293270.0	285698.0	-0.775508	0.0261584
     11372.09	0.019155	135040.0	293230.0	285689.0	-0.775386	0.0260535
     11372.53	0.020214	142462.0	309428.0	301584.0	-0.775650	0.0256768
     11372.97	0.019315	136090.0	295657.0	288163.0	-0.775884	0.0256737
     11373.40	0.018466	130352.0	283097.0	275974.0	-0.775551	0.0254829
