# Diamond Light Source
# Instrument: B18-CORE XAS Date: Fri, 29 Jul 2016 08:53:28 BST
# Ring energy:   3.0
# Ring current - start: 300.8
# Primary slits:  vertical gap=  2.4; horizontal gap= 52.0; vertical offset=  0.4; horizontal offset= -1.0
# Secondary slits:  vertical gap=  3.0; horizontal gap= 25.0; vertical offset=  5.1; horizontal offset= 18.3
# OH Mirror Coating: Cr
# White beam filter: 140um PyC
# Crystal cut: Si(111)
# PostDCM slits:  vertical gap=  3.6; horizontal gap= 28.0; vertical offset= -7.2; horizontal offset= 19.0
# Experimental slits:  vertical gap= 28.6; horizontal gap= 45.0; vertical offset=  5.7; horizontal offset= -17.5
# HR Mirror : out; Y: 40.0; Pitch:  1.3; Coating: Cr
# Mirror 2: Pitch:  2.3; Height: -6.2; Yaw: -1.5; Bend:  0.8;
# I0 Stanford sensitivity: 500 nA/V Offsets: 20 pA
# It Stanford sensitivity: 1 uA/V Offsets: 1 pA
# Iref Stanford sensitivity: 200 nA/V Offsets: 1 pA
#
# Ascii output file name: 'Andrea_Pt//ascii/263824_PtSn_OCH_1.dat'
# Nexus output file: '/dls/b18/data/2016/sp10306-9/Andrea_Pt//nexus/263824_PtSn_OCH_1.nxs'
# XML folder and files:
# /dls/b18/data/2016/sp10306-9/xml/Andrea_Pt/
# QEXAFS_Parameters3
# Sample_Parameters3
# Detector_Parameters3
# Output_Parameters3
# The contents of these files are also stored in the nexus file.
#
# Sample name: PtSn_OCH
# Sample description: default sample description
# Additional comments: default additional comments
# command: qexafs_energy 11364.0 13000.0 3266 63.59 qexafs_counterTimer01
#
#
# qexafs_energy	    time	      I0	      It	   Iref	  lnI0It	 lnItIref
     11364.22	0.019131	134689.0	100398.0	96161.0	0.293826	0.0431184
     11364.66	0.018841	132477.0	98808.0	94638.0	0.293230	0.0431195
     11365.09	0.018721	131896.0	98806.0	94695.0	0.288855	0.0424971
     11365.53	0.017807	124989.0	93196.0	89281.0	0.293521	0.0429161
     11365.97	0.018643	131017.0	98014.0	93910.0	0.290217	0.0427734
     11366.40	0.018517	130180.0	97589.0	93533.0	0.288153	0.0424505
     11366.84	0.019470	136535.0	101972.0	97719.0	0.291883	0.0426023
     11367.28	0.020512	143978.0	107813.0	103336.0	0.289262	0.0424124
     11367.72	0.019525	137117.0	102816.0	98589.0	0.287894	0.0419813
     11368.15	0.021561	151363.0	113436.0	108741.0	0.288442	0.0422699
     11368.59	0.020562	144267.0	107885.0	103484.0	0.290600	0.0416488
     11369.03	0.020874	146539.0	109791.0	105276.0	0.288713	0.0419931
     11369.47	0.019465	136516.0	102089.0	97919.0	0.290597	0.0417044
     11369.90	0.018959	133073.0	99536.0	95504.0	0.290378	0.0413513
     11370.34	0.019225	134739.0	100576.0	96518.0	0.292426	0.0411841
     11370.78	0.018864	132394.0	98948.0	94928.0	0.291188	0.0414758
     11371.22	0.019109	133842.0	99601.0	95591.0	0.295488	0.0410935
     11371.65	0.019099	133963.0	99928.0	95908.0	0.293114	0.0410605
     11372.09	0.019042	133208.0	98804.0	94877.0	0.298774	0.0405568
     11372.53	0.020233	141752.0	105370.0	101181.0	0.296601	0.0405670
     11372.97	0.019445	136113.0	100855.0	96844.0	0.299802	0.0405824
     11373.40	0.019275	135139.0	100468.0	96485.0	0.296465	0.0404517
     11373.84	0.019356	135965.0	101390.0	97428.0	0.293423	0.0398608
     11374.28	0.019718	138257.0	102739.0	98698.0	0.296922	0.0401271
     11374.72	0.019409	136669.0	102439.0	98439.0	0.288294	0.0398304
     11375.15	0.019835	139422.0	104201.0	100133.0	0.291184	0.0398224
     11375.59	0.019377	136076.0	101629.0	97679.0	0.291885	0.0396423
     11376.03	0.018724	131664.0	98714.0	94851.0	0.288026	0.0399195
     11376.47	0.017613	123867.0	92933.0	89352.0	0.287330	0.0392952
     11376.91	0.018065	126907.0	95175.0	91509.0	0.287737	0.0392800
     11377.34	0.018018	126402.0	94615.0	90987.0	0.289651	0.0390994
     11377.78	0.020939	146699.0	109599.0	105406.0	0.291555	0.0390087
     11378.22	0.020095	141010.0	105860.0	101832.0	0.286713	0.0387931
     11378.66	0.020229	141826.0	106278.0	102248.0	0.288543	0.0386571
     11379.10	0.020463	143548.0	107742.0	103680.0	0.286930	0.0384302
     11379.53	0.020210	141514.0	105889.0	101923.0	0.290007	0.0381737
     11379.97	0.020526	143742.0	107676.0	103657.0	0.288893	0.0380393
     11380.41	0.019807	138656.0	103843.0	99936.0	0.289116	0.0383502
     11380.85	0.019566	137012.0	102722.0	98902.0	0.288042	0.0378968
     11381.29	0.019779	138265.0	103394.0	99556.0	0.290625	0.0378266
     11381.73	0.019210	134517.0	100923.0	97196.0	0.287333	0.0376283
     11382.16	0.018291	127988.0	95867.0	92331.0	0.288975	0.0375819
     11382.60	0.019141	133766.0	99977.0	96320.0	0.291152	0.0372642
     11383.04	0.018852	131830.0	98689.0	95077.0	0.289540	0.0372864
     11383.48	0.019537	136634.0	102325.0	98604.0	0.289152	0.0370422
     11383.92	0.019416	135798.0	101715.0	98004.0	0.288994	0.0371665
     11384.36	0.019092	133072.0	99037.0	95503.0	0.295397	0.0363359
     11384.79	0.019250	134417.0	100484.0	96852.0	0.290948	0.0368145
     11385.23	0.019868	139168.0	104538.0	100803.0	0.286131	0.0363825
     11385.67	0.020458	142914.0	106881.0	103044.0	0.290527	0.0365600
     11386.11	0.019719	137705.0	102949.0	99282.0	0.290880	0.0362694
     11386.55	0.020009	139948.0	104922.0	101222.0	0.288054	0.0359011
     11386.99	0.019125	133455.0	99724.0	96221.0	0.291358	0.0357587
     11387.43	0.018486	128963.0	96373.0	92971.0	0.291299	0.0359385
     11387.87	0.018195	126956.0	95019.0	91681.0	0.289764	0.0357617
     11388.30	0.017597	122673.0	91679.0	88482.0	0.291229	0.0354942
     11388.74	0.018412	128547.0	96303.0	92918.0	0.288795	0.0357821
