# Diamond Light Source
# Instrument: B18-CORE XAS Date: Fri, 29 Jul 2016 08:54:46 BST
# Ring energy:   3.0
# Ring current - start: 300.4
# Primary slits:  vertical gap=  2.4; horizontal gap= 52.0; vertical offset=  0.4; horizontal offset= -1.0
# Secondary slits:  vertical gap=  3.0; horizontal gap= 25.0; vertical offset=  5.1; horizontal offset= 18.3
# OH Mirror Coating: Cr
# White beam filter: 140um PyC
# Crystal cut: Si(111)
# PostDCM slits:  vertical gap=  3.6; horizontal gap= 28.0; vertical offset= -7.2; horizontal offset= 19.0
# Experimental slits:  vertical gap= 28.6; horizontal gap= 45.0; vertical offset=  5.7; horizontal offset= -17.5
# HR Mirror : out; Y: 40.0; Pitch:  1.3; Coating: Cr
# Mirror 2: Pitch:  2.3; Height: -6.2; Yaw: -1.5; Bend:  0.8;
# I0 Stanford sensitivity: 500 nA/V Offsets: 20 pA
# It Stanford sensitivity: 1 uA/V Offsets: 1 pA
# Iref Stanford sensitivity: 200 nA/V Offsets: 1 pA
#
# Ascii output file name: 'Andrea_Pt//ascii/263825_PtSn_OCH_2.dat'
# Nexus output file: '/dls/b18/data/2016/sp10306-9/Andrea_Pt//nexus/263825_PtSn_OCH_2.nxs'
# XML folder and files:
# /dls/b18/data/2016/sp10306-9/xml/Andrea_Pt/
# QEXAFS_Parameters3
# Sample_Parameters3
# Detector_Parameters3
# Output_Parameters3
# The contents of these files are also stored in the nexus file.
#
# Sample name: PtSn_OCH
# Sample description: default sample description
# Additional comments: default additional comments
# command: qexafs_energy 11364.0 13000.0 3266 63.59 qexafs_counterTimer01
#
#
# qexafs_energy	    time	      I0	     It	   Iref	  lnI0It	 lnItIref
     11364.22	0.019079	133923.0	99614.0	95397.0	0.295962	0.0432556
     11364.66	0.019232	135150.0	100817.0	96558.0	0.293078	0.0431631
     11365.09	0.018508	129959.0	97104.0	93052.0	0.291436	0.0426241
     11365.53	0.017489	122694.0	91589.0	87725.0	0.292382	0.0431043
     11365.97	0.018776	131474.0	97960.0	93852.0	0.294250	0.0428402
     11366.40	0.018547	130188.0	97566.0	93494.0	0.288450	0.0426318
     11366.84	0.020262	142037.0	106304.0	101883.0	0.289785	0.0424778
     11367.28	0.020348	142317.0	106142.0	101720.0	0.293279	0.0425539
     11367.72	0.020176	141421.0	105936.0	101565.0	0.288906	0.0421362
     11368.15	0.021090	147731.0	110503.0	105980.0	0.290350	0.0417923
     11368.59	0.020356	142374.0	106279.0	101868.0	0.292390	0.0423899
     11369.03	0.020867	146083.0	109210.0	104732.0	0.290902	0.0418679
     11369.47	0.019947	139676.0	104381.0	100123.0	0.291278	0.0416482
     11369.90	0.018565	129764.0	96692.0	92732.0	0.294187	0.0418171
     11370.34	0.019259	134772.0	100583.0	96503.0	0.292601	0.0414092
     11370.78	0.018649	130252.0	96829.0	92910.0	0.296524	0.0413153
     11371.22	0.019511	136525.0	101710.0	97593.0	0.294382	0.0413199
     11371.65	0.019515	136692.0	101983.0	97899.0	0.292924	0.0408698
     11372.09	0.019225	134148.0	99241.0	95287.0	0.301392	0.0406578
     11372.53	0.020022	139961.0	103772.0	99646.0	0.299168	0.0405723
     11372.97	0.019492	136463.0	101545.0	97518.0	0.295551	0.0404651
     11373.40	0.019246	134882.0	100402.0	96413.0	0.295218	0.0405411
