# Diamond Light Source
# Instrument: B18-CORE XAS Date: Fri, 29 Jul 2016 09:10:25 BST
# Ring energy:   3.0
# Ring current - start: 301.8
# Primary slits:  vertical gap=  2.4; horizontal gap= 52.0; vertical offset=  0.4; horizontal offset= -1.0
# Secondary slits:  vertical gap=  3.0; horizontal gap= 25.0; vertical offset=  5.1; horizontal offset= 18.3
# OH Mirror Coating: Cr
# White beam filter: 140um PyC
# Crystal cut: Si(111)
# PostDCM slits:  vertical gap=  3.6; horizontal gap= 28.0; vertical offset= -7.2; horizontal offset= 19.0
# Experimental slits:  vertical gap= 28.6; horizontal gap= 45.0; vertical offset=  5.7; horizontal offset= -17.5
# HR Mirror : out; Y: 40.0; Pitch:  1.3; Coating: Cr
# Mirror 2: Pitch:  2.3; Height: -6.2; Yaw: -1.5; Bend:  0.8;
# I0 Stanford sensitivity: 500 nA/V Offsets: 20 pA
# It Stanford sensitivity: 1 uA/V Offsets: 1 pA
# Iref Stanford sensitivity: 200 nA/V Offsets: 1 pA
#
# Ascii output file name: 'Andrea_Pt//ascii/263837_PtSn_alloy_6.dat'
# Nexus output file: '/dls/b18/data/2016/sp10306-9/Andrea_Pt//nexus/263837_PtSn_alloy_6.nxs'
# XML folder and files:
# /dls/b18/data/2016/sp10306-9/xml/Andrea_Pt/
# QEXAFS_Parameters4
# Sample_Parameters4
# Detector_Parameters4
# Output_Parameters4
# The contents of these files are also stored in the nexus file.
#
# Sample name: PtSn_alloy
# Sample description: default sample description
# Additional comments: default additional comments
# command: qexafs_energy 11364.0 13000.0 3266 63.59 qexafs_counterTimer01
#
#
# qexafs_energy	    time	      I0	      It	    Iref	   lnI0It	 lnItIref
     11364.22	0.018702	131299.0	188621.0	182205.0	-0.362263	0.0346073
     11364.66	0.018603	130299.0	187092.0	180730.0	-0.361769	0.0345963
     11365.09	0.018710	131114.0	188265.0	181906.0	-0.361783	0.0343605
     11365.53	0.017940	125670.0	180558.0	174437.0	-0.362393	0.0344884
     11365.97	0.018572	130035.0	186851.0	180582.0	-0.362508	0.0341265
     11366.40	0.018604	130287.0	187359.0	181076.0	-0.363287	0.0341097
     11366.84	0.019984	139731.0	200812.0	194149.0	-0.362650	0.0337432
     11367.28	0.020171	141164.0	203039.0	196323.0	-0.363476	0.0336368
     11367.72	0.020518	143695.0	206676.0	199847.0	-0.363459	0.0336003
     11368.15	0.021459	149824.0	215329.0	208255.0	-0.362706	0.0334038
     11368.59	0.020241	141454.0	203372.0	196757.0	-0.363062	0.0330673
     11369.03	0.020823	145670.0	209576.0	202713.0	-0.363743	0.0332953
     11369.47	0.019387	135293.0	194491.0	188218.0	-0.362943	0.0327850
     11369.90	0.019179	134149.0	193116.0	186842.0	-0.364340	0.0330277
     11370.34	0.018986	132734.0	191019.0	184845.0	-0.364026	0.0328553
     11370.78	0.018607	129825.0	186706.0	180706.0	-0.363348	0.0326638
     11371.22	0.018652	130440.0	187813.0	181817.0	-0.364533	0.0324461
     11371.65	0.019583	136660.0	196635.0	190422.0	-0.363853	0.0321066
     11372.09	0.019408	135471.0	194989.0	188796.0	-0.364186	0.0322761
     11372.53	0.020079	140161.0	201766.0	195437.0	-0.364317	0.0318705
     11372.97	0.019833	138592.0	199623.0	193368.0	-0.364896	0.0318355
     11373.40	0.019118	133702.0	192605.0	186560.0	-0.365028	0.0318886
     11373.84	0.019194	134420.0	193646.0	187607.0	-0.365063	0.0316824
     11374.28	0.019636	137428.0	197865.0	191759.0	-0.364485	0.0313456
     11374.72	0.019597	137354.0	197845.0	191775.0	-0.364922	0.0311611
     11375.15	0.019980	140216.0	202035.0	195812.0	-0.365257	0.0312859
     11375.59	0.019148	134216.0	193320.0	187370.0	-0.364896	0.0312616
     11376.03	0.018673	130811.0	188485.0	182736.0	-0.365265	0.0309759
     11376.47	0.017978	125818.0	181225.0	175734.0	-0.364903	0.0307679
     11376.91	0.017906	125436.0	180853.0	175401.0	-0.365889	0.0306098
     11377.34	0.017474	122206.0	176162.0	170866.0	-0.365696	0.0305244
     11377.78	0.021094	147593.0	212810.0	206442.0	-0.365941	0.0303802
     11378.22	0.020317	142120.0	204854.0	198789.0	-0.365626	0.0300536
     11378.66	0.020105	140566.0	202759.0	196708.0	-0.366341	0.0302977
     11379.10	0.020876	146043.0	210684.0	204484.0	-0.366458	0.0298696
     11379.53	0.020072	140029.0	201938.0	195983.0	-0.366111	0.0299328
     11379.97	0.020764	144973.0	209181.0	203033.0	-0.366652	0.0298314
     11380.41	0.019835	138762.0	200353.0	194517.0	-0.367321	0.0295612
     11380.85	0.019430	135660.0	195826.0	190130.0	-0.367075	0.0295185
     11381.29	0.019564	136667.0	197316.0	191649.0	-0.367259	0.0291409
     11381.73	0.018666	130258.0	188080.0	182634.0	-0.367350	0.0293833
     11382.16	0.018715	130658.0	188714.0	183296.0	-0.367649	0.0291303
     11382.60	0.018834	131143.0	189181.0	183808.0	-0.366416	0.0288125
     11383.04	0.018571	129410.0	186851.0	181562.0	-0.367326	0.0287143
     11383.48	0.019875	138484.0	199957.0	194330.0	-0.367348	0.0285446
     11383.92	0.018957	132025.0	190609.0	185239.0	-0.367233	0.0285773
     11384.36	0.019486	135757.0	196020.0	190575.0	-0.367350	0.0281709
     11384.79	0.019774	137944.0	199298.0	193759.0	-0.367953	0.0281861
     11385.23	0.019986	139222.0	201133.0	195592.0	-0.367897	0.0279355
     11385.67	0.020029	139456.0	201438.0	195904.0	-0.367733	0.0278569
     11386.11	0.019643	136988.0	198061.0	192627.0	-0.368682	0.0278194
     11386.55	0.020276	141162.0	204045.0	198496.0	-0.368432	0.0275716
     11386.99	0.018851	131071.0	189420.0	184314.0	-0.368228	0.0273259
     11387.43	0.018306	127422.0	184272.0	179291.0	-0.368909	0.0274027
     11387.87	0.018055	125389.0	181195.0	176342.0	-0.368153	0.0271485
     11388.30	0.017506	121670.0	175916.0	171212.0	-0.368694	0.0271041
     11388.74	0.018896	131401.0	190111.0	185048.0	-0.369354	0.0269929
     11389.18	0.019456	135078.0	195351.0	190207.0	-0.368946	0.0266850
     11389.62	0.019911	138658.0	200752.0	195487.0	-0.370060	0.0265764
     11390.06	0.021692	151041.0	218748.0	213014.0	-0.370369	0.0265625
     11390.50	0.021315	148331.0	214770.0	209122.0	-0.370121	0.0266499
     11390.94	0.020908	145867.0	211386.0	205947.0	-0.370991	0.0260670
     11391.38	0.020772	144625.0	209424.0	203986.0	-0.370217	0.0263095
     11391.82	0.020174	140311.0	203055.0	197897.0	-0.369615	0.0257302
     11392.26	0.019075	132921.0	192483.0	187514.0	-0.370253	0.0261543
     11392.69	0.019227	134110.0	194217.0	189290.0	-0.370316	0.0256959
     11393.13	0.018624	130044.0	188301.0	183569.0	-0.370169	0.0254511
     11393.57	0.018222	127046.0	183881.0	179266.0	-0.369740	0.0254181
