# Diamond Light Source
# Instrument: B18-CORE XAS Date: Fri, 29 Jul 2016 09:13:04 BST
# Ring energy:   3.0
# Ring current - start: 300.9
# Primary slits:  vertical gap=  2.4; horizontal gap= 52.0; vertical offset=  0.4; horizontal offset= -1.0
# Secondary slits:  vertical gap=  3.0; horizontal gap= 25.0; vertical offset=  5.1; horizontal offset= 18.3
# OH Mirror Coating: Cr
# White beam filter: 140um PyC
# Crystal cut: Si(111)
# PostDCM slits:  vertical gap=  3.6; horizontal gap= 28.0; vertical offset= -7.2; horizontal offset= 19.0
# Experimental slits:  vertical gap= 28.6; horizontal gap= 45.0; vertical offset=  5.7; horizontal offset= -17.5
# HR Mirror : out; Y: 40.0; Pitch:  1.3; Coating: Cr
# Mirror 2: Pitch:  2.3; Height: -6.2; Yaw: -1.5; Bend:  0.8;
# I0 Stanford sensitivity: 500 nA/V Offsets: 20 pA
# It Stanford sensitivity: 1 uA/V Offsets: 1 pA
# Iref Stanford sensitivity: 200 nA/V Offsets: 1 pA
#
# Ascii output file name: 'Andrea_Pt//ascii/263839_PtSn_3_1_EG_2.dat'
# Nexus output file: '/dls/b18/data/2016/sp10306-9/Andrea_Pt//nexus/263839_PtSn_3_1_EG_2.nxs'
# XML folder and files:
# /dls/b18/data/2016/sp10306-9/xml/Andrea_Pt/
# QEXAFS_Parameters5
# Sample_Parameters5
# Detector_Parameters5
# Output_Parameters5
# The contents of these files are also stored in the nexus file.
#
# Sample name: PtSn_3_1_EG
# Sample description: default sample description
# Additional comments: default additional comments
# command: qexafs_energy 11364.0 13000.0 3266 63.59 qexafs_counterTimer01
#
#
# qexafs_energy	    time	      I0	      It	    Iref	  lnI0It	 lnItIref
     11364.22	0.018927	132383.0	111008.0	106690.0	0.176097	0.0396748
     11364.66	0.019157	134291.0	113053.0	108670.0	0.172152	0.0395410
     11365.09	0.018173	127053.0	106757.0	102670.0	0.174049	0.0390353
     11365.53	0.017726	123881.0	104183.0	100181.0	0.173172	0.0391704
     11365.97	0.018560	129459.0	108745.0	104599.0	0.174359	0.0388717
     11366.40	0.019271	134606.0	113392.0	109039.0	0.171501	0.0391452
     11366.84	0.020526	143271.0	120570.0	115996.0	0.172507	0.0386748
     11367.28	0.020115	140571.0	118578.0	114088.0	0.170142	0.0386009
     11367.72	0.020321	141716.0	119224.0	114757.0	0.172821	0.0381872
     11368.15	0.020988	146452.0	123246.0	118600.0	0.172515	0.0384259
     11368.59	0.019909	139108.0	117305.0	112898.0	0.170473	0.0382926
     11369.03	0.020919	145869.0	122683.0	118120.0	0.173105	0.0379027
     11369.47	0.019996	139285.0	117028.0	112663.0	0.174109	0.0380122
     11369.90	0.019480	136143.0	114806.0	110577.0	0.170462	0.0375316
     11370.34	0.019250	134151.0	112596.0	108426.0	0.175160	0.0377383
     11370.78	0.018457	128585.0	107897.0	103910.0	0.175413	0.0376519
     11371.22	0.019097	133216.0	111909.0	107816.0	0.174286	0.0372600
     11371.65	0.019238	133903.0	112114.0	107982.0	0.177599	0.0375517
     11372.09	0.019490	135649.0	113469.0	109360.0	0.178541	0.0368845
     11372.53	0.020019	139557.0	117030.0	112774.0	0.176043	0.0370445
     11372.97	0.019364	134959.0	113090.0	109003.0	0.176787	0.0368086
     11373.40	0.018657	130124.0	109114.0	105180.0	0.176095	0.0367200
     11373.84	0.019380	135293.0	113632.0	109565.0	0.174478	0.0364472
     11374.28	0.019302	134972.0	113522.0	109491.0	0.173071	0.0361543
     11374.72	0.019983	139661.0	117531.0	113393.0	0.172516	0.0358425
     11375.15	0.019637	137349.0	115716.0	111601.0	0.171386	0.0362089
     11375.59	0.019383	135455.0	114079.0	110053.0	0.171748	0.0359291
     11376.03	0.018317	128180.0	108279.0	104475.0	0.168724	0.0357634
     11376.47	0.018015	125936.0	106323.0	102581.0	0.169292	0.0358289
     11376.91	0.018208	127144.0	107244.0	103528.0	0.170214	0.0352645
     11377.34	0.017864	124663.0	105144.0	101504.0	0.170283	0.0352326
     11377.78	0.021329	148963.0	125800.0	121465.0	0.169005	0.0350672
     11378.22	0.019962	139145.0	117290.0	113223.0	0.170867	0.0352902
     11378.66	0.020143	140209.0	118083.0	114053.0	0.171746	0.0347245
     11379.10	0.020726	144602.0	122154.0	117985.0	0.168703	0.0347250
     11379.53	0.020118	140233.0	118400.0	114357.0	0.169237	0.0347436
     11379.97	0.020383	141934.0	119700.0	115622.0	0.170374	0.0346624
     11380.41	0.019824	137984.0	116350.0	112440.0	0.170535	0.0341831
     11380.85	0.019384	135150.0	114245.0	110382.0	0.168040	0.0343982
     11381.29	0.019391	134418.0	112876.0	109105.0	0.174664	0.0339791
     11381.73	0.019176	133212.0	112119.0	108404.0	0.172381	0.0336958
     11382.16	0.018833	130948.0	110403.0	106719.0	0.170663	0.0339381
     11382.60	0.018849	131160.0	110645.0	106972.0	0.170091	0.0337598
     11383.04	0.018851	130979.0	110306.0	106673.0	0.171779	0.0334902
     11383.48	0.019687	136845.0	115357.0	111568.0	0.170817	0.0333974
     11383.92	0.019071	132740.0	112057.0	108379.0	0.169385	0.0333733
     11384.36	0.019148	133329.0	112585.0	108922.0	0.169111	0.0330765
     11384.79	0.019436	134907.0	113423.0	109761.0	0.173461	0.0328189
     11385.23	0.019752	137062.0	115252.0	111542.0	0.173312	0.0327198
     11385.67	0.020305	141110.0	118955.0	115099.0	0.170794	0.0329526
     11386.11	0.019560	135654.0	114008.0	110355.0	0.173839	0.0325662
     11386.55	0.019873	137890.0	116131.0	112392.0	0.171737	0.0327261
     11386.99	0.019745	136942.0	115323.0	111697.0	0.171821	0.0319470
     11387.43	0.018448	128056.0	108033.0	104596.0	0.170031	0.0323314
     11387.87	0.017789	123354.0	103982.0	100714.0	0.170840	0.0319330
     11388.30	0.017634	122262.0	102937.0	99690.0	0.172049	0.0320518
     11388.74	0.018668	129294.0	108808.0	105418.0	0.172504	0.0316515
     11389.18	0.019367	134148.0	112813.0	109311.0	0.173212	0.0315346
     11389.62	0.020106	139368.0	117197.0	113557.0	0.173262	0.0315514
     11390.06	0.021700	150399.0	126615.0	122708.0	0.172141	0.0313434
     11390.50	0.021277	147470.0	123987.0	120168.0	0.173448	0.0312860
     11390.94	0.020953	145530.0	122636.0	118901.0	0.171162	0.0309294
     11391.38	0.020833	144714.0	121932.0	118220.0	0.171296	0.0309162
     11391.82	0.019925	138357.0	116409.0	112871.0	0.172727	0.0308643
     11392.26	0.019320	134410.0	113497.0	110075.0	0.169118	0.0306145
     11392.69	0.019657	136731.0	115352.0	111879.0	0.170027	0.0305704
     11393.13	0.018332	127789.0	108119.0	104891.0	0.167148	0.0303108
     11393.57	0.018391	127984.0	108002.0	104785.0	0.169756	0.0302391
     11394.01	0.018074	125950.0	106490.0	103306.0	0.167834	0.0303556
     11394.45	0.019040	132605.0	112128.0	108811.0	0.167734	0.0300286
     11394.89	0.018538	129373.0	109547.0	106318.0	0.166346	0.0299191
     11395.33	0.019392	135151.0	114324.0	111008.0	0.167356	0.0294343
     11395.77	0.019548	136119.0	115036.0	111712.0	0.168284	0.0293210
     11396.21	0.019487	135848.0	115025.0	111684.0	0.166387	0.0294760
     11396.65	0.019877	138591.0	117367.0	113971.0	0.166221	0.0293617
     11397.09	0.020624	143640.0	121624.0	118120.0	0.166376	0.0292333
     11397.53	0.020031	139533.0	118121.0	114777.0	0.166592	0.0287184
     11397.97	0.018482	128763.0	109077.0	105944.0	0.165919	0.0291434
     11398.41	0.019453	134985.0	113870.0	110626.0	0.170106	0.0289023
     11398.85	0.016941	117576.0	99303.0	96502.0	0.168909	0.0286120
     11399.29	0.017932	124478.0	105207.0	102248.0	0.168199	0.0285286
     11399.73	0.018561	129252.0	109745.0	106680.0	0.163604	0.0283258
     11400.17	0.018965	131618.0	111294.0	108202.0	0.167728	0.0281755
     11400.61	0.020284	140997.0	119415.0	116078.0	0.166134	0.0283424
     11401.05	0.020514	142299.0	120285.0	116979.0	0.168067	0.0278695
     11401.49	0.021887	151932.0	128543.0	125011.0	0.167170	0.0278617
     11401.93	0.021212	147276.0	124682.0	121252.0	0.166542	0.0278955
     11402.37	0.020533	142342.0	120359.0	117056.0	0.167754	0.0278265
     11402.81	0.019090	132384.0	111895.0	108884.0	0.168146	0.0272778
     11403.25	0.019091	132351.0	111821.0	108806.0	0.168558	0.0273329
     11403.69	0.019220	133420.0	113025.0	110006.0	0.165893	0.0270741
     11404.13	0.018569	129042.0	109419.0	106480.0	0.164953	0.0272274
     11404.57	0.018347	127448.0	108051.0	105190.0	0.165105	0.0268351
     11405.01	0.018766	130441.0	110642.0	107732.0	0.164621	0.0266531
     11405.45	0.019225	133927.0	113995.0	110986.0	0.161140	0.0267505
     11405.89	0.020253	140479.0	118932.0	115821.0	0.166506	0.0265060
     11406.33	0.019043	132310.0	112356.0	109407.0	0.163475	0.0265975
     11406.77	0.019841	138112.0	117551.0	114486.0	0.161193	0.0264197
     11407.21	0.019323	134276.0	114035.0	111075.0	0.163392	0.0262998
     11407.65	0.018912	131363.0	111558.0	108687.0	0.163420	0.0260724
     11408.09	0.020833	144817.0	123139.0	120030.0	0.162157	0.0255721
     11408.53	0.019519	135549.0	115115.0	112213.0	0.163402	0.0255328
     11408.97	0.019598	136120.0	115661.0	112725.0	0.162873	0.0257123
     11409.41	0.018975	131713.0	111777.0	109007.0	0.164119	0.0250937
     11409.85	0.018511	128146.0	108459.0	105781.0	0.166798	0.0250013
     11410.29	0.018209	126648.0	108023.0	105320.0	0.159067	0.0253408
     11410.73	0.018253	127070.0	108413.0	105764.0	0.158790	0.0247378
     11411.17	0.019272	133464.0	113159.0	110398.0	0.165038	0.0247019
     11411.61	0.020044	139036.0	118147.0	115270.0	0.162803	0.0246524
     11412.05	0.020305	140959.0	119936.0	117033.0	0.161511	0.0245023
     11412.49	0.020513	142199.0	120876.0	117961.0	0.162462	0.0244112
     11412.93	0.020880	144785.0	123214.0	120256.0	0.161327	0.0242999
     11413.37	0.020540	142152.0	120662.0	117757.0	0.163904	0.0243701
     11413.82	0.020535	142524.0	121429.0	118576.0	0.160181	0.0237756
     11414.26	0.019013	131835.0	112166.0	109552.0	0.161571	0.0235806
     11414.70	0.019205	132840.0	112721.0	110100.0	0.164230	0.0235267
     11415.14	0.018696	129625.0	110437.0	107852.0	0.160200	0.0236853
     11415.58	0.018534	128244.0	109017.0	106488.0	0.162431	0.0234715
     11416.02	0.019744	136509.0	115883.0	113203.0	0.163809	0.0233984
     11416.46	0.019030	131743.0	112118.0	109574.0	0.161301	0.0229518
     11416.90	0.018928	131133.0	111773.0	109230.0	0.159742	0.0230143
     11417.34	0.019547	135425.0	115371.0	112792.0	0.160265	0.0226076
     11417.78	0.018951	131186.0	111659.0	109148.0	0.161167	0.0227448
     11418.23	0.019915	137497.0	116879.0	114305.0	0.162463	0.0222689
     11418.67	0.019559	134976.0	114803.0	112260.0	0.161879	0.0224000
     11419.11	0.019768	136535.0	116435.0	113866.0	0.159248	0.0223109
     11419.55	0.020631	142304.0	121311.0	118677.0	0.159608	0.0219520
     11419.99	0.019248	132843.0	113446.0	110998.0	0.157841	0.0218148
     11420.43	0.020175	139032.0	118729.0	116172.0	0.157861	0.0217717
     11420.87	0.019420	134028.0	114729.0	112264.0	0.155476	0.0217196
     11421.31	0.018485	127426.0	108941.0	106619.0	0.156729	0.0215447
     11421.76	0.018307	126203.0	108004.0	105731.0	0.155723	0.0212701
