# Diamond Light Source
# Instrument: B18-CORE XAS Date: Fri, 29 Jul 2016 09:26:09 BST
# Ring energy:   3.0
# Ring current - start: 299.7
# Primary slits:  vertical gap=  2.4; horizontal gap= 52.0; vertical offset=  0.4; horizontal offset= -1.0
# Secondary slits:  vertical gap=  3.0; horizontal gap= 25.0; vertical offset=  5.1; horizontal offset= 18.3
# OH Mirror Coating: Cr
# White beam filter: 140um PyC
# Crystal cut: Si(111)
# PostDCM slits:  vertical gap=  3.6; horizontal gap= 28.0; vertical offset= -7.2; horizontal offset= 19.0
# Experimental slits:  vertical gap= 28.6; horizontal gap= 45.0; vertical offset=  5.7; horizontal offset= -17.5
# HR Mirror : out; Y: 40.0; Pitch:  1.3; Coating: Cr
# Mirror 2: Pitch:  2.3; Height: -6.2; Yaw: -1.5; Bend:  0.8;
# I0 Stanford sensitivity: 500 nA/V Offsets: 20 pA
# It Stanford sensitivity: 1 uA/V Offsets: 1 pA
# Iref Stanford sensitivity: 200 nA/V Offsets: 1 pA
#
# Ascii output file name: 'Andrea_Pt//ascii/263844_PtSn_OCO_1.dat'
# Nexus output file: '/dls/b18/data/2016/sp10306-9/Andrea_Pt//nexus/263844_PtSn_OCO_1.nxs'
# XML folder and files:
# /dls/b18/data/2016/sp10306-9/xml/Andrea_Pt/
# QEXAFS_Parameters7
# Sample_Parameters7
# Detector_Parameters7
# Output_Parameters7
# The contents of these files are also stored in the nexus file.
#
# Sample name: PtSn_OCO
# Sample description: default sample description
# Additional comments: default additional comments
# command: qexafs_energy 11364.0 13000.0 3266 63.59 qexafs_counterTimer01
#
#
# qexafs_energy	    time	   I0	  It	 Iref	 lnI0It	lnItIref
     11364.22	0.018932	239.0	29.0	106.0	2.10917	-1.29614
     11364.66	0.019127	245.0	24.0	99.0	2.32320	-1.41707
     11365.09	0.018134	224.0	27.0	100.0	2.11581	-1.30933
     11365.53	0.017961	223.0	24.0	93.0	2.22912	-1.35455
     11365.97	0.018194	228.0	23.0	92.0	2.29385	-1.38629
     11366.40	0.018388	229.0	27.0	98.0	2.13789	-1.28913
     11366.84	0.019853	253.0	29.0	104.0	2.16609	-1.27710
     11367.28	0.020237	257.0	34.0	110.0	2.02272	-1.17412
     11367.72	0.020624	265.0	33.0	112.0	2.08322	-1.22199
     11368.15	0.021001	262.0	27.0	112.0	2.27251	-1.42266
     11368.59	0.020214	255.0	30.0	104.0	2.14007	-1.24319
     11369.03	0.020857	261.0	41.0	109.0	1.85095	-0.977776
     11369.47	0.019709	249.0	31.0	102.0	2.08347	-1.19099
     11369.90	0.018896	243.0	29.0	95.0	2.12577	-1.18658
     11370.34	0.019012	239.0	32.0	100.0	2.01073	-1.13943
     11370.78	0.018796	240.0	26.0	99.0	2.22254	-1.33702
     11371.22	0.018860	233.0	27.0	97.0	2.15520	-1.27887
     11371.65	0.019332	244.0	32.0	106.0	2.03143	-1.19770
     11372.09	0.019615	245.0	23.0	103.0	2.36576	-1.49923
     11372.53	0.020263	252.0	29.0	108.0	2.16213	-1.31484
     11372.97	0.019703	250.0	32.0	108.0	2.05573	-1.21640
     11373.40	0.019168	243.0	41.0	103.0	1.77949	-0.921157
     11373.84	0.018757	238.0	23.0	101.0	2.33678	-1.47963
     11374.28	0.019185	237.0	33.0	102.0	1.97155	-1.12847
