# Diamond Light Source
# Instrument: B18-CORE XAS Date: Fri, 29 Jul 2016 09:34:29 BST
# Ring energy:   3.0
# Ring current - start: 300.4
# Primary slits:  vertical gap=  2.4; horizontal gap= 52.0; vertical offset=  0.4; horizontal offset= -1.0
# Secondary slits:  vertical gap=  3.0; horizontal gap= 25.0; vertical offset=  5.1; horizontal offset= 18.3
# OH Mirror Coating: Cr
# White beam filter: 140um PyC
# Crystal cut: Si(111)
# PostDCM slits:  vertical gap=  3.6; horizontal gap= 28.0; vertical offset= -7.2; horizontal offset= 19.0
# Experimental slits:  vertical gap= 28.6; horizontal gap= 45.0; vertical offset=  5.7; horizontal offset= -17.5
# HR Mirror : out; Y: 40.0; Pitch:  1.3; Coating: Cr
# Mirror 2: Pitch:  2.3; Height: -6.2; Yaw: -1.5; Bend:  0.8;
# I0 Stanford sensitivity: 500 nA/V Offsets: 20 pA
# It Stanford sensitivity: 1 uA/V Offsets: 1 pA
# Iref Stanford sensitivity: 200 nA/V Offsets: 1 pA
#
# Ascii output file name: 'Andrea_Pt//ascii/263850_PtSn_3_1_EG_2.dat'
# Nexus output file: '/dls/b18/data/2016/sp10306-9/Andrea_Pt//nexus/263850_PtSn_3_1_EG_2.nxs'
# XML folder and files:
# /dls/b18/data/2016/sp10306-9/xml/Andrea_Pt/
# QEXAFS_Parameters5
# Sample_Parameters5
# Detector_Parameters5
# Output_Parameters5
# The contents of these files are also stored in the nexus file.
#
# Sample name: PtSn_3_1_EG
# Sample description: default sample description
# Additional comments: default additional comments
# command: qexafs_energy 11364.0 13000.0 3266 63.59 qexafs_counterTimer01
#
#
# qexafs_energy	    time	      I0	      It	    Iref	   lnI0It	 lnItIref
     11364.22	0.019242	135482.0	188106.0	181309.0	-0.328167	0.0368029
     11364.66	0.019254	135205.0	187786.0	181010.0	-0.328511	0.0367507
     11365.09	0.018543	130584.0	181430.0	174872.0	-0.328853	0.0368156
     11365.53	0.017702	124385.0	172822.0	166630.0	-0.328881	0.0364864
     11365.97	0.018836	131901.0	183319.0	176733.0	-0.329176	0.0365877
     11366.40	0.018122	127105.0	176652.0	170372.0	-0.329168	0.0361974
     11366.84	0.020332	142496.0	198069.0	191049.0	-0.329302	0.0360855
     11367.28	0.020161	141210.0	196293.0	189360.0	-0.329360	0.0359585
     11367.72	0.020303	142156.0	197637.0	190658.0	-0.329507	0.0359508
     11368.15	0.021168	148010.0	205821.0	198628.0	-0.329727	0.0355731
     11368.59	0.020480	143566.0	199680.0	192736.0	-0.329921	0.0353947
     11369.03	0.020744	145144.0	201893.0	194892.0	-0.330012	0.0352923
     11369.47	0.019700	137603.0	191426.0	184804.0	-0.330129	0.0352055
     11369.90	0.018844	131929.0	183571.0	177226.0	-0.330338	0.0351758
     11370.34	0.019450	135991.0	189228.0	182736.0	-0.330364	0.0349101
     11370.78	0.018545	129771.0	180617.0	174446.0	-0.330607	0.0347635
     11371.22	0.019134	133970.0	186477.0	180137.0	-0.330692	0.0345902
     11371.65	0.019139	133897.0	186412.0	180110.0	-0.330888	0.0343915
     11372.09	0.019646	137389.0	191291.0	184829.0	-0.330980	0.0343648
     11372.53	0.020289	142262.0	198145.0	191459.0	-0.331329	0.0343254
     11372.97	0.019532	136488.0	190098.0	183730.0	-0.331303	0.0340724
     11373.40	0.018913	132201.0	184145.0	178030.0	-0.331400	0.0337714
     11373.84	0.018858	131738.0	183523.0	177476.0	-0.331525	0.0335046
     11374.28	0.019347	135552.0	188889.0	182680.0	-0.331804	0.0334236
     11374.72	0.019846	139024.0	193733.0	187372.0	-0.331834	0.0333850
     11375.15	0.019637	137805.0	192056.0	185753.0	-0.331947	0.0333692
     11375.59	0.019676	137984.0	192353.0	186042.0	-0.332194	0.0333598
     11376.03	0.018855	132464.0	184683.0	178647.0	-0.332330	0.0332291
     11376.47	0.017791	125146.0	174517.0	168826.0	-0.332541	0.0331536
     11376.91	0.017974	126131.0	175906.0	170225.0	-0.332629	0.0328287
     11377.34	0.017955	125991.0	175762.0	170094.0	-0.332920	0.0327796
     11377.78	0.021014	147242.0	205425.0	198850.0	-0.333004	0.0325302
     11378.22	0.019800	138643.0	193474.0	187258.0	-0.333241	0.0326558
     11378.66	0.020911	146427.0	204314.0	197808.0	-0.333131	0.0323612
     11379.10	0.020622	144632.0	201902.0	195514.0	-0.333590	0.0321504
     11379.53	0.019937	139782.0	195149.0	188994.0	-0.333679	0.0320481
     11379.97	0.020609	144110.0	201164.0	194836.0	-0.333544	0.0319623
     11380.41	0.019608	137281.0	191694.0	185687.0	-0.333870	0.0318379
     11380.85	0.019207	134318.0	187543.0	181721.0	-0.333798	0.0315356
     11381.29	0.019693	137874.0	192534.0	186605.0	-0.333933	0.0312787
     11381.73	0.019046	133156.0	186036.0	180263.0	-0.334419	0.0315233
     11382.16	0.018773	131207.0	183309.0	177664.0	-0.334397	0.0312791
     11382.60	0.018226	127247.0	177770.0	172323.0	-0.334361	0.0311200
     11383.04	0.018764	131169.0	183327.0	177744.0	-0.334785	0.0309271
     11383.48	0.019587	137009.0	191487.0	185669.0	-0.334773	0.0308544
     11383.92	0.018532	129182.0	180572.0	175074.0	-0.334907	0.0309208
     11384.36	0.019375	135055.0	188797.0	183151.0	-0.334990	0.0303614
     11384.79	0.019787	138325.0	193391.0	187627.0	-0.335108	0.0302581
     11385.23	0.020476	142805.0	199698.0	193745.0	-0.335326	0.0302634
     11385.67	0.020327	141734.0	198222.0	192372.0	-0.335436	0.0299566
     11386.11	0.019735	137686.0	192585.0	186889.0	-0.335562	0.0300228
     11386.55	0.020251	141143.0	197489.0	191653.0	-0.335909	0.0299964
     11386.99	0.018981	132317.0	185150.0	179741.0	-0.335966	0.0296494
     11387.43	0.018258	127041.0	177772.0	172603.0	-0.335992	0.0295077
     11387.87	0.017620	122733.0	171818.0	166814.0	-0.336425	0.0295564
     11388.30	0.017722	123520.0	172905.0	167920.0	-0.336339	0.0292546
     11388.74	0.019243	133952.0	187542.0	182155.0	-0.336521	0.0291448
     11389.18	0.019596	136449.0	191071.0	185548.0	-0.336694	0.0293315
     11389.62	0.019967	139186.0	194934.0	189416.0	-0.336850	0.0287154
     11390.06	0.021189	147517.0	206610.0	200738.0	-0.336890	0.0288324
     11390.50	0.021629	150728.0	211133.0	205194.0	-0.337011	0.0285324
     11390.94	0.021435	149258.0	209082.0	203234.0	-0.337050	0.0283685
