# Diamond Light Source
# Instrument: B18-CORE XAS Date: Fri, 29 Jul 2016 13:18:13 BST
# Ring energy:   3.0
# Ring current - start: 298.8
# Primary slits:  vertical gap=  2.4; horizontal gap= 52.0; vertical offset=  0.4; horizontal offset= -1.0
# Secondary slits:  vertical gap=  3.0; horizontal gap= 25.0; vertical offset=  5.1; horizontal offset= 18.3
# OH Mirror Coating: Cr
# White beam filter: 140um PyC
# Crystal cut: Si(111)
# PostDCM slits:  vertical gap=  3.6; horizontal gap= 28.0; vertical offset= -7.2; horizontal offset= 19.0
# Experimental slits:  vertical gap= 28.6; horizontal gap= 45.0; vertical offset=  5.7; horizontal offset= -17.5
# HR Mirror : out; Y: 40.0; Pitch:  1.3; Coating: Cr
# Mirror 2: Pitch:  2.3; Height: -6.2; Yaw: -1.5; Bend:  0.8;
# I0 Stanford sensitivity: 500 nA/V Offsets: 20 pA
# It Stanford sensitivity: 1 uA/V Offsets: 1 pA
# Iref Stanford sensitivity: 200 nA/V Offsets: 1 pA
#
# Ascii output file name: 'Andrea_Pt//ascii/263912_PtSn_OCO_2.dat'
# Nexus output file: '/dls/b18/data/2016/sp10306-9/Andrea_Pt//nexus/263912_PtSn_OCO_2.nxs'
# XML folder and files:
# /dls/b18/data/2016/sp10306-9/xml/Andrea_Pt/
# QEXAFS_Parameters1
# Sample_Parameters1
# Detector_Parameters1
# Output_Parameters1
# The contents of these files are also stored in the nexus file.
#
# Sample name: PtSn_OCO
# Sample description: default sample description
# Additional comments: default additional comments
# command: qexafs_energy 11364.0 13000.0 3266 63.59 qexafs_counterTimer01
#
#
# qexafs_energy	    time	      I0	      It	    Iref	   lnI0It	 lnItIref
     11364.22	0.019578	132355.0	213626.0	205972.0	-0.478739	0.0364866
     11364.66	0.019315	130250.0	210116.0	202670.0	-0.478204	0.0360807
     11365.09	0.017859	119993.0	193543.0	186705.0	-0.478066	0.0359699
     11365.53	0.018548	125002.0	201732.0	194622.0	-0.478610	0.0358809
     11365.97	0.018408	123773.0	199715.0	192762.0	-0.478442	0.0354351
     11366.40	0.018842	126602.0	204342.0	197171.0	-0.478747	0.0357237
     11366.84	0.020438	137682.0	222304.0	214557.0	-0.479099	0.0354704
     11367.28	0.019718	132708.0	214319.0	206875.0	-0.479314	0.0353508
     11367.72	0.020859	140176.0	226356.0	218538.0	-0.479210	0.0351491
     11368.15	0.020622	138380.0	223422.0	215741.0	-0.479059	0.0349837
     11368.59	0.020470	137179.0	221524.0	213920.0	-0.479244	0.0349288
     11369.03	0.020538	138093.0	223125.0	215475.0	-0.479805	0.0348873
     11369.47	0.019132	128878.0	208306.0	201178.0	-0.480142	0.0348181
     11369.90	0.018957	127302.0	205764.0	198781.0	-0.480168	0.0345262
     11370.34	0.018641	125361.0	202704.0	195832.0	-0.480549	0.0344896
     11370.78	0.018490	124185.0	200811.0	194038.0	-0.480592	0.0343102
     11371.22	0.019341	129937.0	210157.0	203112.0	-0.480805	0.0340973
     11371.65	0.019298	129545.0	209512.0	202472.0	-0.480753	0.0341794
     11372.09	0.019462	130811.0	211596.0	204559.0	-0.480925	0.0338224
     11372.53	0.019908	133216.0	215391.0	208307.0	-0.480483	0.0334420
     11372.97	0.019521	130663.0	211261.0	204327.0	-0.480473	0.0333727
     11373.40	0.019099	128246.0	207405.0	200616.0	-0.480723	0.0332808
     11373.84	0.019361	130452.0	211080.0	204219.0	-0.481232	0.0330443
     11374.28	0.019692	132569.0	214442.0	207476.0	-0.480936	0.0330236
     11374.72	0.019894	134053.0	216845.0	209818.0	-0.480948	0.0329423
     11375.15	0.019790	133349.0	215728.0	208779.0	-0.481049	0.0327421
     11375.59	0.019410	130550.0	211183.0	204398.0	-0.480969	0.0326560
     11376.03	0.018838	127068.0	205651.0	199043.0	-0.481458	0.0326597
     11376.47	0.017906	120589.0	195161.0	188938.0	-0.481437	0.0324059
     11376.91	0.017874	120156.0	194433.0	188282.0	-0.481297	0.0321468
     11377.34	0.017878	120202.0	194544.0	188376.0	-0.481485	0.0322184
     11377.78	0.020748	139596.0	226028.0	218906.0	-0.481906	0.0320165
     11378.22	0.020152	135238.0	218936.0	212097.0	-0.481743	0.0317357
     11378.66	0.019991	134315.0	217499.0	210690.0	-0.482006	0.0318064
     11379.10	0.020495	137869.0	223315.0	216360.0	-0.482279	0.0316396
     11379.53	0.020116	134991.0	218623.0	211859.0	-0.482141	0.0314278
     11379.97	0.020678	138762.0	224811.0	217903.0	-0.482500	0.0312100
     11380.41	0.019946	133893.0	216974.0	210284.0	-0.482737	0.0313185
     11380.85	0.019354	129885.0	210469.0	204061.0	-0.482689	0.0309194
     11381.29	0.019237	128844.0	208807.0	202474.0	-0.482808	0.0307989
     11381.73	0.019032	127364.0	206392.0	200142.0	-0.482728	0.0307502
     11382.16	0.018084	121245.0	196559.0	190651.0	-0.483149	0.0305181
     11382.60	0.018574	124375.0	201660.0	195625.0	-0.483282	0.0303835
     11383.04	0.018675	125253.0	203139.0	197062.0	-0.483555	0.0303721
     11383.48	0.019450	130307.0	211371.0	205045.0	-0.483722	0.0303854
     11383.92	0.019093	127722.0	207151.0	201017.0	-0.483592	0.0300585
     11384.36	0.020187	135048.0	219113.0	212673.0	-0.483957	0.0298318
     11384.79	0.019809	132805.0	215552.0	209175.0	-0.484320	0.0300310
     11385.23	0.020477	137171.0	222647.0	216151.0	-0.484359	0.0296103
     11385.67	0.020492	137212.0	222736.0	216244.0	-0.484460	0.0295798
     11386.11	0.019739	132195.0	214644.0	208438.0	-0.484703	0.0293392
     11386.55	0.020505	136997.0	222419.0	216012.0	-0.484604	0.0292290
     11386.99	0.018845	126082.0	204770.0	198902.0	-0.484955	0.0290752
     11387.43	0.017938	120203.0	195293.0	189724.0	-0.485319	0.0289306
     11387.87	0.018490	123422.0	200419.0	194751.0	-0.484801	0.0286884
     11388.30	0.017810	119118.0	193586.0	188068.0	-0.485607	0.0289183
     11388.74	0.019088	127515.0	207179.0	201320.0	-0.485349	0.0286875
     11389.18	0.019056	127436.0	207077.0	201292.0	-0.485476	0.0283341
     11389.62	0.019991	133478.0	216918.0	210864.0	-0.485583	0.0283060
     11390.06	0.021498	143513.0	233212.0	226771.0	-0.485522	0.0280072
     11390.50	0.021894	146450.0	238136.0	231557.0	-0.486158	0.0280159
     11390.94	0.020962	140085.0	227713.0	221469.0	-0.485837	0.0278034
