# Diamond Light Source
# Instrument: B18-CORE XAS Date: Fri, 29 Jul 2016 13:34:47 BST
# Ring energy:   3.0
# Ring current - start: 299.9
# Primary slits:  vertical gap=  2.4; horizontal gap= 52.0; vertical offset=  0.4; horizontal offset= -1.0
# Secondary slits:  vertical gap=  3.0; horizontal gap= 25.0; vertical offset=  5.1; horizontal offset= 18.3
# OH Mirror Coating: Cr
# White beam filter: 140um PyC
# Crystal cut: Si(111)
# PostDCM slits:  vertical gap=  3.6; horizontal gap= 28.0; vertical offset= -7.2; horizontal offset= 19.0
# Experimental slits:  vertical gap= 28.6; horizontal gap= 45.0; vertical offset=  5.7; horizontal offset= -17.5
# HR Mirror : out; Y: 40.0; Pitch:  1.3; Coating: Cr
# Mirror 2: Pitch:  2.3; Height: -6.2; Yaw: -1.5; Bend:  0.8;
# I0 Stanford sensitivity: 500 nA/V Offsets: 20 pA
# It Stanford sensitivity: 1 uA/V Offsets: 1 pA
# Iref Stanford sensitivity: 200 nA/V Offsets: 1 pA
#
# Ascii output file name: 'Andrea_Pt//ascii/263924_PtSn_OC_2.dat'
# Nexus output file: '/dls/b18/data/2016/sp10306-9/Andrea_Pt//nexus/263924_PtSn_OC_2.nxs'
# XML folder and files:
# /dls/b18/data/2016/sp10306-9/xml/Andrea_Pt/
# QEXAFS_Parameters3
# Sample_Parameters3
# Detector_Parameters3
# Output_Parameters3
# The contents of these files are also stored in the nexus file.
#
# Sample name: PtSn_OC
# Sample description: default sample description
# Additional comments: default additional comments
# command: qexafs_energy 11364.0 13000.0 3266 63.59 qexafs_counterTimer01
#
#
# qexafs_energy	    time	      I0	      It	    Iref	   lnI0It	 lnItIref
     11364.22	0.019207	129969.0	182921.0	176132.0	-0.341758	0.0378207
     11364.66	0.018801	127366.0	179293.0	172606.0	-0.341957	0.0380098
     11365.09	0.017570	118851.0	167313.0	161158.0	-0.341996	0.0374811
     11365.53	0.018414	124338.0	175085.0	168617.0	-0.342268	0.0376417
     11365.97	0.018242	123556.0	173989.0	167603.0	-0.342298	0.0373940
     11366.40	0.019454	131278.0	184864.0	178096.0	-0.342303	0.0372977
     11366.84	0.020655	139092.0	195893.0	188768.0	-0.342433	0.0370498
     11367.28	0.019819	133768.0	188429.0	181595.0	-0.342614	0.0369423
     11367.72	0.021125	142785.0	201183.0	193894.0	-0.342875	0.0369033
     11368.15	0.020250	136459.0	192318.0	185387.0	-0.343126	0.0367047
     11368.59	0.020158	135767.0	191380.0	184509.0	-0.343321	0.0365627
     11369.03	0.020684	139436.0	196586.0	189551.0	-0.343494	0.0364419
     11369.47	0.019439	131095.0	184817.0	178213.0	-0.343444	0.0363867
     11369.90	0.019486	131184.0	184953.0	178381.0	-0.343501	0.0361800
     11370.34	0.019131	128770.0	181594.0	175193.0	-0.343746	0.0358852
     11370.78	0.018565	124841.0	176077.0	169869.0	-0.343880	0.0358938
     11371.22	0.019187	129429.0	182576.0	176154.0	-0.344034	0.0358079
     11371.65	0.019366	130353.0	183891.0	177469.0	-0.344097	0.0355472
     11372.09	0.019018	127999.0	180601.0	174330.0	-0.344268	0.0353401
     11372.53	0.019558	131599.0	185700.0	179283.0	-0.344373	0.0351669
     11372.97	0.020167	135869.0	191762.0	185096.0	-0.344564	0.0353804
     11373.40	0.018971	127922.0	180571.0	174352.0	-0.344703	0.0350478
     11373.84	0.019005	128103.0	180856.0	174676.0	-0.344867	0.0347683
     11374.28	0.019832	133855.0	189041.0	182559.0	-0.345207	0.0348905
     11374.72	0.019713	133329.0	188293.0	181910.0	-0.345180	0.0344872
     11375.15	0.019385	130998.0	184993.0	178716.0	-0.345136	0.0345200
     11375.59	0.019446	131369.0	185564.0	179280.0	-0.345390	0.0344510
     11376.03	0.019240	130329.0	184117.0	177937.0	-0.345509	0.0341419
     11376.47	0.017782	120063.0	169670.0	163974.0	-0.345839	0.0341475
     11376.91	0.018165	122504.0	173139.0	167367.0	-0.345951	0.0339057
     11377.34	0.018283	123599.0	174690.0	168829.0	-0.345971	0.0341266
     11377.78	0.021004	141474.0	199985.0	193372.0	-0.346126	0.0336266
     11378.22	0.019845	133815.0	189181.0	182935.0	-0.346246	0.0335733
     11378.66	0.019766	133377.0	188593.0	182404.0	-0.346412	0.0333672
     11379.10	0.020775	140450.0	198636.0	192089.0	-0.346622	0.0335152
     11379.53	0.020203	136503.0	193082.0	186755.0	-0.346768	0.0333174
     11379.97	0.020636	138765.0	196316.0	189930.0	-0.346944	0.0330700
     11380.41	0.019611	132295.0	187151.0	181100.0	-0.346882	0.0328664
     11380.85	0.019508	131584.0	186211.0	180195.0	-0.347235	0.0328408
     11381.29	0.019382	130260.0	184335.0	178418.0	-0.347222	0.0326256
     11381.73	0.018596	125059.0	176995.0	171336.0	-0.347336	0.0324949
     11382.16	0.018949	127507.0	180521.0	174782.0	-0.347676	0.0323076
