# Diamond Light Source
# Instrument: B18-CORE XAS Date: Fri, 29 Jul 2016 13:46:54 BST
# Ring energy:   3.0
# Ring current - start: 299.2
# Primary slits:  vertical gap=  2.4; horizontal gap= 52.0; vertical offset=  0.4; horizontal offset= -1.0
# Secondary slits:  vertical gap=  3.0; horizontal gap= 25.0; vertical offset=  5.1; horizontal offset= 18.3
# OH Mirror Coating: Cr
# White beam filter: 140um PyC
# Crystal cut: Si(111)
# PostDCM slits:  vertical gap=  3.6; horizontal gap= 28.0; vertical offset= -7.2; horizontal offset= 19.0
# Experimental slits:  vertical gap= 28.6; horizontal gap= 45.0; vertical offset=  5.7; horizontal offset= -17.5
# HR Mirror : out; Y: 40.0; Pitch:  1.3; Coating: Cr
# Mirror 2: Pitch:  2.3; Height: -6.2; Yaw: -1.5; Bend:  0.8;
# I0 Stanford sensitivity: 500 nA/V Offsets: 20 pA
# It Stanford sensitivity: 1 uA/V Offsets: 1 pA
# Iref Stanford sensitivity: 200 nA/V Offsets: 1 pA
#
# Ascii output file name: 'Andrea_Pt//ascii/263933_PtSn_OCH_5.dat'
# Nexus output file: '/dls/b18/data/2016/sp10306-9/Andrea_Pt//nexus/263933_PtSn_OCH_5.nxs'
# XML folder and files:
# /dls/b18/data/2016/sp10306-9/xml/Andrea_Pt/
# QEXAFS_Parameters4
# Sample_Parameters4
# Detector_Parameters4
# Output_Parameters4
# The contents of these files are also stored in the nexus file.
#
# Sample name: PtSn_OCH
# Sample description: default sample description
# Additional comments: default additional comments
# command: qexafs_energy 11364.0 13000.0 3266 63.59 qexafs_counterTimer01
#
#
# qexafs_energy	    time	      I0	      It	    Iref	   lnI0It	 lnItIref
     11364.22	0.019133	128851.0	204758.0	197573.0	-0.463172	0.0357207
     11364.66	0.018615	125270.0	199128.0	192125.0	-0.463476	0.0358016
     11365.09	0.017811	119885.0	190577.0	183909.0	-0.463523	0.0356152
     11365.53	0.017664	118764.0	188824.0	182239.0	-0.463677	0.0354964
     11365.97	0.018478	123798.0	196872.0	190096.0	-0.463903	0.0350246
     11366.40	0.019063	128116.0	203706.0	196653.0	-0.463742	0.0352370
     11366.84	0.020906	140299.0	223148.0	215509.0	-0.464059	0.0348326
     11367.28	0.020487	137358.0	218486.0	211024.0	-0.464131	0.0347501
     11367.72	0.020982	140516.0	223562.0	215973.0	-0.464367	0.0345354
     11368.15	0.020706	138970.0	221097.0	213612.0	-0.464343	0.0344402
     11368.59	0.020340	136292.0	216905.0	209562.0	-0.464660	0.0344398
     11369.03	0.020493	137523.0	218866.0	211514.0	-0.464668	0.0341685
     11369.47	0.019209	128686.0	204831.0	197998.0	-0.464810	0.0339283
     11369.90	0.018908	126645.0	201584.0	194865.0	-0.464818	0.0338992
     11370.34	0.018960	126966.0	202141.0	195427.0	-0.465046	0.0337786
     11370.78	0.018870	126237.0	200982.0	194338.0	-0.465054	0.0336164
     11371.22	0.019177	128272.0	204251.0	197492.0	-0.465197	0.0336516
     11371.65	0.019127	128230.0	204211.0	197523.0	-0.465328	0.0332987
     11372.09	0.019511	130535.0	207951.0	201138.0	-0.465661	0.0333112
     11372.53	0.020286	136021.0	216700.0	209660.0	-0.465705	0.0330267
     11372.97	0.019615	131615.0	209714.0	202932.0	-0.465864	0.0328738
     11373.40	0.018771	126015.0	200798.0	194323.0	-0.465898	0.0327777
     11373.84	0.018942	127076.0	202560.0	196070.0	-0.466251	0.0325644
     11374.28	0.019500	131319.0	209325.0	202624.0	-0.466259	0.0325360
     11374.72	0.019520	131260.0	209271.0	202599.0	-0.466450	0.0324014
     11375.15	0.019686	132353.0	211013.0	204313.0	-0.466447	0.0322666
     11375.59	0.019617	131880.0	210299.0	203626.0	-0.466638	0.0322453
     11376.03	0.018779	126103.0	201124.0	194805.0	-0.466823	0.0319226
     11376.47	0.017709	118999.0	189811.0	183871.0	-0.466914	0.0317944
     11376.91	0.017789	119726.0	190973.0	185003.0	-0.466926	0.0317600
     11377.34	0.018214	122324.0	195156.0	189070.0	-0.467126	0.0316819
     11377.78	0.021476	144475.0	230514.0	223382.0	-0.467205	0.0314283
     11378.22	0.019433	130327.0	207960.0	201543.0	-0.467299	0.0313430
     11378.66	0.020398	137019.0	218699.0	211995.0	-0.467577	0.0311337
     11379.10	0.021086	141279.0	225525.0	218608.0	-0.467694	0.0311508
     11379.53	0.020077	134780.0	215181.0	208581.0	-0.467836	0.0311521
     11379.97	0.021058	140940.0	224991.0	218173.0	-0.467726	0.0307721
     11380.41	0.019630	131516.0	210013.0	203702.0	-0.468041	0.0305113
     11380.85	0.019053	127332.0	203351.0	197259.0	-0.468136	0.0304160
     11381.29	0.019732	131971.0	210775.0	204494.0	-0.468209	0.0302526
