# Diamond Light Source
# Instrument: B18-CORE XAS Date: Fri, 29 Jul 2016 13:53:53 BST
# Ring energy:   3.0
# Ring current - start: 300.5
# Primary slits:  vertical gap=  2.4; horizontal gap= 52.0; vertical offset=  0.4; horizontal offset= -1.0
# Secondary slits:  vertical gap=  3.0; horizontal gap= 25.0; vertical offset=  5.1; horizontal offset= 18.3
# OH Mirror Coating: Cr
# White beam filter: 140um PyC
# Crystal cut: Si(111)
# PostDCM slits:  vertical gap=  3.6; horizontal gap= 28.0; vertical offset= -7.2; horizontal offset= 19.0
# Experimental slits:  vertical gap= 28.6; horizontal gap= 45.0; vertical offset=  5.7; horizontal offset= -17.5
# HR Mirror : out; Y: 40.0; Pitch:  1.3; Coating: Cr
# Mirror 2: Pitch:  2.3; Height: -6.2; Yaw: -1.5; Bend:  0.8;
# I0 Stanford sensitivity: 500 nA/V Offsets: 20 pA
# It Stanford sensitivity: 1 uA/V Offsets: 1 pA
# Iref Stanford sensitivity: 200 nA/V Offsets: 1 pA
#
# Ascii output file name: 'Andrea_Pt//ascii/263938_PtSn_Alloy_H2_4.dat'
# Nexus output file: '/dls/b18/data/2016/sp10306-9/Andrea_Pt//nexus/263938_PtSn_Alloy_H2_4.nxs'
# XML folder and files:
# /dls/b18/data/2016/sp10306-9/xml/Andrea_Pt/
# QEXAFS_Parameters5
# Sample_Parameters5
# Detector_Parameters5
# Output_Parameters5
# The contents of these files are also stored in the nexus file.
#
# Sample name: PtSn_Alloy_H2
# Sample description: default sample description
# Additional comments: default additional comments
# command: qexafs_energy 11364.0 13000.0 3266 63.59 qexafs_counterTimer01
#
#
# qexafs_energy	    time	      I0	      It	    Iref	   lnI0It	 lnItIref
     11364.22	0.019624	132431.0	204087.0	196934.0	-0.432485	0.0356777
     11364.66	0.018684	126400.0	194859.0	188106.0	-0.432825	0.0352706
     11365.09	0.017987	121312.0	186998.0	180529.0	-0.432732	0.0352065
     11365.53	0.018003	120949.0	186413.0	180018.0	-0.432596	0.0349078
     11365.97	0.018918	127510.0	196542.0	189820.0	-0.432681	0.0347999
     11366.40	0.019171	129151.0	199151.0	192343.0	-0.433081	0.0347831
     11366.84	0.020341	136740.0	210886.0	203695.0	-0.433236	0.0346939
     11367.28	0.020067	134930.0	208132.0	201070.0	-0.433416	0.0345194
     11367.72	0.021122	142262.0	219469.0	212040.0	-0.433541	0.0344361
     11368.15	0.020845	139605.0	215304.0	208051.0	-0.433234	0.0342677
     11368.59	0.020249	135972.0	209773.0	202769.0	-0.433577	0.0339586
     11369.03	0.020372	136827.0	211162.0	204074.0	-0.433908	0.0341429
     11369.47	0.019290	129928.0	200601.0	193924.0	-0.434337	0.0338515
     11369.90	0.019304	129753.0	200343.0	193723.0	-0.434398	0.0336016
     11370.34	0.018551	124724.0	192609.0	186262.0	-0.434559	0.0335079
     11370.78	0.018821	126653.0	195620.0	189186.0	-0.434723	0.0334433
     11371.22	0.019273	129264.0	199610.0	193123.0	-0.434509	0.0330382
     11371.65	0.019537	130932.0	202227.0	195648.0	-0.434713	0.0330737
     11372.09	0.019341	130137.0	201103.0	194534.0	-0.435229	0.0332103
     11372.53	0.020380	136785.0	211291.0	204472.0	-0.434826	0.0328053
     11372.97	0.019416	130473.0	201604.0	195127.0	-0.435139	0.0326547
     11373.40	0.019162	128622.0	198777.0	192424.0	-0.435306	0.0324823
