# Diamond Light Source
# Instrument: B18-CORE XAS Date: Fri, 29 Jul 2016 13:59:21 BST
# Ring energy:   3.0
# Ring current - start: 298.7
# Primary slits:  vertical gap=  2.4; horizontal gap= 52.0; vertical offset=  0.4; horizontal offset= -1.0
# Secondary slits:  vertical gap=  3.0; horizontal gap= 25.0; vertical offset=  5.1; horizontal offset= 18.3
# OH Mirror Coating: Cr
# White beam filter: 140um PyC
# Crystal cut: Si(111)
# PostDCM slits:  vertical gap=  3.6; horizontal gap= 28.0; vertical offset= -7.2; horizontal offset= 19.0
# Experimental slits:  vertical gap= 28.6; horizontal gap= 45.0; vertical offset=  5.7; horizontal offset= -17.5
# HR Mirror : out; Y: 40.0; Pitch:  1.3; Coating: Cr
# Mirror 2: Pitch:  2.3; Height: -6.2; Yaw: -1.5; Bend:  0.8;
# I0 Stanford sensitivity: 500 nA/V Offsets: 20 pA
# It Stanford sensitivity: 1 uA/V Offsets: 1 pA
# Iref Stanford sensitivity: 200 nA/V Offsets: 1 pA
#
# Ascii output file name: 'Andrea_Pt//ascii/263942_PtSn_EG_H2_2.dat'
# Nexus output file: '/dls/b18/data/2016/sp10306-9/Andrea_Pt//nexus/263942_PtSn_EG_H2_2.nxs'
# XML folder and files:
# /dls/b18/data/2016/sp10306-9/xml/Andrea_Pt/
# QEXAFS_Parameters7
# Sample_Parameters7
# Detector_Parameters7
# Output_Parameters7
# The contents of these files are also stored in the nexus file.
#
# Sample name: PtSn_EG_H2
# Sample description: default sample description
# Additional comments: default additional comments
# command: qexafs_energy 11364.0 13000.0 3266 63.59 qexafs_counterTimer01
#
#
# qexafs_energy	    time	      I0	      It	    Iref	   lnI0It	 lnItIref
     11364.22	0.018966	126917.0	188535.0	181801.0	-0.395750	0.0363710
     11364.66	0.018854	126089.0	187346.0	180626.0	-0.395969	0.0365286
     11365.09	0.017221	115448.0	171525.0	165436.0	-0.395909	0.0361446
     11365.53	0.018875	126057.0	187323.0	180677.0	-0.396100	0.0361235
     11365.97	0.018654	124887.0	185639.0	179064.0	-0.396395	0.0360606
     11366.40	0.018861	126098.0	187455.0	180851.0	-0.396479	0.0358653
     11366.84	0.020972	139941.0	208038.0	200728.0	-0.396500	0.0357700
     11367.28	0.019215	128478.0	191058.0	184377.0	-0.396819	0.0355945
     11367.72	0.021231	141859.0	210944.0	203564.0	-0.396759	0.0356122
     11368.15	0.020942	139508.0	207489.0	200305.0	-0.396956	0.0352371
     11368.59	0.020185	135006.0	200845.0	193818.0	-0.397214	0.0356139
     11369.03	0.020764	138662.0	206296.0	199191.0	-0.397273	0.0350479
     11369.47	0.019299	129025.0	191985.0	185369.0	-0.397411	0.0350688
     11369.90	0.019451	129679.0	192985.0	186421.0	-0.397550	0.0346049
     11370.34	0.019251	128319.0	191003.0	184513.0	-0.397770	0.0345692
     11370.78	0.018483	123221.0	183388.0	177177.0	-0.397625	0.0344549
     11371.22	0.019535	130485.0	194276.0	187693.0	-0.398022	0.0344722
     11371.65	0.018488	122958.0	183072.0	176929.0	-0.398037	0.0341310
     11372.09	0.019540	130155.0	193810.0	187293.0	-0.398152	0.0342041
     11372.53	0.019869	132662.0	197572.0	190987.0	-0.398299	0.0338977
     11372.97	0.019354	129280.0	192538.0	186164.0	-0.398313	0.0336655
     11373.40	0.019196	127937.0	190566.0	184281.0	-0.398461	0.0335368
