# Diamond Light Source
# Instrument: B18-CORE XAS Date: Wed, 27 Jul 2016 22:05:55 BST
# Ring energy:   3.0
# Ring current - start: 299.6
# Primary slits:  vertical gap=  2.4; horizontal gap= 52.0; vertical offset=  0.4; horizontal offset= -1.0
# Secondary slits:  vertical gap=  3.5; horizontal gap= 23.0; vertical offset=  5.3; horizontal offset= -14.5
# OH Mirror Coating: Pt
# White beam filter: 140um PyC
# Crystal cut: Si(311)
# PostDCM slits:  vertical gap= 18.0; horizontal gap= 28.0; vertical offset= -9.1; horizontal offset= -16.5
# Experimental slits:  vertical gap= 28.6; horizontal gap= 45.0; vertical offset=  5.7; horizontal offset= -17.5
# HR Mirror : out; Y: 37.8; Pitch:  0.3; Coating: Pt
# Mirror 2: Pitch:  2.3; Height: -6.4; Yaw: -1.6; Bend:  0.8;
# I0 Stanford sensitivity: 20 nA/V Offsets: 20 pA
# It Stanford sensitivity: 100 nA/V Offsets: 1 pA
# Iref Stanford sensitivity: 20 nA/V Offsets: 1 pA
#
# Ascii output file name: 'Andrea_Sn//ascii/262876_PtSn_OCO_Abu_2.dat'
# Nexus output file: '/dls/b18/data/2016/sp10306-9/Andrea_Sn//nexus/262876_PtSn_OCO_Abu_2.nxs'
# XML folder and files:
# /dls/b18/data/2016/sp10306-9/xml/Andrea_Sn/
# QEXAFS_Parameters
# Sample_Parameters
# Detector_Parameters
# Output_Parameters
# The contents of these files are also stored in the nexus file.
#
# Sample name: PtSn_OCO_Abu
# Sample description: default sample description
# Additional comments: default additional comments
# command: qexafs_energy 29000.0 30050.0 2094 263.53 qexafs_counterTimer01
#
#
# qexafs_energy	   time	       I0	       It	     Iref	  lnI0It	 lnItIref
     29000.24	0.14872	2327819.0	1852150.0	3853225.0	0.228585	-0.732563
     29000.73	0.14518	2253872.0	1793527.0	3731623.0	0.228466	-0.732659
     29001.21	0.17917	2798253.0	2226576.0	4632632.0	0.228530	-0.732660
     29001.69	0.075579	1182685.0	941271.0	1958401.0	0.228311	-0.732653
     29002.18	0.11813	1847761.0	1470466.0	3058875.0	0.228395	-0.732468
     29002.66	0.12741	1992012.0	1585378.0	3297636.0	0.228322	-0.732383
     29003.14	0.12897	1983604.0	1579316.0	3285265.0	0.227924	-0.732455
     29003.63	0.12179	1861454.0	1481549.0	3082265.0	0.228270	-0.732577
     29004.11	0.12560	1941595.0	1545517.0	3215293.0	0.228151	-0.732560
     29004.59	0.12612	1935421.0	1540710.0	3205349.0	0.228082	-0.732578
     29005.08	0.13353	2062524.0	1641759.0	3414691.0	0.228162	-0.732319
     29005.56	0.11651	1811394.0	1441870.0	2999917.0	0.228156	-0.732644
     29006.05	0.13597	2099063.0	1671115.0	3475863.0	0.228000	-0.732352
     29006.53	0.11343	1738861.0	1384543.0	2880481.0	0.227860	-0.732587
     29007.01	0.13178	2045364.0	1628319.0	3386723.0	0.228028	-0.732315
     29007.50	0.12290	1919348.0	1527757.0	3178466.0	0.228185	-0.732598
     29007.98	0.12863	1994805.0	1588273.0	3302840.0	0.227899	-0.732135
     29008.46	0.12361	1907744.0	1519223.0	3160064.0	0.227722	-0.732393
     29008.95	0.12058	1865483.0	1485823.0	3090671.0	0.227551	-0.732419
     29009.43	0.10803	1681210.0	1338676.0	2784709.0	0.227833	-0.732462
     29009.92	0.11870	1836176.0	1462446.0	3041710.0	0.227575	-0.732309
     29010.40	0.12057	1874738.0	1492708.0	3105145.0	0.227877	-0.732468
     29010.88	0.12073	1839627.0	1464898.0	3047130.0	0.227777	-0.732415
     29011.37	0.14178	2180887.0	1736638.0	3612586.0	0.227781	-0.732473
     29011.85	0.11853	1835329.0	1461864.0	3041085.0	0.227511	-0.732502
     29012.34	0.12787	1985976.0	1581566.0	3289948.0	0.227695	-0.732456
     29012.82	0.12134	1888131.0	1503725.0	3127690.0	0.227642	-0.732349
     29013.30	0.13370	2083057.0	1659306.0	3451017.0	0.227437	-0.732270
