# Diamond Light Source
# Instrument: B18-CORE XAS Date: Wed, 27 Jul 2016 22:23:25 BST
# Ring energy:   3.0
# Ring current - start: 300.6
# Primary slits:  vertical gap=  2.4; horizontal gap= 52.0; vertical offset=  0.4; horizontal offset= -1.0
# Secondary slits:  vertical gap=  3.5; horizontal gap= 23.0; vertical offset=  5.3; horizontal offset= -14.5
# OH Mirror Coating: Pt
# White beam filter: 140um PyC
# Crystal cut: Si(311)
# PostDCM slits:  vertical gap= 18.0; horizontal gap= 28.0; vertical offset= -9.1; horizontal offset= -16.5
# Experimental slits:  vertical gap= 28.6; horizontal gap= 45.0; vertical offset=  5.7; horizontal offset= -17.5
# HR Mirror : out; Y: 37.8; Pitch:  0.3; Coating: Pt
# Mirror 2: Pitch:  2.3; Height: -6.4; Yaw: -1.6; Bend:  0.8;
# I0 Stanford sensitivity: 20 nA/V Offsets: 20 pA
# It Stanford sensitivity: 100 nA/V Offsets: 1 pA
# Iref Stanford sensitivity: 20 nA/V Offsets: 1 pA
#
# Ascii output file name: 'Andrea_Sn//ascii/262879_PtSn_OCA_Abu_2.dat'
# Nexus output file: '/dls/b18/data/2016/sp10306-9/Andrea_Sn//nexus/262879_PtSn_OCA_Abu_2.nxs'
# XML folder and files:
# /dls/b18/data/2016/sp10306-9/xml/Andrea_Sn/
# QEXAFS_Parameters
# Sample_Parameters
# Detector_Parameters
# Output_Parameters
# The contents of these files are also stored in the nexus file.
#
# Sample name: PtSn_OCA_Abu
# Sample description: default sample description
# Additional comments: default additional comments
# command: qexafs_energy 29000.0 30050.0 2094 263.53 qexafs_counterTimer01
#
#
# qexafs_energy	   time	       I0	       It	     Iref	   lnI0It	 lnItIref
     29000.24	0.13683	2106676.0	1937851.0	4030154.0	0.0835317	-0.732225
     29000.73	0.16072	2454234.0	2257640.0	4695262.0	0.0834947	-0.732234
     29001.21	0.16344	2506884.0	2306196.0	4797642.0	0.0834411	-0.732525
     29001.69	0.087262	1328807.0	1222602.0	2542771.0	0.0833002	-0.732273
     29002.18	0.11031	1701547.0	1565395.0	3255148.0	0.0833996	-0.732100
     29002.66	0.12983	1992563.0	1832896.0	3812574.0	0.0835245	-0.732407
     29003.14	0.12615	1937922.0	1782824.0	3708174.0	0.0834176	-0.732341
     29003.63	0.13113	2002949.0	1842797.0	3832041.0	0.0833361	-0.732113
     29004.11	0.11661	1790411.0	1647401.0	3425570.0	0.0832463	-0.732069
     29004.59	0.13365	2037337.0	1874325.0	3898809.0	0.0833950	-0.732423
     29005.08	0.13337	2038117.0	1875620.0	3900846.0	0.0830871	-0.732254
     29005.56	0.11789	1785540.0	1642796.0	3416912.0	0.0833212	-0.732338
     29006.05	0.12739	1940112.0	1785615.0	3713401.0	0.0829828	-0.732185
     29006.53	0.12290	1838695.0	1692015.0	3519143.0	0.0831360	-0.732297
     29007.01	0.12569	1897830.0	1746004.0	3631511.0	0.0833814	-0.732319
     29007.50	0.12737	1943679.0	1788791.0	3720294.0	0.0830426	-0.732263
     29007.98	0.13296	2030241.0	1868257.0	3885248.0	0.0831486	-0.732181
     29008.46	0.12310	1910447.0	1758456.0	3656509.0	0.0829011	-0.732073
     29008.95	0.11027	1673045.0	1539975.0	3203742.0	0.0828791	-0.732553
     29009.43	0.11615	1757641.0	1617735.0	3364337.0	0.0829455	-0.732204
