# Diamond Light Source
# Instrument: B18-CORE XAS Date: Wed, 27 Jul 2016 22:52:36 BST
# Ring energy:   3.0
# Ring current - start: 300.7
# Primary slits:  vertical gap=  2.4; horizontal gap= 52.0; vertical offset=  0.4; horizontal offset= -1.0
# Secondary slits:  vertical gap=  3.5; horizontal gap= 23.0; vertical offset=  5.3; horizontal offset= -14.5
# OH Mirror Coating: Pt
# White beam filter: 140um PyC
# Crystal cut: Si(311)
# PostDCM slits:  vertical gap= 18.0; horizontal gap= 28.0; vertical offset= -9.1; horizontal offset= -16.5
# Experimental slits:  vertical gap= 28.6; horizontal gap= 45.0; vertical offset=  5.7; horizontal offset= -17.5
# HR Mirror : out; Y: 37.8; Pitch:  0.3; Coating: Pt
# Mirror 2: Pitch:  2.3; Height: -6.4; Yaw: -1.6; Bend:  0.8;
# I0 Stanford sensitivity: 20 nA/V Offsets: 20 pA
# It Stanford sensitivity: 100 nA/V Offsets: 1 pA
# Iref Stanford sensitivity: 20 nA/V Offsets: 1 pA
#
# Ascii output file name: 'Andrea_Sn//ascii/262884_PtSn_OC_Abu_3.dat'
# Nexus output file: '/dls/b18/data/2016/sp10306-9/Andrea_Sn//nexus/262884_PtSn_OC_Abu_3.nxs'
# XML folder and files:
# /dls/b18/data/2016/sp10306-9/xml/Andrea_Sn/
# QEXAFS_Parameters
# Sample_Parameters
# Detector_Parameters
# Output_Parameters
# The contents of these files are also stored in the nexus file.
#
# Sample name: PtSn_OC_Abu
# Sample description: default sample description
# Additional comments: default additional comments
# command: qexafs_energy 29000.0 30050.0 2094 263.53 qexafs_counterTimer01
#
#
# qexafs_energy	   time	       I0	       It	     Iref	  lnI0It	 lnItIref
     29000.24	0.13497	2054105.0	1612666.0	3349690.0	0.241952	-0.730979
     29000.73	0.17430	2679638.0	2103464.0	4368308.0	0.242096	-0.730790
     29001.21	0.14734	2239403.0	1757926.0	3651686.0	0.242075	-0.731054
     29001.69	0.084586	1289369.0	1012161.0	2102715.0	0.242065	-0.731142
     29002.18	0.11423	1752566.0	1375943.0	2858196.0	0.241942	-0.731051
     29002.66	0.12457	1880143.0	1475941.0	3066044.0	0.242052	-0.731092
     29003.14	0.12730	1941042.0	1523659.0	3165288.0	0.242110	-0.731129
     29003.63	0.13228	2012060.0	1579760.0	3281743.0	0.241886	-0.731102
     29004.11	0.12949	1953626.0	1534052.0	3187057.0	0.241775	-0.731185
     29004.59	0.12442	1869352.0	1467880.0	3049448.0	0.241773	-0.731141
     29005.08	0.12650	1915371.0	1503553.0	3123457.0	0.242080	-0.731109
     29005.56	0.12237	1851446.0	1453798.0	3020171.0	0.241788	-0.731134
     29006.05	0.12986	2000687.0	1570970.0	3264284.0	0.241797	-0.731347
     29006.53	0.12446	1911048.0	1500312.0	3116341.0	0.241979	-0.730986
     29007.01	0.12780	1953325.0	1534076.0	3187179.0	0.241605	-0.731208
     29007.50	0.12394	1905475.0	1496014.0	3108041.0	0.241927	-0.731188
     29007.98	0.13119	1999804.0	1570532.0	3262670.0	0.241635	-0.731131
     29008.46	0.12302	1859230.0	1460057.0	3033195.0	0.241687	-0.731141
     29008.95	0.10532	1595532.0	1253190.0	2604108.0	0.241515	-0.731398
     29009.43	0.12180	1842523.0	1447550.0	3007241.0	0.241263	-0.731151
     29009.92	0.12158	1853459.0	1455671.0	3023781.0	0.241587	-0.731041
