# Diamond Light Source
# Instrument: B18-CORE XAS Date: Wed, 27 Jul 2016 22:58:06 BST
# Ring energy:   3.0
# Ring current - start: 299.0
# Primary slits:  vertical gap=  2.4; horizontal gap= 52.0; vertical offset=  0.4; horizontal offset= -1.0
# Secondary slits:  vertical gap=  3.5; horizontal gap= 23.0; vertical offset=  5.3; horizontal offset= -14.5
# OH Mirror Coating: Pt
# White beam filter: 140um PyC
# Crystal cut: Si(311)
# PostDCM slits:  vertical gap= 18.0; horizontal gap= 28.0; vertical offset= -9.1; horizontal offset= -16.5
# Experimental slits:  vertical gap= 28.6; horizontal gap= 45.0; vertical offset=  5.7; horizontal offset= -17.5
# HR Mirror : out; Y: 37.8; Pitch:  0.3; Coating: Pt
# Mirror 2: Pitch:  2.3; Height: -6.4; Yaw: -1.6; Bend:  0.8;
# I0 Stanford sensitivity: 20 nA/V Offsets: 20 pA
# It Stanford sensitivity: 100 nA/V Offsets: 1 pA
# Iref Stanford sensitivity: 20 nA/V Offsets: 1 pA
#
# Ascii output file name: 'Andrea_Sn//ascii/262885_PtSn_OCH_Abu_1.dat'
# Nexus output file: '/dls/b18/data/2016/sp10306-9/Andrea_Sn//nexus/262885_PtSn_OCH_Abu_1.nxs'
# XML folder and files:
# /dls/b18/data/2016/sp10306-9/xml/Andrea_Sn/
# QEXAFS_Parameters
# Sample_Parameters
# Detector_Parameters
# Output_Parameters
# The contents of these files are also stored in the nexus file.
#
# Sample name: PtSn_OCH_Abu
# Sample description: default sample description
# Additional comments: default additional comments
# command: qexafs_energy 29000.0 30050.0 2094 263.53 qexafs_counterTimer01
#
#
# qexafs_energy	   time	       I0	       It	     Iref	  lnI0It	 lnItIref
     29000.24	0.13474	2023637.0	1803288.0	3747936.0	0.115285	-0.731594
     29000.73	0.17458	2620860.0	2335846.0	4854010.0	0.115128	-0.731431
     29001.21	0.14065	2152185.0	1918070.0	3985595.0	0.115164	-0.731367
     29001.69	0.083936	1274908.0	1136368.0	2361588.0	0.115037	-0.731497
     29002.18	0.12355	1852122.0	1651028.0	3431018.0	0.114934	-0.731459
     29002.66	0.12926	1963823.0	1750471.0	3637954.0	0.115008	-0.731537
     29003.14	0.13197	1998205.0	1781082.0	3701559.0	0.115028	-0.731533
     29003.63	0.12699	1902879.0	1695874.0	3524980.0	0.115170	-0.731677
     29004.11	0.11860	1791166.0	1596649.0	3318140.0	0.114960	-0.731497
     29004.59	0.13155	1952856.0	1740960.0	3618369.0	0.114856	-0.731587
     29005.08	0.13443	2006178.0	1788447.0	3717241.0	0.114884	-0.731634
     29005.56	0.11262	1682133.0	1499562.0	3116813.0	0.114890	-0.731638
     29006.05	0.13318	1953094.0	1741203.0	3619104.0	0.114839	-0.731650
     29006.53	0.12891	1935229.0	1725048.0	3584979.0	0.114971	-0.731498
     29007.01	0.12185	1825368.0	1627228.0	3381869.0	0.114904	-0.731551
     29007.50	0.13016	1958670.0	1746482.0	3629204.0	0.114662	-0.731410
     29007.98	0.11822	1782791.0	1590174.0	3304728.0	0.114337	-0.731511
     29008.46	0.12472	1886312.0	1681878.0	3495640.0	0.114713	-0.731605
     29008.95	0.11290	1692632.0	1509485.0	3137049.0	0.114516	-0.731514
     29009.43	0.11906	1775141.0	1582602.0	3290141.0	0.114810	-0.731860
     29009.92	0.12980	1929270.0	1720706.0	3575769.0	0.114407	-0.731446
     29010.40	0.11295	1690196.0	1506965.0	3132166.0	0.114747	-0.731627
     29010.88	0.13577	2023319.0	1804520.0	3750042.0	0.114445	-0.731472
