# Diamond Light Source
# Instrument: B18-CORE XAS Date: Thu, 28 Jul 2016 01:47:04 BST
# Ring energy:   3.0
# Ring current - start: 299.4
# Primary slits:  vertical gap=  2.4; horizontal gap= 52.0; vertical offset=  0.4; horizontal offset= -1.0
# Secondary slits:  vertical gap=  3.5; horizontal gap= 23.0; vertical offset=  5.3; horizontal offset= -14.5
# OH Mirror Coating: Pt
# White beam filter: 140um PyC
# Crystal cut: Si(311)
# PostDCM slits:  vertical gap= 18.0; horizontal gap= 28.0; vertical offset= -9.1; horizontal offset= -16.5
# Experimental slits:  vertical gap= 28.6; horizontal gap= 45.0; vertical offset=  5.7; horizontal offset= -17.5
# HR Mirror : out; Y: 37.8; Pitch:  0.3; Coating: Pt
# Mirror 2: Pitch:  2.3; Height: -6.4; Yaw: -1.6; Bend:  0.8;
# I0 Stanford sensitivity: 20 nA/V Offsets: 20 pA
# It Stanford sensitivity: 100 nA/V Offsets: 1 pA
# Iref Stanford sensitivity: 20 nA/V Offsets: 1 pA
#
# Ascii output file name: 'Andrea_Sn//ascii/262920_PtSn_OCO_H2_Abu_2.dat'
# Nexus output file: '/dls/b18/data/2016/sp10306-9/Andrea_Sn//nexus/262920_PtSn_OCO_H2_Abu_2.nxs'
# XML folder and files:
# /dls/b18/data/2016/sp10306-9/xml/Andrea_Sn/
# QEXAFS_Parameters
# Sample_Parameters
# Detector_Parameters
# Output_Parameters
# The contents of these files are also stored in the nexus file.
#
# Sample name: PtSn_OCO_H2_Abu
# Sample description: default sample description
# Additional comments: default additional comments
# command: qexafs_energy 29000.0 30050.0 2094 263.53 qexafs_counterTimer01
#
#
# qexafs_energy	   time	       I0	       It	     Iref	  lnI0It	 lnItIref
     29000.24	0.13896	2225046.0	1773144.0	3665908.0	0.227023	-0.726322
     29000.73	0.14575	2330763.0	1857280.0	3840640.0	0.227083	-0.726526
     29001.21	0.17227	2752123.0	2193112.0	4534797.0	0.227051	-0.726459
     29001.69	0.084000	1346083.0	1072367.0	2217926.0	0.227331	-0.726704
     29002.18	0.12603	2021718.0	1610797.0	3329143.0	0.227219	-0.725986
     29002.66	0.12238	1951552.0	1555441.0	3216046.0	0.226866	-0.726394
     29003.14	0.13004	2082189.0	1659229.0	3429653.0	0.227067	-0.726106
     29003.63	0.12828	2043398.0	1628277.0	3367210.0	0.227092	-0.726562
     29004.11	0.12030	1930166.0	1538253.0	3180343.0	0.226959	-0.726342
     29004.59	0.12874	2057352.0	1639593.0	3389511.0	0.226972	-0.726238
     29005.08	0.12457	1978700.0	1577120.0	3261285.0	0.226840	-0.726521
     29005.56	0.12735	2037011.0	1623711.0	3357126.0	0.226769	-0.726371
     29006.05	0.11758	1876156.0	1495196.0	3091123.0	0.226968	-0.726277
     29006.53	0.13326	2135734.0	1702671.0	3520086.0	0.226612	-0.726287
     29007.01	0.12348	1976227.0	1575084.0	3257329.0	0.226881	-0.726599
     29007.50	0.12361	1982091.0	1580074.0	3267935.0	0.226681	-0.726687
     29007.98	0.13070	2088796.0	1665117.0	3443253.0	0.226692	-0.726521
     29008.46	0.12606	2016999.0	1607843.0	3324340.0	0.226717	-0.726378
     29008.95	0.10857	1742872.0	1388910.0	2872113.0	0.227015	-0.726529
     29009.43	0.11432	1829195.0	1458554.0	3015457.0	0.226430	-0.726306
     29009.92	0.12202	1955577.0	1559063.0	3224341.0	0.226600	-0.726644
