# Diamond Light Source
# Instrument: B18-CORE XAS Date: Thu, 28 Jul 2016 02:03:43 BST
# Ring energy:   3.0
# Ring current - start: 300.4
# Primary slits:  vertical gap=  2.4; horizontal gap= 52.0; vertical offset=  0.4; horizontal offset= -1.0
# Secondary slits:  vertical gap=  3.5; horizontal gap= 23.0; vertical offset=  5.3; horizontal offset= -14.5
# OH Mirror Coating: Pt
# White beam filter: 140um PyC
# Crystal cut: Si(311)
# PostDCM slits:  vertical gap= 18.0; horizontal gap= 28.0; vertical offset= -9.1; horizontal offset= -16.5
# Experimental slits:  vertical gap= 28.6; horizontal gap= 45.0; vertical offset=  5.7; horizontal offset= -17.5
# HR Mirror : out; Y: 37.8; Pitch:  0.3; Coating: Pt
# Mirror 2: Pitch:  2.3; Height: -6.4; Yaw: -1.6; Bend:  0.8;
# I0 Stanford sensitivity: 20 nA/V Offsets: 20 pA
# It Stanford sensitivity: 100 nA/V Offsets: 1 pA
# Iref Stanford sensitivity: 20 nA/V Offsets: 1 pA
#
# Ascii output file name: 'Andrea_Sn//ascii/262923_PtSn_OCA_H2_Abu_2.dat'
# Nexus output file: '/dls/b18/data/2016/sp10306-9/Andrea_Sn//nexus/262923_PtSn_OCA_H2_Abu_2.nxs'
# XML folder and files:
# /dls/b18/data/2016/sp10306-9/xml/Andrea_Sn/
# QEXAFS_Parameters
# Sample_Parameters
# Detector_Parameters
# Output_Parameters
# The contents of these files are also stored in the nexus file.
#
# Sample name: PtSn_OCA_H2_Abu
# Sample description: default sample description
# Additional comments: default additional comments
# command: qexafs_energy 29000.0 30050.0 2094 263.53 qexafs_counterTimer01
#
#
# qexafs_energy	   time	       I0	       It	     Iref	   lnI0It	 lnItIref
     29000.24	0.13264	2133285.0	1970468.0	4078439.0	0.0793920	-0.727443
     29000.73	0.17570	2828597.0	2612326.0	5407619.0	0.0795398	-0.727568
     29001.21	0.13339	2147287.0	1983353.0	4105319.0	0.0794163	-0.727495
     29001.69	0.089781	1442912.0	1332792.0	2758912.0	0.0793873	-0.727560
     29002.18	0.11521	1852101.0	1711024.0	3541363.0	0.0792286	-0.727420
     29002.66	0.13702	2196534.0	2028428.0	4198817.0	0.0796196	-0.727542
     29003.14	0.13082	2101978.0	1941284.0	4018461.0	0.0795292	-0.727549
     29003.63	0.12941	2080583.0	1922029.0	3978791.0	0.0792667	-0.727597
     29004.11	0.12032	1936588.0	1788643.0	3702712.0	0.0794704	-0.727608
     29004.59	0.13032	2088719.0	1929291.0	3993879.0	0.0793984	-0.727610
     29005.08	0.11760	1892196.0	1747758.0	3618415.0	0.0794042	-0.727702
     29005.56	0.12716	2044304.0	1888618.0	3909804.0	0.0792120	-0.727642
     29006.05	0.12095	1936710.0	1788804.0	3702838.0	0.0794434	-0.727552
     29006.53	0.13066	2096095.0	1935460.0	4007930.0	0.0797311	-0.727930
     29007.01	0.13104	2100444.0	1940332.0	4016079.0	0.0792897	-0.727447
     29007.50	0.12193	1952483.0	1803392.0	3734001.0	0.0794326	-0.727811
     29007.98	0.12393	1983543.0	1832633.0	3793345.0	0.0791309	-0.727494
     29008.46	0.13604	2177981.0	2012318.0	4165534.0	0.0791110	-0.727557
     29008.95	0.10622	1699005.0	1569906.0	3250329.0	0.0790270	-0.727740
     29009.43	0.11704	1876842.0	1733954.0	3590149.0	0.0791862	-0.727789
     29009.92	0.11308	1818583.0	1680388.0	3478789.0	0.0790329	-0.727660
