# Diamond Light Source
# Instrument: B18-CORE XAS Date: Thu, 28 Jul 2016 02:19:54 BST
# Ring energy:   3.0
# Ring current - start: 298.5
# Primary slits:  vertical gap=  2.4; horizontal gap= 52.0; vertical offset=  0.4; horizontal offset= -1.0
# Secondary slits:  vertical gap=  3.5; horizontal gap= 23.0; vertical offset=  5.3; horizontal offset= -14.5
# OH Mirror Coating: Pt
# White beam filter: 140um PyC
# Crystal cut: Si(311)
# PostDCM slits:  vertical gap= 18.0; horizontal gap= 28.0; vertical offset= -9.1; horizontal offset= -16.5
# Experimental slits:  vertical gap= 28.6; horizontal gap= 45.0; vertical offset=  5.7; horizontal offset= -17.5
# HR Mirror : out; Y: 37.8; Pitch:  0.3; Coating: Pt
# Mirror 2: Pitch:  2.3; Height: -6.4; Yaw: -1.6; Bend:  0.8;
# I0 Stanford sensitivity: 20 nA/V Offsets: 20 pA
# It Stanford sensitivity: 100 nA/V Offsets: 1 pA
# Iref Stanford sensitivity: 20 nA/V Offsets: 1 pA
#
# Ascii output file name: 'Andrea_Sn//ascii/262926_PtSn_OC_H2_Abu_1.dat'
# Nexus output file: '/dls/b18/data/2016/sp10306-9/Andrea_Sn//nexus/262926_PtSn_OC_H2_Abu_1.nxs'
# XML folder and files:
# /dls/b18/data/2016/sp10306-9/xml/Andrea_Sn/
# QEXAFS_Parameters
# Sample_Parameters
# Detector_Parameters
# Output_Parameters
# The contents of these files are also stored in the nexus file.
#
# Sample name: PtSn_OC_H2_Abu
# Sample description: default sample description
# Additional comments: default additional comments
# command: qexafs_energy 29000.0 30050.0 2094 263.53 qexafs_counterTimer01
#
#
# qexafs_energy	   time	       I0	       It	     Iref	  lnI0It	 lnItIref
     29000.24	0.14153	2258986.0	1777101.0	3675444.0	0.239933	-0.726691
     29000.73	0.19192	3068690.0	2413388.0	4992162.0	0.240219	-0.726838
     29001.21	0.10904	1746235.0	1373327.0	2840291.0	0.240226	-0.726670
     29001.69	0.092212	1468631.0	1155380.0	2389553.0	0.239901	-0.726677
     29002.18	0.11572	1847324.0	1453058.0	3005685.0	0.240068	-0.726835
     29002.66	0.13767	2195152.0	1727006.0	3571759.0	0.239862	-0.726669
     29003.14	0.13308	2121724.0	1668954.0	3451993.0	0.240032	-0.726755
     29003.63	0.11732	1877359.0	1476997.0	3055033.0	0.239855	-0.726779
     29004.11	0.12202	1951952.0	1535542.0	3176301.0	0.239946	-0.726834
     29004.59	0.13027	2082544.0	1638791.0	3389958.0	0.239631	-0.726859
     29005.08	0.12991	2075927.0	1633776.0	3379148.0	0.239514	-0.726730
     29005.56	0.12444	1984042.0	1561062.0	3229080.0	0.239770	-0.726831
     29006.05	0.12848	2050324.0	1613084.0	3337409.0	0.239850	-0.727047
     29006.53	0.12252	1949746.0	1533895.0	3173084.0	0.239889	-0.726894
     29007.01	0.12189	1929808.0	1518977.0	3142331.0	0.239383	-0.726928
     29007.50	0.12884	2064140.0	1624188.0	3359127.0	0.239706	-0.726673
     29007.98	0.11964	1907574.0	1501102.0	3105657.0	0.239633	-0.727026
     29008.46	0.13495	2145849.0	1689248.0	3494458.0	0.239252	-0.726895
     29008.95	0.10300	1636445.0	1287775.0	2663855.0	0.239610	-0.726858
     29009.43	0.11889	1898109.0	1494040.0	3090479.0	0.239374	-0.726842
     29009.92	0.12562	2009281.0	1581369.0	3271853.0	0.239486	-0.727066
