# Diamond Light Source
# Instrument: B18-CORE XAS Date: Thu, 28 Jul 2016 02:46:18 BST
# Ring energy:   3.0
# Ring current - start: 299.5
# Primary slits:  vertical gap=  2.4; horizontal gap= 52.0; vertical offset=  0.4; horizontal offset= -1.0
# Secondary slits:  vertical gap=  3.5; horizontal gap= 23.0; vertical offset=  5.3; horizontal offset= -14.5
# OH Mirror Coating: Pt
# White beam filter: 140um PyC
# Crystal cut: Si(311)
# PostDCM slits:  vertical gap= 18.0; horizontal gap= 28.0; vertical offset= -9.1; horizontal offset= -16.5
# Experimental slits:  vertical gap= 28.6; horizontal gap= 45.0; vertical offset=  5.7; horizontal offset= -17.5
# HR Mirror : out; Y: 37.8; Pitch:  0.3; Coating: Pt
# Mirror 2: Pitch:  2.3; Height: -6.4; Yaw: -1.6; Bend:  0.8;
# I0 Stanford sensitivity: 20 nA/V Offsets: 20 pA
# It Stanford sensitivity: 100 nA/V Offsets: 1 pA
# Iref Stanford sensitivity: 20 nA/V Offsets: 1 pA
#
# Ascii output file name: 'Andrea_Sn//ascii/262931_PtSn_OCH_H2_Abu_3.dat'
# Nexus output file: '/dls/b18/data/2016/sp10306-9/Andrea_Sn//nexus/262931_PtSn_OCH_H2_Abu_3.nxs'
# XML folder and files:
# /dls/b18/data/2016/sp10306-9/xml/Andrea_Sn/
# QEXAFS_Parameters
# Sample_Parameters
# Detector_Parameters
# Output_Parameters
# The contents of these files are also stored in the nexus file.
#
# Sample name: PtSn_OCH_H2_Abu
# Sample description: default sample description
# Additional comments: default additional comments
# command: qexafs_energy 29000.0 30050.0 2094 263.53 qexafs_counterTimer01
#
#
# qexafs_energy	   time	       I0	       It	     Iref	  lnI0It	 lnItIref
     29000.24	0.13987	2234653.0	1993516.0	4120987.0	0.114186	-0.726193
     29000.73	0.18844	3024859.0	2698830.0	5577749.0	0.114046	-0.725967
     29001.21	0.10582	1699015.0	1515816.0	3132986.0	0.114095	-0.726033
     29001.69	0.10235	1643369.0	1466162.0	3029869.0	0.114100	-0.725871
     29002.18	0.12081	1929321.0	1721336.0	3558425.0	0.114067	-0.726217
     29002.66	0.12933	2057505.0	1835636.0	3794575.0	0.114103	-0.726181
     29003.14	0.12891	2053952.0	1832479.0	3788493.0	0.114096	-0.726299
     29003.63	0.12488	1997498.0	1782627.0	3684717.0	0.113807	-0.726106
     29004.11	0.12524	2011051.0	1794594.0	3708479.0	0.113879	-0.725843
     29004.59	0.13221	2121796.0	1893543.0	3913972.0	0.113813	-0.726103
     29005.08	0.12219	1954885.0	1744336.0	3605610.0	0.113957	-0.726117
     29005.56	0.11884	1904419.0	1699446.0	3512901.0	0.113875	-0.726140
     29006.05	0.12997	2082781.0	1858714.0	3842405.0	0.113819	-0.726214
     29006.53	0.13120	2090240.0	1865496.0	3856558.0	0.113752	-0.726248
     29007.01	0.12701	2027692.0	1809425.0	3740059.0	0.113889	-0.726092
     29007.50	0.12298	1960715.0	1749834.0	3617654.0	0.113788	-0.726305
     29007.98	0.12293	1957475.0	1746667.0	3611340.0	0.113946	-0.726369
     29008.46	0.12670	2025048.0	1807442.0	3736238.0	0.113681	-0.726167
     29008.95	0.11187	1787818.0	1595615.0	3298874.0	0.113737	-0.726322
     29009.43	0.11400	1836128.0	1638551.0	3386486.0	0.113847	-0.725980
     29009.92	0.12375	1987957.0	1774495.0	3668603.0	0.113592	-0.726295
     29010.40	0.11603	1856713.0	1657494.0	3427231.0	0.113501	-0.726446
     29010.88	0.13272	2124885.0	1896635.0	3921605.0	0.113636	-0.726420
     29011.37	0.12474	2008492.0	1793015.0	3706645.0	0.113486	-0.726229
     29011.85	0.13258	2135032.0	1906040.0	3940050.0	0.113454	-0.726166
     29012.34	0.11728	1888535.0	1686420.0	3485986.0	0.113193	-0.726143
     29012.82	0.13603	2188384.0	1953778.0	4038978.0	0.113398	-0.726227
     29013.30	0.12127	1946787.0	1737697.0	3592973.0	0.113620	-0.726419
     29013.79	0.13523	2181321.0	1947352.0	4025235.0	0.113460	-0.726113
     29014.27	0.12421	1991261.0	1777928.0	3675778.0	0.113319	-0.726316
     29014.76	0.13191	2128249.0	1900480.0	3929159.0	0.113193	-0.726319
     29015.24	0.13007	2095430.0	1871051.0	3868069.0	0.113258	-0.726255
     29015.72	0.11489	1849159.0	1651324.0	3414219.0	0.113154	-0.726371
     29016.21	0.13031	2098301.0	1873388.0	3873362.0	0.113379	-0.726374
     29016.69	0.11560	1863641.0	1664279.0	3440177.0	0.113140	-0.726131
     29017.18	0.12752	2055121.0	1835181.0	3794331.0	0.113192	-0.726365
     29017.66	0.12316	1985070.0	1772625.0	3664680.0	0.113193	-0.726280
     29018.14	0.13518	2176667.0	1943488.0	4017914.0	0.113311	-0.726279
     29018.63	0.11621	1872421.0	1671875.0	3456939.0	0.113286	-0.726438
     29019.11	0.13900	2238751.0	1998983.0	4133457.0	0.113280	-0.726476
     29019.60	0.13114	2111400.0	1885326.0	3897287.0	0.113250	-0.726180
     29020.08	0.12435	2004944.0	1790842.0	3702653.0	0.112930	-0.726364
     29020.57	0.12699	2043589.0	1824953.0	3773449.0	0.113153	-0.726435
     29021.05	0.12753	2057114.0	1837489.0	3798743.0	0.112904	-0.726270
     29021.53	0.12955	2084163.0	1861314.0	3848964.0	0.113085	-0.726521
     29022.02	0.13243	2128368.0	1900956.0	3930937.0	0.112999	-0.726521
     29022.50	0.13274	2135350.0	1907265.0	3942419.0	0.112960	-0.726124
     29022.99	0.12280	1971630.0	1761171.0	3641467.0	0.112882	-0.726408
     29023.47	0.13545	2175943.0	1943172.0	4017824.0	0.113140	-0.726419
     29023.96	0.11265	1814522.0	1620849.0	3351127.0	0.112872	-0.726347
     29024.44	0.11672	1878259.0	1678041.0	3468809.0	0.112718	-0.726184
     29024.92	0.11830	1904472.0	1701384.0	3517143.0	0.112763	-0.726207
     29025.41	0.12111	1948500.0	1740808.0	3598675.0	0.112710	-0.726216
     29025.89	0.11941	1925266.0	1719750.0	3554951.0	0.112885	-0.726162
     29026.38	0.11948	1919035.0	1714330.0	3545171.0	0.112800	-0.726564
     29026.86	0.12713	2048794.0	1830174.0	3783457.0	0.112840	-0.726227
     29027.35	0.10495	1689583.0	1509610.0	3121526.0	0.112630	-0.726471
     29027.83	0.11363	1831171.0	1636081.0	3381980.0	0.112652	-0.726158
     29028.32	0.12320	1985375.0	1773757.0	3667356.0	0.112708	-0.726371
     29028.80	0.10852	1737648.0	1552863.0	3211008.0	0.112432	-0.726485
     29029.28	0.12306	1981470.0	1770159.0	3660313.0	0.112770	-0.726479
     29029.77	0.14030	2259967.0	2019301.0	4174958.0	0.112599	-0.726353
     29030.25	0.11932	1920250.0	1715885.0	3548148.0	0.112526	-0.726497
     29030.74	0.15237	2447454.0	2186782.0	4522070.0	0.112617	-0.726539
     29031.22	0.11434	1840227.0	1644825.0	3401229.0	0.112255	-0.726503
     29031.71	0.10875	1746653.0	1560734.0	3227848.0	0.112545	-0.726659
     29032.19	0.13579	2186119.0	1953804.0	4039057.0	0.112350	-0.726233
     29032.68	0.12980	2081402.0	1860487.0	3846852.0	0.112203	-0.726417
     29033.16	0.13232	2128304.0	1902045.0	3933212.0	0.112396	-0.726527
