# Diamond Light Source
# Instrument: B18-CORE XAS Date: Sat, 14 May 2016 12:37:16 BST
# Ring energy:   3.0
# Ring current - start: 299.3
# Primary slits:  vertical gap=  2.4; horizontal gap= 52.0; vertical offset=  0.4; horizontal offset= -1.0
# Secondary slits:  vertical gap=  5.0; horizontal gap= 23.0; vertical offset=  5.3; horizontal offset= -14.5
# OH Mirror Coating: Pt
# White beam filter: 140um PyC
# Crystal cut: Si(111)
# PostDCM slits:  vertical gap= 18.0; horizontal gap= 28.0; vertical offset= -9.1; horizontal offset= -16.5
# Experimental slits:  vertical gap= 30.0; horizontal gap= 45.0; vertical offset=  5.0; horizontal offset= -17.5
# HR Mirror : in; Y: -39.0; Pitch:  9.3; Coating: Pt
# Mirror 2: Pitch:  2.2; Height: -6.2; Yaw: -1.6; Bend:  0.8;
# I0 Stanford sensitivity: 100 nA/V Offsets: 10 pA
# It Stanford sensitivity: 10 nA/V Offsets: 1 pA
# Iref Stanford sensitivity: 500 pA/V Offsets: 1 pA
#
# Ascii output file name: 'Experiment_5//ascii/253605_Fedpbz2Br2_Fe_edge_2.dat'
# Nexus output file: '/dls/b18/data/2016/sp10306-8/Experiment_5//nexus/253605_Fedpbz2Br2_Fe_edge_2.nxs'
# XML folder and files:
# /dls/b18/data/2016/sp10306-8/xml/Experiment_5/
# QEXAFS_Parameters
# Sample_Parameters
# Detector_Parameters
# Output_Parameters
# The contents of these files are also stored in the nexus file.
#
# Sample name: Fedpbz2Br2_Fe_edge
# Sample description: Fedpbz2Br2_Fe_edge
# Additional comments: default additional comments
# command: qexafs_energy 6912.0 8300.0 3970 189.41 qexafs_counterTimer01
#
#
# qexafs_energy	    time	      I0	     It	    Iref	 lnI0It	 lnItIref
      6912.14	0.041669	732335.0	69075.0	180645.0	2.36105	-0.961341
      6912.43	0.043838	770523.0	72733.0	189655.0	2.36027	-0.958411
      6912.72	0.050107	880451.0	83044.0	216882.0	2.36106	-0.959983
      6913.01	0.051949	913449.0	86306.0	225496.0	2.35933	-0.960403
      6913.30	0.051006	896527.0	84710.0	221094.0	2.35929	-0.959354
      6913.59	0.046272	813347.0	76962.0	201227.0	2.35785	-0.961122
      6913.88	0.045319	796469.0	75444.0	197314.0	2.35680	-0.961406
      6914.17	0.045774	804791.0	76236.0	199965.0	2.35675	-0.964309
      6914.46	0.049001	861345.0	81585.0	213312.0	2.35685	-0.961110
      6914.75	0.047179	829679.0	78743.0	206773.0	2.35485	-0.965432
      6915.04	0.049812	875533.0	83058.0	216834.0	2.35529	-0.959593
      6915.33	0.049451	869235.0	82496.0	215506.0	2.35486	-0.960239
      6915.62	0.047478	834772.0	79406.0	207028.0	2.35258	-0.958280
      6915.91	0.044218	777242.0	73960.0	192573.0	2.35223	-0.956951
      6916.20	0.044695	785216.0	74559.0	193716.0	2.35437	-0.954802
      6916.48	0.046095	810289.0	77117.0	200493.0	2.35207	-0.955456
      6916.77	0.050222	883545.0	84348.0	220304.0	2.34899	-0.960057
      6917.06	0.051175	900043.0	85899.0	225345.0	2.34927	-0.964460
      6917.35	0.050983	896519.0	85566.0	224058.0	2.34923	-0.962617
      6917.64	0.046473	816887.0	77971.0	202654.0	2.34916	-0.955163
      6917.93	0.045594	801537.0	76583.0	199610.0	2.34816	-0.957990
      6918.22	0.047985	843750.0	80727.0	210628.0	2.34678	-0.959020
      6918.51	0.048595	854216.0	81758.0	213376.0	2.34642	-0.959292
      6918.80	0.045851	806109.0	77151.0	200805.0	2.34645	-0.956570
      6919.09	0.046972	825993.0	79167.0	207028.0	2.34503	-0.961295
      6919.38	0.049590	871947.0	83675.0	218837.0	2.34379	-0.961387
      6919.67	0.048138	846669.0	81299.0	212883.0	2.34318	-0.962609
      6919.96	0.043081	757742.0	72723.0	190544.0	2.34369	-0.963225
      6920.25	0.045745	804652.0	77374.0	203227.0	2.34176	-0.965673
      6920.54	0.049837	876421.0	84278.0	220343.0	2.34173	-0.961065
      6920.83	0.049021	862187.0	82972.0	217482.0	2.34097	-0.963613
      6921.12	0.049871	877209.0	84520.0	221390.0	2.33976	-0.962938
      6921.41	0.050258	883784.0	85150.0	223288.0	2.33980	-0.964048
      6921.70	0.046689	821234.0	79202.0	207167.0	2.33881	-0.961524
      6921.99	0.045646	803324.0	77621.0	203697.0	2.33692	-0.964796
      6922.28	0.045849	806085.0	77770.0	203687.0	2.33843	-0.962829
      6922.57	0.049371	868566.0	83954.0	220114.0	2.33657	-0.963877
      6922.86	0.047152	829527.0	80209.0	209878.0	2.33622	-0.961891
      6923.15	0.047525	835990.0	80893.0	211844.0	2.33549	-0.962723
      6923.44	0.050100	881429.0	85369.0	223583.0	2.33456	-0.962800
      6923.73	0.050168	882331.0	85383.0	223047.0	2.33542	-0.960235
      6924.02	0.043356	762739.0	73973.0	193988.0	2.33322	-0.964096
      6924.31	0.044053	775025.0	75160.0	196576.0	2.33328	-0.961430
      6924.60	0.049040	862821.0	83801.0	218937.0	2.33176	-0.960339
      6924.89	0.051324	903404.0	87931.0	231244.0	2.32962	-0.966921
      6925.18	0.050043	880508.0	85573.0	224746.0	2.33113	-0.965601
      6925.47	0.046634	820345.0	79879.0	208571.0	2.32921	-0.959767
      6925.76	0.047438	834872.0	81398.0	213125.0	2.32793	-0.962528
      6926.05	0.045652	803111.0	78201.0	204928.0	2.32921	-0.963376
      6926.34	0.044076	775506.0	75628.0	198062.0	2.32769	-0.962754
      6926.63	0.050690	892088.0	87041.0	227204.0	2.32719	-0.959469
      6926.92	0.048464	852734.0	83178.0	217986.0	2.32746	-0.963448
      6927.21	0.045802	805919.0	78659.0	205751.0	2.32686	-0.961545
      6927.50	0.048646	856338.0	83844.0	218948.0	2.32371	-0.959876
      6927.80	0.050892	895509.0	87634.0	229751.0	2.32422	-0.963827
      6928.09	0.046010	809604.0	79191.0	207741.0	2.32468	-0.964429
      6928.38	0.042617	749824.0	73393.0	191656.0	2.32401	-0.959874
      6928.67	0.047917	843117.0	82655.0	215541.0	2.32243	-0.958476
      6928.96	0.050677	891794.0	87436.0	228328.0	2.32233	-0.959876
      6929.25	0.049858	877461.0	86099.0	225218.0	2.32153	-0.961571
      6929.54	0.047892	842900.0	82834.0	216695.0	2.32001	-0.961652
      6929.83	0.048023	845316.0	83131.0	217445.0	2.31929	-0.961528
      6930.12	0.047352	833554.0	82017.0	214436.0	2.31877	-0.961085
      6930.41	0.046263	814523.0	80238.0	211045.0	2.31761	-0.967074
      6930.70	0.047840	842037.0	82926.0	217245.0	2.31788	-0.963077
      6930.99	0.048045	845556.0	83321.0	218159.0	2.31729	-0.962524
      6931.28	0.048219	849237.0	83898.0	219708.0	2.31474	-0.962698
      6931.57	0.049608	873396.0	86313.0	225873.0	2.31441	-0.961993
      6931.87	0.046842	824537.0	81485.0	212884.0	2.31440	-0.960328
      6932.16	0.046040	810406.0	80116.0	209545.0	2.31406	-0.961463
      6932.45	0.042328	745399.0	73804.0	193203.0	2.31251	-0.962329
      6932.74	0.047329	833358.0	82541.0	215845.0	2.31217	-0.961265
      6933.03	0.052802	929727.0	92173.0	240073.0	2.31122	-0.957276
      6933.32	0.050508	889086.0	88107.0	230257.0	2.31164	-0.960644
      6933.61	0.047916	843715.0	83794.0	219281.0	2.30945	-0.961993
      6933.90	0.046059	811086.0	80578.0	211419.0	2.30915	-0.964616
      6934.19	0.046663	821684.0	81633.0	214210.0	2.30912	-0.964723
      6934.48	0.046111	812010.0	80777.0	211017.0	2.30782	-0.960246
      6934.77	0.048065	846709.0	84348.0	220940.0	2.30641	-0.962940
      6935.07	0.048226	849411.0	84595.0	221853.0	2.30667	-0.964140
      6935.36	0.047892	843827.0	84231.0	220718.0	2.30438	-0.963323
      6935.65	0.048698	858008.0	85745.0	224532.0	2.30324	-0.962640
      6935.94	0.049512	872304.0	87106.0	229034.0	2.30401	-0.966745
      6936.23	0.044784	788919.0	78797.0	207148.0	2.30379	-0.966559
      6936.52	0.042604	750460.0	75027.0	196720.0	2.30284	-0.963933
      6936.81	0.049238	867474.0	86831.0	227365.0	2.30162	-0.962593
      6937.10	0.050046	881937.0	88479.0	231342.0	2.29936	-0.961132
      6937.40	0.051374	905206.0	90699.0	238439.0	2.30062	-0.966567
      6937.69	0.050649	892419.0	89402.0	235317.0	2.30079	-0.967790
      6937.98	0.045135	794957.0	79673.0	208736.0	2.30036	-0.963140
      6938.27	0.045664	804336.0	80659.0	211037.0	2.29979	-0.961803
      6938.56	0.047060	829268.0	83352.0	218311.0	2.29747	-0.962848
      6938.85	0.049554	873159.0	87783.0	230706.0	2.29725	-0.966276
      6939.14	0.048194	849277.0	85478.0	225279.0	2.29613	-0.969081
      6939.44	0.044986	792451.0	79739.0	209637.0	2.29637	-0.966619
      6939.73	0.048756	859155.0	86581.0	227349.0	2.29487	-0.965406
      6940.02	0.048358	852326.0	85949.0	226253.0	2.29421	-0.967900
      6940.31	0.045477	801794.0	80961.0	213789.0	2.29288	-0.971022
      6940.60	0.044084	776948.0	78455.0	206493.0	2.29285	-0.967741
      6940.89	0.049705	876119.0	88524.0	232634.0	2.29223	-0.966193
      6941.19	0.050822	895660.0	90571.0	238140.0	2.29143	-0.966725
      6941.48	0.051979	916274.0	92767.0	243868.0	2.29022	-0.966536
      6941.77	0.047978	845644.0	85611.0	225317.0	2.29028	-0.967695
      6942.06	0.045591	803903.0	81526.0	214397.0	2.28856	-0.966907
      6942.35	0.046291	816129.0	82706.0	217992.0	2.28928	-0.969166
      6942.64	0.046395	818353.0	83110.0	218977.0	2.28713	-0.968802
      6942.94	0.049228	867630.0	88102.0	231521.0	2.28727	-0.966175
      6943.23	0.047100	830354.0	84396.0	221247.0	2.28633	-0.963760
      6943.52	0.047724	841516.0	85637.0	224624.0	2.28509	-0.964310
      6943.81	0.049481	872523.0	88762.0	234216.0	2.28543	-0.970285
      6944.10	0.047559	838527.0	85349.0	224353.0	2.28490	-0.966472
      6944.40	0.043558	767985.0	78280.0	206062.0	2.28348	-0.967885
      6944.69	0.043979	775545.0	79117.0	208574.0	2.28264	-0.969366
      6944.98	0.050200	885309.0	90409.0	237963.0	2.28159	-0.967771
      6945.27	0.050914	897923.0	91690.0	241389.0	2.28167	-0.967996
      6945.56	0.050599	892501.0	91231.0	241037.0	2.28063	-0.971556
      6945.86	0.047545	838618.0	85746.0	225921.0	2.28037	-0.968796
      6946.15	0.046622	822360.0	84144.0	221776.0	2.27965	-0.969138
      6946.44	0.046993	828832.0	84836.0	223274.0	2.27930	-0.967680
      6946.73	0.047110	831240.0	85261.0	225802.0	2.27720	-0.973941
      6947.02	0.048414	853830.0	87576.0	230354.0	2.27723	-0.967110
      6947.32	0.046909	827464.0	85014.0	224087.0	2.27555	-0.969218
      6947.61	0.047319	834885.0	85884.0	226268.0	2.27430	-0.968723
      6947.90	0.049575	874614.0	89944.0	237094.0	2.27460	-0.969269
      6948.19	0.047535	838420.0	86275.0	227305.0	2.27398	-0.968753
      6948.49	0.044972	793470.0	81817.0	215431.0	2.27193	-0.968156
      6948.78	0.044483	784991.0	80934.0	213720.0	2.27204	-0.971033
      6949.07	0.050460	890169.0	91778.0	242123.0	2.27204	-0.970073
      6949.36	0.051883	915352.0	94433.0	249077.0	2.27142	-0.969871
      6949.66	0.050545	891877.0	92027.0	242451.0	2.27125	-0.968718
      6949.95	0.048275	851652.0	87932.0	232749.0	2.27061	-0.973397
      6950.24	0.045446	801760.0	82831.0	218648.0	2.27001	-0.970661
      6950.53	0.045598	804264.0	83112.0	218472.0	2.26974	-0.966469
      6950.83	0.046007	811925.0	84052.0	221602.0	2.26797	-0.969447
      6951.12	0.048415	854304.0	88468.0	233429.0	2.26765	-0.970237
      6951.41	0.046637	822912.0	85348.0	224462.0	2.26611	-0.966969
      6951.70	0.048990	864553.0	89667.0	236542.0	2.26611	-0.970023
      6952.00	0.049059	866179.0	89969.0	239370.0	2.26463	-0.978545
      6952.29	0.049614	875014.0	90781.0	239297.0	2.26579	-0.969255
      6952.58	0.045101	796024.0	82766.0	218276.0	2.26361	-0.969743
      6952.87	0.043989	776033.0	80655.0	212008.0	2.26401	-0.966443
      6953.17	0.048071	848233.0	88301.0	232378.0	2.26240	-0.967614
