# Diamond Light Source
# Instrument: B18-CORE XAS Date: Sat, 14 May 2016 13:21:04 BST
# Ring energy:   3.0
# Ring current - start: 301.4
# Primary slits:  vertical gap=  2.4; horizontal gap= 52.0; vertical offset=  0.4; horizontal offset= -1.0
# Secondary slits:  vertical gap=  5.0; horizontal gap= 23.0; vertical offset=  5.3; horizontal offset= -14.5
# OH Mirror Coating: Pt
# White beam filter: 140um PyC
# Crystal cut: Si(111)
# PostDCM slits:  vertical gap= 18.0; horizontal gap= 28.0; vertical offset= -9.1; horizontal offset= -16.5
# Experimental slits:  vertical gap= 30.0; horizontal gap= 45.0; vertical offset=  5.0; horizontal offset= -17.5
# HR Mirror : in; Y: -39.0; Pitch:  9.3; Coating: Pt
# Mirror 2: Pitch:  2.2; Height: -6.2; Yaw: -1.6; Bend:  0.8;
# I0 Stanford sensitivity: 100 nA/V Offsets: 10 pA
# It Stanford sensitivity: 5 nA/V Offsets: 1 pA
# Iref Stanford sensitivity: 1 nA/V Offsets: 1 pA
#
# Ascii output file name: 'Experiment_5//ascii/253613_FedpbzBr2_Fe_edge_3.dat'
# Nexus output file: '/dls/b18/data/2016/sp10306-8/Experiment_5//nexus/253613_FedpbzBr2_Fe_edge_3.nxs'
# XML folder and files:
# /dls/b18/data/2016/sp10306-8/xml/Experiment_5/
# QEXAFS_Parameters
# Sample_Parameters
# Detector_Parameters
# Output_Parameters
# The contents of these files are also stored in the nexus file.
#
# Sample name: FedpbzBr2_Fe_edge
# Sample description: FedpbzBr2_Fe_edge
# Additional comments: default additional comments
# command: qexafs_energy 6912.0 8300.0 3970 189.41 qexafs_counterTimer01
#
#
# qexafs_energy	    time	      I0	      It	    Iref	 lnI0It	lnItIref
      6912.14	0.042268	737823.0	204840.0	102591.0	1.28147	0.691479
      6912.43	0.044290	773533.0	214787.0	107633.0	1.28132	0.690920
      6912.72	0.049875	870915.0	242023.0	121252.0	1.28051	0.691162
      6913.01	0.051909	906271.0	252003.0	126649.0	1.27990	0.688022
      6913.30	0.050428	880434.0	244735.0	122492.0	1.28024	0.692130
      6913.59	0.046453	811067.0	225792.0	112992.0	1.27874	0.692297
      6913.88	0.044827	782889.0	218069.0	109221.0	1.27818	0.691438
      6914.17	0.045192	789237.0	220066.0	110156.0	1.27714	0.692030
      6914.46	0.049342	861675.0	240013.0	120634.0	1.27819	0.687932
      6914.75	0.047320	826381.0	230508.0	115521.0	1.27677	0.690833
      6915.04	0.048931	854729.0	238608.0	120035.0	1.27596	0.687039
      6915.33	0.050880	888585.0	247984.0	124960.0	1.27627	0.685371
      6915.62	0.047869	836244.0	233626.0	117457.0	1.27520	0.687649
      6915.91	0.044482	776954.0	217174.0	109248.0	1.27468	0.687078
      6916.20	0.043047	752312.0	210518.0	105994.0	1.27358	0.686189
      6916.48	0.047700	833287.0	233387.0	117322.0	1.27268	0.687776
      6916.77	0.051063	892358.0	250034.0	125967.0	1.27227	0.685577
      6917.06	0.051015	891505.0	249944.0	125879.0	1.27167	0.685916
      6917.35	0.049485	864144.0	242179.0	121669.0	1.27206	0.688373
      6917.64	0.046566	813688.0	228125.0	114821.0	1.27168	0.686519
      6917.93	0.045070	787661.0	221230.0	111634.0	1.26986	0.683977
      6918.22	0.047951	837751.0	235319.0	118458.0	1.26978	0.686384
      6918.51	0.048728	851252.0	239121.0	120083.0	1.26974	0.688787
      6918.80	0.045593	796358.0	223934.0	112588.0	1.26870	0.687616
      6919.09	0.046860	818732.0	230370.0	115846.0	1.26807	0.687425
      6919.38	0.049651	867513.0	244350.0	122733.0	1.26703	0.688590
      6919.67	0.048979	855941.0	241401.0	121695.0	1.26574	0.684942
      6919.96	0.043731	763971.0	215373.0	108714.0	1.26616	0.683651
      6920.25	0.045214	789922.0	222892.0	112374.0	1.26525	0.684855
      6920.54	0.048934	854699.0	241086.0	121305.0	1.26560	0.686846
      6920.83	0.049924	872059.0	246342.0	123819.0	1.26414	0.687900
      6921.12	0.049811	870372.0	246046.0	123416.0	1.26340	0.689958
      6921.41	0.049715	868393.0	245404.0	123315.0	1.26374	0.688164
      6921.70	0.046297	809070.0	228931.0	114954.0	1.26246	0.688889
      6921.99	0.045423	793780.0	224557.0	113211.0	1.26268	0.684876
      6922.28	0.046125	806083.0	228325.0	115226.0	1.26142	0.683875
      6922.57	0.049694	868237.0	246111.0	123732.0	1.26068	0.687665
      6922.86	0.047354	827466.0	234841.0	118363.0	1.25946	0.685153
      6923.15	0.047520	830591.0	235999.0	119220.0	1.25831	0.682857
      6923.44	0.049895	871923.0	247458.0	124940.0	1.25946	0.683407
      6923.73	0.050220	877566.0	249211.0	125701.0	1.25885	0.684394
      6924.02	0.044249	773151.0	219715.0	110718.0	1.25814	0.685345
      6924.31	0.044337	774481.0	220083.0	110881.0	1.25819	0.685547
      6924.60	0.048354	845269.0	240625.0	121179.0	1.25642	0.685971
      6924.89	0.052190	911749.0	259480.0	130722.0	1.25669	0.685607
      6925.18	0.049981	873258.0	248394.0	124971.0	1.25721	0.686934
      6925.47	0.046061	805009.0	229103.0	115435.0	1.25668	0.685464
      6925.76	0.046726	816925.0	232982.0	117707.0	1.25459	0.682763
      6926.05	0.045377	793454.0	226440.0	114731.0	1.25392	0.679890
      6926.34	0.044541	778475.0	222264.0	112185.0	1.25347	0.683717
      6926.63	0.050441	881914.0	251999.0	127154.0	1.25267	0.684026
      6926.92	0.047816	835926.0	238859.0	120669.0	1.25267	0.682822
      6927.21	0.046190	807391.0	230559.0	116516.0	1.25330	0.682478
      6927.50	0.050098	875437.0	250231.0	126085.0	1.25234	0.685428
      6927.80	0.051396	898351.0	257015.0	129699.0	1.25143	0.683918
      6928.09	0.045346	792562.0	226918.0	114413.0	1.25068	0.684774
      6928.38	0.041786	730641.0	209441.0	105807.0	1.24948	0.682825
      6928.67	0.048583	849873.0	243774.0	123884.0	1.24885	0.676896
      6928.96	0.051493	900573.0	258451.0	131147.0	1.24833	0.678387
      6929.25	0.048618	850188.0	244083.0	123492.0	1.24795	0.681332
      6929.54	0.047379	828518.0	238193.0	120132.0	1.24656	0.684490
      6929.83	0.047987	839406.0	241170.0	121993.0	1.24719	0.681538
      6930.12	0.046567	814723.0	234601.0	119159.0	1.24496	0.677427
      6930.41	0.047766	835429.0	240277.0	121644.0	1.24615	0.680694
      6930.70	0.047826	836110.0	240680.0	121915.0	1.24529	0.680144
      6930.99	0.046756	817882.0	235510.0	119296.0	1.24496	0.680146
      6931.28	0.048698	851436.0	245394.0	123986.0	1.24406	0.682696
      6931.57	0.049931	873431.0	252147.0	127949.0	1.24242	0.678381
      6931.87	0.047248	826170.0	238344.0	121018.0	1.24309	0.677776
      6932.16	0.045433	794375.0	229111.0	115813.0	1.24335	0.682230
      6932.45	0.043722	764713.0	220882.0	111472.0	1.24187	0.683855
      6932.74	0.047039	822866.0	237907.0	120548.0	1.24091	0.679832
      6933.03	0.051954	909205.0	263021.0	133940.0	1.24034	0.674842
      6933.32	0.051241	896805.0	259633.0	132098.0	1.23957	0.675725
      6933.61	0.048289	844852.0	244773.0	124195.0	1.23883	0.678478
      6933.90	0.045248	791690.0	229457.0	116637.0	1.23845	0.676649
      6934.19	0.047218	826197.0	239515.0	121777.0	1.23822	0.676425
      6934.48	0.046922	821074.0	238051.0	120938.0	1.23813	0.677207
      6934.77	0.046695	816995.0	237020.0	120472.0	1.23749	0.676727
      6935.07	0.048484	848232.0	246270.0	125192.0	1.23673	0.676580
      6935.36	0.047744	835333.0	242563.0	122979.0	1.23657	0.679248
      6935.65	0.049717	869925.0	252943.0	128490.0	1.23524	0.677313
      6935.94	0.048550	849693.0	246997.0	125658.0	1.23550	0.675812
      6936.23	0.043457	760576.0	221343.0	112472.0	1.23436	0.677009
      6936.52	0.043484	760643.0	221380.0	112272.0	1.23428	0.678956
      6936.81	0.049749	870970.0	253794.0	129424.0	1.23308	0.673429
      6937.10	0.050440	883125.0	257748.0	131033.0	1.23148	0.676533
      6937.40	0.050404	882241.0	257480.0	131118.0	1.23152	0.674844
      6937.69	0.050164	878182.0	256429.0	130563.0	1.23100	0.674996
      6937.98	0.044946	786812.0	229996.0	117041.0	1.22993	0.675538
      6938.27	0.045936	804585.0	235319.0	120068.0	1.22938	0.672884
      6938.56	0.046000	805672.0	235885.0	120384.0	1.22833	0.672658
      6938.85	0.049754	871188.0	255112.0	130047.0	1.22816	0.673807
      6939.14	0.047464	831312.0	243300.0	124078.0	1.22871	0.673385
      6939.44	0.046039	806180.0	236199.0	120839.0	1.22763	0.670216
      6939.73	0.049318	863046.0	253039.0	129034.0	1.22692	0.673468
      6940.02	0.048998	857673.0	251467.0	128049.0	1.22691	0.674899
      6940.31	0.045201	790937.0	231793.0	117814.0	1.22737	0.676738
      6940.60	0.044669	782443.0	229971.0	117549.0	1.22447	0.671098
      6940.89	0.050765	889307.0	261522.0	133626.0	1.22392	0.671474
      6941.19	0.049421	866297.0	255177.0	131039.0	1.22227	0.666462
      6941.48	0.051411	900961.0	265413.0	136562.0	1.22217	0.664508
      6941.77	0.048031	841441.0	247822.0	127197.0	1.22241	0.666974
      6942.06	0.046120	808135.0	238242.0	122192.0	1.22144	0.667693
