# Diamond Light Source
# Instrument: B18-CORE XAS Date: Sat, 30 Jul 2016 00:04:44 BST
# Ring energy:   3.0
# Ring current - start: 300.1
# Primary slits:  vertical gap=  2.4; horizontal gap= 52.0; vertical offset=  0.4; horizontal offset= -1.0
# Secondary slits:  vertical gap=  5.0; horizontal gap= 23.0; vertical offset=  5.3; horizontal offset= -14.5
# OH Mirror Coating: Pt
# White beam filter: 140um PyC
# Crystal cut: Si(111)
# PostDCM slits:  vertical gap= 18.0; horizontal gap= 28.0; vertical offset= -9.1; horizontal offset= -16.5
# Experimental slits:  vertical gap= 30.0; horizontal gap= 45.0; vertical offset=  5.0; horizontal offset= -17.5
# HR Mirror : in; Y: -39.2; Pitch:  8.3; Coating: Pt
# Mirror 2: Pitch:  2.2; Height: -6.3; Yaw: -1.5; Bend:  0.8;
# I0 Stanford sensitivity: 100 nA/V Offsets: 20 pA
# It Stanford sensitivity: 20 nA/V Offsets: 1 pA
# Iref Stanford sensitivity: 5 nA/V Offsets: 1 pA
#
# Ascii output file name: 'Fe//ascii/264038_HP5_1.dat'
# Nexus output file: '/dls/b18/data/2016/sp10306-9/Fe//nexus/264038_HP5_1.nxs'
# XML folder and files:
# /dls/b18/data/2016/sp10306-9/xml/Fe/
# QEXAFS_Parameters
# Sample_Parameters
# Detector_Parameters
# Output_Parameters
# The contents of these files are also stored in the nexus file.
#
# Sample name: HP5
# Sample description: Fe2 + BnBr2 + MgPhBr
# Additional comments: default additional comments
# command: qexafs_energy 6912.0 8062.0 3286 242.57 qexafs_counterTimer01 qexafs_xspress QexafsFFI0
#
#
# qexafs_energy	    time	      I0	       It	    Iref	   lnI0It	lnItIref	Element0	Element1	Element2	Element3	Element4	Element5	Element6	Element7	Element8	    FF	 QexafsFFI0
      6906.93	0.075692	841643.0	2286482.0	588978.0	-0.999414	 1.35638	  138.24	   68.13	   83.11	   87.24	  142.37	   91.47	  142.46	   71.32	  118.35	942.70	0.001120065
      6907.23	0.071281	792780.0	2165314.0	557505.0	-1.00477	 1.35685	  129.76	   61.91	   73.70	   70.61	  111.10	   72.56	  129.47	   77.68	   98.45	825.24	0.001040946
      6907.52	0.071705	797312.0	2178336.0	561354.0	-1.00507	 1.35596	  142.44	   66.07	   69.56	   66.53	  124.15	   69.42	  146.72	   71.32	   85.90	842.12	0.001056196
      6907.82	0.070226	781091.0	2139987.0	551294.0	-1.00786	 1.35629	  113.01	   56.76	   82.03	   62.27	  132.66	   83.13	  134.94	   73.46	  102.56	840.83	0.001076475
      6908.12	0.076362	848451.0	2321178.0	598496.0	-1.00642	 1.35541	  134.97	   62.94	   96.51	   69.68	  131.48	   92.59	  126.32	   88.22	  118.38	921.10	0.001085628
      6908.42	0.069627	774192.0	2117360.0	545888.0	-1.00611	 1.35551	  115.19	   46.41	   75.81	   62.34	  136.94	   67.36	  102.58	   71.42	   81.71	759.76	0.000981355
      6908.71	0.080165	891287.0	2434515.0	628112.0	-1.00484	 1.35478	  146.60	   67.12	   90.33	   70.64	  143.31	  104.15	  145.68	   74.46	   98.37	940.67	0.001055402
      6909.01	0.074353	826910.0	2256401.0	582040.0	-1.00383	 1.35499	  138.21	   50.55	   88.28	   76.85	  134.55	   93.65	  141.38	   76.49	   97.41	897.36	0.001085201
      6909.31	0.073303	814822.0	2227351.0	575011.0	-1.00560	 1.35418	  125.62	   49.52	   95.57	   67.56	  129.51	   73.63	  126.28	   76.57	   86.93	831.19	0.001020091
      6909.61	0.064697	719459.0	1964993.0	507534.0	-1.00474	 1.35368	  115.28	   40.24	   62.31	   61.29	  116.55	   65.23	  119.86	   56.69	   92.11	729.54	0.001014016
      6909.91	0.071910	799881.0	2182066.0	562896.0	-1.00356	 1.35493	  154.90	   55.70	   74.77	   65.46	  109.98	   92.50	  139.05	   70.29	  101.71	864.36	0.001080608
      6910.20	0.077299	859624.0	2363643.0	610990.0	-1.01146	 1.35288	  143.49	   66.03	   76.80	   68.59	  132.60	   82.06	  121.96	   78.78	   98.48	868.78	0.001010657
      6910.50	0.078120	868464.0	2396014.0	618874.0	-1.01484	 1.35366	  158.09	   71.20	   94.43	   86.29	  155.18	   95.76	  150.00	   85.95	   96.35	993.25	0.001143681
      6910.80	0.076372	848584.0	2339088.0	604883.0	-1.01395	 1.35248	  142.41	   61.88	   74.75	   66.42	  135.74	   79.89	  141.39	   89.11	   83.80	875.39	0.001031591
      6911.10	0.071588	796097.0	2176464.0	562677.0	-1.00574	 1.35275	  142.38	   53.66	   73.70	   70.67	  108.77	   86.29	  141.21	   62.96	   96.31	835.95	0.001050059
      6911.40	0.071694	797248.0	2184016.0	565149.0	-1.00775	 1.35183	  140.33	   54.69	   72.66	   61.29	  122.88	   87.30	  127.37	   80.77	   97.39	844.68	0.001059495
      6911.70	0.072595	806874.0	2224810.0	575773.0	-1.01426	 1.35171	  124.51	   62.92	   64.35	   69.64	  113.18	   85.23	  133.74	   64.04	   85.92	803.52	0.000995845
      6911.99	0.074599	829159.0	2280069.0	589813.0	-1.01155	 1.35216	  126.81	   56.73	   89.28	   61.27	  127.22	   94.75	  143.37	   64.99	   84.86	849.29	0.001024275
      6912.29	0.075418	838242.0	2313455.0	598943.0	-1.01519	 1.35133	  136.29	   58.79	   78.97	   60.30	  135.83	   91.57	  110.99	   68.19	   74.44	815.38	0.000972723
      6912.59	0.074460	827525.0	2274969.0	589209.0	-1.01128	 1.35094	  120.47	   46.41	   81.98	   63.35	  113.22	   90.45	  140.18	   84.93	  105.75	846.75	0.001023226
      6912.89	0.075429	838603.0	2314214.0	599275.0	-1.01509	 1.35110	  119.32	   63.99	   93.40	   44.62	  105.64	   75.76	  131.41	   63.95	  111.03	809.11	0.000964836
      6913.19	0.073199	813390.0	2250701.0	583303.0	-1.01779	 1.35029	  138.25	   71.20	   78.93	   70.63	  134.73	   77.84	  137.00	   74.46	   82.73	865.76	0.001064381
      6913.49	0.069408	771614.0	2128777.0	551356.0	-1.01482	 1.35092	  118.27	   46.45	   67.52	   57.14	  106.88	   78.91	  121.05	   59.78	  102.68	758.68	0.000983236
      6913.78	0.066561	739270.0	2051345.0	532130.0	-1.02059	 1.34936	  129.76	   61.90	   82.03	   66.48	  120.68	   71.56	  115.47	   61.91	   89.01	798.81	0.001080532
      6914.08	0.079025	878086.0	2428760.0	630038.0	-1.01739	 1.34936	  129.68	   69.13	   83.05	   69.57	  124.06	  108.32	  133.59	   74.51	  105.77	897.69	0.001022326
      6914.38	0.078452	871611.0	2409352.0	625212.0	-1.01677	 1.34902	  148.69	   65.00	   94.53	   69.61	  145.52	  100.99	  126.31	   69.27	   83.85	903.79	0.001036915
      6914.68	0.077725	863194.0	2393456.0	620808.0	-1.01985	 1.34947	  125.61	   55.71	   83.08	   72.71	  127.12	   82.03	  102.49	   81.81	   93.21	823.76	0.000954322
      6914.98	0.073909	820859.0	2279144.0	592067.0	-1.02120	 1.34794	  104.67	   59.85	   87.29	   52.99	  138.93	   91.45	  120.81	   70.31	   95.31	821.60	0.001000909
      6915.28	0.070167	780036.0	2143635.0	556539.0	-1.01092	 1.34852	  110.98	   57.81	   81.99	   62.33	  142.42	   90.49	  107.90	   75.57	   98.37	827.85	0.001061299
      6915.57	0.074823	831781.0	2293398.0	595654.0	-1.01422	 1.34813	  130.81	   47.47	   86.23	   62.34	  130.51	   87.28	  120.74	   71.39	   81.71	818.48	0.000984005
      6915.87	0.073613	817894.0	2265299.0	588820.0	-1.01873	 1.34734	  124.48	   51.57	   68.44	   56.14	  117.63	   79.99	  119.83	   59.73	   81.67	759.49	0.000928593
      6916.17	0.070128	779198.0	2152776.0	559323.0	-1.01625	 1.34779	  118.40	   41.28	   78.93	   65.43	  139.02	   74.74	  147.06	   71.45	   91.15	827.45	0.001061931
      6916.47	0.074065	822926.0	2283843.0	593836.0	-1.02075	 1.34701	  115.17	   43.35	   86.22	   67.54	  106.94	   90.56	  105.66	   63.99	   97.40	776.84	0.000943992
      6916.77	0.079205	880167.0	2429296.0	631862.0	-1.01525	 1.34669	  115.12	   52.60	   68.53	   77.92	  114.35	   91.53	  147.75	   79.75	  106.84	854.40	0.000970723
      6917.07	0.072952	811276.0	2244345.0	584036.0	-1.01756	 1.34621	  119.34	   56.72	  105.87	   57.12	  112.09	   89.42	  141.35	   83.92	   92.13	857.95	0.001057527
      6917.37	0.067761	753160.0	2080384.0	541101.0	-1.01603	 1.34670	  113.06	   53.67	   74.74	   52.99	  115.38	   98.93	  124.27	   82.89	   79.59	795.52	0.001056245
      6917.66	0.069596	773852.0	2154779.0	560969.0	-1.02406	 1.34578	  127.69	   56.80	   71.71	   68.58	  103.53	   84.18	  146.64	   86.04	   91.22	836.39	0.001080813
      6917.96	0.078296	870276.0	2409546.0	627275.0	-1.01838	 1.34581	  133.99	   55.71	  100.77	   71.73	  142.33	   74.63	  130.60	   90.21	  116.31	916.29	0.001052868
      6918.26	0.074831	831535.0	2298314.0	598790.0	-1.01666	 1.34502	  127.63	   69.14	   86.21	   59.22	  129.36	   64.14	  132.70	   70.24	   93.25	831.90	0.001000440
      6918.56	0.076896	854257.0	2376128.0	618778.0	-1.02300	 1.34548	  128.84	   48.47	   92.49	   76.93	  135.94	   99.89	  134.80	   71.40	  100.52	889.28	0.001040994
      6918.86	0.077409	860366.0	2389427.0	623023.0	-1.02145	 1.34423	  129.95	   53.71	   87.21	   79.98	  129.58	   90.59	  120.87	   75.53	   95.33	862.75	0.001002768
      6919.16	0.070790	786647.0	2191681.0	571383.0	-1.02464	 1.34436	  118.40	   44.39	   71.70	   68.62	  116.52	   72.56	  129.72	   84.08	   97.38	803.37	0.001021253
      6919.46	0.072356	804078.0	2242768.0	584525.0	-1.02577	 1.34467	  127.69	   46.42	   71.70	   59.26	  116.43	   87.37	  128.42	   70.29	   75.48	783.06	0.000973857
      6919.76	0.070741	785747.0	2174602.0	567571.0	-1.01797	 1.34324	  110.98	   69.18	   75.78	   55.09	  128.46	   77.82	  116.47	   74.52	  108.00	816.32	0.001038904
      6920.06	0.076039	844401.0	2348315.0	612666.0	-1.02283	 1.34363	  142.46	   59.86	   79.91	   65.43	  143.60	   98.91	  130.51	   84.98	   96.26	901.92	0.001068122
      6920.35	0.072718	807052.0	2253964.0	588044.0	-1.02706	 1.34364	  118.30	   59.85	   74.79	   46.74	  116.49	   87.37	  125.25	   69.26	   92.22	790.26	0.000979192
      6920.65	0.075973	843356.0	2356448.0	615351.0	-1.02752	 1.34272	  125.69	   42.29	   93.47	   70.64	  137.13	   68.37	  121.88	   82.97	  103.74	846.19	0.001003360
      6920.95	0.078751	874375.0	2433544.0	635268.0	-1.02359	 1.34306	  141.41	   47.49	   83.10	   69.61	  106.79	   98.85	  144.69	   70.29	  102.68	864.91	0.000989171
      6921.25	0.071965	798917.0	2229892.0	582470.0	-1.02645	 1.34243	  116.19	   49.54	   71.68	   58.18	  135.83	   86.30	  123.16	   62.98	   94.33	798.19	0.000999089
      6921.55	0.066684	740620.0	2061992.0	539027.0	-1.02394	 1.34166	  107.77	   41.26	   68.56	   64.39	  120.82	   70.45	   99.24	   65.06	   77.54	715.07	0.000965500
      6921.85	0.074958	832207.0	2334677.0	609849.0	-1.03155	 1.34242	  125.53	   54.69	   82.00	   56.08	  120.74	   90.41	  106.66	   72.38	   97.33	805.82	0.000968292
      6922.15	0.078122	867361.0	2421689.0	633343.0	-1.02677	 1.34121	  140.40	   69.17	   75.82	   69.60	  122.92	   82.13	  132.74	   80.87	  110.04	883.68	0.001018818
      6922.45	0.072949	810202.0	2263498.0	591658.0	-1.02738	 1.34174	  123.61	   47.44	   70.63	   76.89	  131.61	   81.06	  124.22	   74.47	  105.91	835.83	0.001031638
      6922.75	0.076717	851750.0	2392782.0	626003.0	-1.03292	 1.34086	  128.78	   59.85	   72.66	   66.49	  118.80	   97.90	  128.39	   75.52	  112.12	860.51	0.001010282
