# Diamond Light Source
# Instrument: B18-CORE XAS Date: Sat, 30 Jul 2016 00:39:45 BST
# Ring energy:   3.0
# Ring current - start: 298.4
# Primary slits:  vertical gap=  2.4; horizontal gap= 52.0; vertical offset=  0.4; horizontal offset= -1.0
# Secondary slits:  vertical gap=  5.0; horizontal gap= 23.0; vertical offset=  5.3; horizontal offset= -14.5
# OH Mirror Coating: Pt
# White beam filter: 140um PyC
# Crystal cut: Si(111)
# PostDCM slits:  vertical gap= 18.0; horizontal gap= 28.0; vertical offset= -9.1; horizontal offset= -16.5
# Experimental slits:  vertical gap= 30.0; horizontal gap= 45.0; vertical offset=  5.0; horizontal offset= -17.5
# HR Mirror : in; Y: -39.2; Pitch:  8.3; Coating: Pt
# Mirror 2: Pitch:  2.2; Height: -6.3; Yaw: -1.5; Bend:  0.8;
# I0 Stanford sensitivity: 100 nA/V Offsets: 20 pA
# It Stanford sensitivity: 20 nA/V Offsets: 1 pA
# Iref Stanford sensitivity: 5 nA/V Offsets: 1 pA
#
# Ascii output file name: 'Fe//ascii/264046_HP5_9.dat'
# Nexus output file: '/dls/b18/data/2016/sp10306-9/Fe//nexus/264046_HP5_9.nxs'
# XML folder and files:
# /dls/b18/data/2016/sp10306-9/xml/Fe/
# QEXAFS_Parameters
# Sample_Parameters
# Detector_Parameters
# Output_Parameters
# The contents of these files are also stored in the nexus file.
#
# Sample name: HP5
# Sample description: Fe2 + BnBr2 + MgPhBr
# Additional comments: default additional comments
# command: qexafs_energy 6912.0 8062.0 3286 242.57 qexafs_counterTimer01 qexafs_xspress QexafsFFI0
#
#
# qexafs_energy	    time	      I0	       It	    Iref	  lnI0It	lnItIref	Element0	Element1	Element2	Element3	Element4	Element5	Element6	Element7	Element8	    FF	 QexafsFFI0
      6906.93	0.076492	834672.0	2636415.0	684337.0	-1.15014	 1.34872	  110.75	   50.45	   75.67	   72.58	  147.27	   97.67	  147.41	   77.52	   98.23	877.55	0.001051371
      6907.23	0.071798	783303.0	2471292.0	641121.0	-1.14898	 1.34928	  133.82	   70.04	   77.71	   66.36	   97.87	   85.06	  134.49	   71.25	   84.69	821.29	0.001048495
      6907.52	0.072306	788945.0	2487345.0	645863.0	-1.14827	 1.34838	  134.88	   50.49	   79.82	   53.91	  120.38	   95.52	  142.10	   73.35	  106.68	857.14	0.001086438
      6907.82	0.072940	795850.0	2515041.0	653780.0	-1.15063	 1.34727	  124.30	   55.64	   82.92	   48.78	  126.73	   92.40	  153.94	   57.62	   89.96	832.28	0.001045776
      6908.12	0.074321	811250.0	2553329.0	663088.0	-1.14658	 1.34825	  150.65	   53.55	   78.75	   66.42	  131.45	   77.73	  105.48	   70.19	   99.39	833.60	0.001027555
      6908.42	0.070222	766694.0	2428406.0	631413.0	-1.15290	 1.34703	  128.56	   54.61	   67.39	   59.08	  124.75	   79.73	  111.97	   52.34	   87.91	766.34	0.000999534
      6908.71	0.078411	855979.0	2704692.0	703667.0	-1.15050	 1.34644	  124.40	   60.81	   81.95	   80.91	  107.62	   93.48	  143.20	   74.39	  115.17	881.93	0.001030317
      6909.01	0.072365	789472.0	2501535.0	651634.0	-1.15330	 1.34518	  111.78	   56.63	   91.20	   73.63	  121.67	  102.94	  116.28	   74.35	   89.96	838.45	0.001062037
      6909.31	0.073547	802686.0	2538067.0	661946.0	-1.15119	 1.34397	  110.82	   49.48	   76.75	   75.70	  123.77	   77.73	  123.88	   79.68	  100.41	818.22	0.001019348
      6909.61	0.064776	706674.0	2244145.0	584735.0	-1.15551	 1.34492	  111.94	   56.69	   61.20	   54.96	  106.53	   67.22	   94.62	   58.67	   90.98	702.82	0.000994542
      6909.91	0.071364	778372.0	2467038.0	643495.0	-1.15357	 1.34386	  122.34	   55.68	   74.63	   69.54	  108.85	   81.94	  130.25	   86.92	   94.16	824.31	0.001059018
      6910.20	0.077287	843139.0	2669235.0	694917.0	-1.15242	 1.34575	  150.62	   46.37	   78.75	   60.13	  137.71	   93.34	  120.55	   75.42	  100.41	863.30	0.001023907
      6910.50	0.079362	865612.0	2756026.0	719155.0	-1.15811	 1.34347	  135.98	   65.94	   80.90	   67.43	  125.84	   88.20	  153.94	   75.41	  100.34	893.98	0.001032773
      6910.80	0.077619	846682.0	2683880.0	700289.0	-1.15369	 1.34353	  108.80	   46.38	  102.64	   73.70	  118.39	   73.54	  134.74	   70.18	  123.53	851.88	0.001006139
      6911.10	0.072393	789945.0	2518038.0	657682.0	-1.15927	 1.34251	  128.80	   57.73	   90.29	   61.24	  136.56	   72.55	  128.27	   71.31	  101.42	848.16	0.001073699
      6911.40	0.071576	780639.0	2470939.0	644786.0	-1.15224	 1.34344	  110.85	   49.43	   84.01	   50.79	  109.73	   88.27	  132.36	   59.70	  102.48	787.63	0.001008954
      6911.70	0.072440	790121.0	2496260.0	651099.0	-1.15036	 1.34389	   96.17	   82.49	   70.52	   72.65	  120.57	   87.26	  116.32	   75.48	  105.60	827.06	0.001046746
      6911.99	0.074628	813970.0	2586280.0	675772.0	-1.15605	 1.34212	  121.20	   52.57	   82.92	   67.40	  112.03	   93.51	  143.20	   63.92	  102.54	839.29	0.001031101
      6912.29	0.073758	804151.0	2554262.0	667211.0	-1.15573	 1.34241	  112.95	   58.73	   75.69	   74.71	  116.22	   92.41	  143.07	   61.82	   99.36	834.95	0.001038305
      6912.59	0.075191	819730.0	2604453.0	680510.0	-1.15600	 1.34214	  131.67	   42.24	   83.98	   61.22	  135.51	   73.48	  115.27	   92.17	  113.95	849.49	0.001036311
      6912.89	0.075592	824568.0	2610816.0	682274.0	-1.15256	 1.34199	  120.24	   55.65	   94.33	   54.98	  117.09	   92.31	  137.79	   68.11	  105.59	846.09	0.001026101
      6913.19	0.071361	778661.0	2477107.0	648228.0	-1.15727	 1.34060	  133.93	   56.72	   80.90	   52.92	  119.34	   75.53	  101.15	   68.11	   85.72	774.31	0.000994412
