# Diamond Light Source
# Instrument: B18-CORE XAS Date: Sat, 30 Jul 2016 01:09:14 BST
# Ring energy:   3.0
# Ring current - start: 298.5
# Primary slits:  vertical gap=  2.4; horizontal gap= 52.0; vertical offset=  0.4; horizontal offset= -1.0
# Secondary slits:  vertical gap=  5.0; horizontal gap= 23.0; vertical offset=  5.3; horizontal offset= -14.5
# OH Mirror Coating: Pt
# White beam filter: 140um PyC
# Crystal cut: Si(111)
# PostDCM slits:  vertical gap= 18.0; horizontal gap= 28.0; vertical offset= -9.1; horizontal offset= -16.5
# Experimental slits:  vertical gap= 30.0; horizontal gap= 45.0; vertical offset=  5.0; horizontal offset= -17.5
# HR Mirror : in; Y: -39.2; Pitch:  8.3; Coating: Pt
# Mirror 2: Pitch:  2.2; Height: -6.3; Yaw: -1.5; Bend:  0.8;
# I0 Stanford sensitivity: 100 nA/V Offsets: 20 pA
# It Stanford sensitivity: 20 nA/V Offsets: 1 pA
# Iref Stanford sensitivity: 5 nA/V Offsets: 1 pA
#
# Ascii output file name: 'Fe//ascii/264049_Fe_I_2.dat'
# Nexus output file: '/dls/b18/data/2016/sp10306-9/Fe//nexus/264049_Fe_I_2.nxs'
# XML folder and files:
# /dls/b18/data/2016/sp10306-9/xml/Fe/
# QEXAFS_Parameters
# Sample_Parameters
# Detector_Parameters
# Output_Parameters
# The contents of these files are also stored in the nexus file.
#
# Sample name: Fe_I
# Sample description: Fedpbz2Br
# Additional comments: default additional comments
# command: qexafs_energy 6912.0 8062.0 3286 242.57 qexafs_counterTimer01 qexafs_xspress QexafsFFI0
#
#
# qexafs_energy	    time	      I0	       It	    Iref	  lnI0It	lnItIref	Element0	Element1	Element2	Element3	Element4	Element5	Element6	Element7	Element8	    FF	 QexafsFFI0
      6906.93	0.075097	822946.0	2677265.0	841600.0	-1.17966	 1.15725	   57.33	   29.44	   36.65	   31.58	   77.12	   43.28	   97.35	   44.20	   77.11	494.05	0.000600339
      6907.23	0.072452	793803.0	2582918.0	812262.0	-1.17984	 1.15685	   71.69	   32.47	   35.64	   38.73	   85.56	   60.81	   95.32	   50.33	   64.77	535.31	0.000674365
      6907.52	0.071580	783961.0	2552012.0	804146.0	-1.18028	 1.15486	   67.63	   31.45	   48.84	   40.74	   63.57	   47.41	   99.62	   50.34	   59.62	509.23	0.000649557
      6907.82	0.072480	794499.0	2584094.0	813509.0	-1.17942	 1.15577	   75.80	   27.41	   45.80	   34.63	   59.49	   57.75	  110.14	   38.01	   62.72	511.75	0.000644114
      6908.12	0.075304	825598.0	2684878.0	846345.0	-1.17928	 1.15446	   59.43	   30.44	   43.77	   30.57	   74.11	   55.64	   94.29	   53.45	   61.66	503.37	0.000609705
      6908.42	0.069987	767242.0	2495152.0	785362.0	-1.17930	 1.15596	   57.35	   26.40	   38.68	   43.80	   86.65	   52.55	   85.93	   46.25	   73.99	511.60	0.000666803
      6908.71	0.077539	849683.0	2764167.0	874699.0	-1.17963	 1.15061	   72.73	   33.48	   46.83	   51.92	   91.75	   63.92	  102.61	   44.15	   72.99	580.38	0.000683059
      6909.01	0.074790	819068.0	2666445.0	841323.0	-1.18033	 1.15353	   66.59	   24.35	   46.82	   47.90	   78.25	   52.59	   84.85	   48.30	   73.98	523.63	0.000639296
      6909.31	0.073789	808075.0	2630496.0	830991.0	-1.18027	 1.15231	   60.38	   42.61	   39.66	   37.68	   84.45	   56.68	   89.00	   50.35	   56.54	517.35	0.000640220
      6909.61	0.064695	707947.0	2306495.0	730886.0	-1.18112	 1.14923	   56.37	   30.45	   32.56	   37.68	   78.23	   57.70	   64.92	   47.25	   54.52	459.66	0.000649285
      6909.91	0.072129	790142.0	2571432.0	813143.0	-1.18001	 1.15131	   71.66	   34.50	   47.84	   41.76	   69.84	   57.72	   91.10	   44.20	   64.78	523.40	0.000662412
      6910.20	0.077735	850831.0	2771270.0	879812.0	-1.18085	 1.14735	   65.57	   37.55	   42.77	   36.68	   65.71	   71.14	   90.08	   48.31	   85.30	543.12	0.000638337
      6910.50	0.077551	850532.0	2764858.0	874780.0	-1.17888	 1.15077	   63.50	   35.52	   33.57	   51.97	   92.83	   63.88	   80.71	   40.07	   63.75	525.80	0.000618202
      6910.80	0.076608	839347.0	2731294.0	866902.0	-1.17991	 1.14760	   54.29	   27.40	   44.79	   40.75	   80.37	   50.54	   93.31	   46.30	   79.16	516.90	0.000615838
      6911.10	0.071697	785395.0	2556074.0	809867.0	-1.18004	 1.14936	   65.57	   37.55	   36.64	   38.71	   70.95	   57.68	   78.53	   53.48	   63.67	502.78	0.000640167
      6911.40	0.072707	796916.0	2592248.0	825643.0	-1.17953	 1.14412	   73.76	   34.50	   36.64	   34.64	   98.20	   57.66	   82.69	   47.28	   67.80	533.17	0.000669041
      6911.70	0.072234	791879.0	2575353.0	819678.0	-1.17933	 1.14483	   76.86	   28.42	   48.88	   35.67	   79.29	   67.03	   96.40	   45.22	   56.52	534.29	0.000674716
      6911.99	0.074648	818025.0	2661021.0	847898.0	-1.17957	 1.14370	   67.61	   34.50	   40.71	   42.79	   88.66	   49.48	   92.14	   61.71	   64.77	542.37	0.000663021
      6912.29	0.072946	799466.0	2600635.0	828736.0	-1.17957	 1.14361	   58.38	   26.38	   35.63	   30.57	   79.25	   60.82	   67.12	   51.38	   54.49	464.02	0.000580414
      6912.59	0.076775	841106.0	2737169.0	873618.0	-1.17996	 1.14204	   51.25	   30.43	   51.90	   29.53	   89.80	   63.89	   94.21	   42.13	   73.02	526.16	0.000625552
      6912.89	0.075769	829852.0	2701343.0	860783.0	-1.18026	 1.14366	   69.67	   28.41	   39.71	   46.87	   89.72	   60.80	   87.93	   32.88	   79.15	535.13	0.000644847
      6913.19	0.072431	793089.0	2582436.0	824817.0	-1.18055	 1.14133	   72.71	   26.38	   41.74	   36.66	   68.88	   51.55	   95.31	   39.04	   56.51	488.77	0.000616282
      6913.49	0.068336	748461.0	2436197.0	779759.0	-1.18017	 1.13921	   69.71	   29.43	   41.76	   41.76	   70.86	   61.83	   97.40	   43.14	   60.66	516.54	0.000690137
      6913.78	0.067596	740228.0	2409770.0	771326.0	-1.18033	 1.13918	   66.59	   22.32	   38.70	   29.55	   74.11	   56.75	   97.42	   40.09	   71.96	497.49	0.000672074
      6914.08	0.077170	845196.0	2751109.0	880671.0	-1.18019	 1.13908	   67.63	   34.50	   36.65	   37.71	   87.75	   58.79	   90.15	   48.32	   82.35	543.86	0.000643469
      6914.38	0.079460	870176.0	2832961.0	909346.0	-1.18038	 1.13635	   77.87	   25.37	   61.12	   38.69	   89.64	   66.01	  106.98	   33.90	   84.30	583.88	0.000670990
      6914.68	0.078183	856136.0	2787291.0	895423.0	-1.18040	 1.13553	   64.54	   25.37	   51.93	   34.63	   66.69	   53.58	   96.22	   54.43	   71.93	519.30	0.000606566
      6914.98	0.074615	817026.0	2659833.0	853163.0	-1.18035	 1.13707	   52.26	   32.47	   41.76	   32.62	   79.28	   68.04	   79.65	   63.71	   85.35	535.14	0.000654990
      6915.28	0.070523	772371.0	2514194.0	808664.0	-1.18024	 1.13432	   69.67	   30.44	   32.56	   29.53	   75.11	   53.59	   88.09	   37.02	   57.54	473.56	0.000613123
      6915.57	0.074140	811945.0	2643228.0	848147.0	-1.18032	 1.13670	   62.46	   27.39	   37.66	   31.60	   52.12	   55.66	   94.29	   43.14	   62.71	467.03	0.000575200
      6915.87	0.072600	794891.0	2588297.0	832395.0	-1.18055	 1.13445	   71.71	   28.42	   42.76	   38.74	   75.12	   48.44	   93.30	   54.47	   49.37	502.35	0.000631971
      6916.17	0.071985	788549.0	2566173.0	824523.0	-1.17998	 1.13537	   57.39	   28.42	   41.77	   33.64	   78.28	   37.12	   94.32	   38.05	   63.74	472.72	0.000599485
      6916.47	0.073546	805420.0	2621924.0	846447.0	-1.18030	 1.13062	   65.56	   27.39	   38.70	   30.57	   86.51	   45.36	   74.38	   39.06	   80.18	487.71	0.000605532
      6916.77	0.077490	848618.0	2762720.0	889760.0	-1.18036	 1.13302	   61.47	   31.46	   39.71	   34.66	   72.97	   45.36	   79.65	   49.32	   83.34	497.93	0.000586757
      6917.07	0.072627	795293.0	2589131.0	835698.0	-1.18037	 1.13081	   63.54	   23.33	   40.73	   35.67	   67.86	   59.80	   79.66	   34.94	   59.66	465.18	0.000584922
      6917.37	0.068787	753348.0	2452232.0	791525.0	-1.18023	 1.13079	   55.29	   29.42	   43.78	   34.62	   82.42	   45.36	   75.39	   46.25	   74.03	486.55	0.000645853
      6917.66	0.068721	752433.0	2450064.0	790597.0	-1.18056	 1.13108	   72.73	   28.41	   49.93	   28.53	   58.40	   55.64	   73.33	   40.08	   50.36	457.40	0.000607896
      6917.96	0.075359	824995.0	2686543.0	870426.0	-1.18063	 1.12703	   70.71	   24.36	   45.82	   41.77	   83.50	   60.83	   86.94	   42.11	   76.02	532.05	0.000644915
      6918.26	0.076842	841999.0	2739487.0	884399.0	-1.17975	 1.13062	   63.52	   28.42	   46.82	   42.80	   81.47	   69.04	   90.07	   44.21	   64.79	531.14	0.000630808
      6918.56	0.076769	840694.0	2736896.0	886657.0	-1.18035	 1.12712	   74.77	   30.44	   45.82	   44.83	   59.41	   70.13	   84.85	   50.36	   66.82	527.42	0.000627363
      6918.86	0.079413	869284.0	2831006.0	918989.0	-1.18072	 1.12511	   47.13	   34.51	   46.85	   34.63	   77.13	   51.51	   92.17	   54.46	   67.85	506.23	0.000582351
      6919.16	0.071030	777929.0	2532193.0	821627.0	-1.18021	 1.12555	   57.38	   30.46	   40.73	   42.80	   68.89	   54.67	   82.81	   48.32	   61.69	487.75	0.000626988
      6919.46	0.071572	783133.0	2551634.0	829298.0	-1.18119	 1.12391	   56.33	   29.43	   35.63	   31.58	   70.98	   62.85	   83.81	   48.32	   55.50	474.42	0.000605803
      6919.76	0.070763	773992.0	2522846.0	819893.0	-1.18158	 1.12397	   48.17	   23.34	   38.68	   39.72	   68.77	   46.38	   76.44	   46.26	   57.55	445.30	0.000575334
      6920.06	0.078446	858429.0	2796695.0	909080.0	-1.18109	 1.12376	   79.96	   28.41	   40.73	   46.88	   97.07	   54.63	   95.34	   44.22	   71.99	559.24	0.000651464
      6920.35	0.070653	773289.0	2518811.0	817571.0	-1.18089	 1.12520	   52.26	   38.57	   37.67	   26.49	   73.02	   49.48	   86.98	   46.25	   57.59	468.31	0.000605603
      6920.65	0.076015	832034.0	2710048.0	880124.0	-1.18085	 1.12466	   68.68	   28.41	   43.78	   34.63	   83.38	   62.93	   87.98	   43.15	   76.10	529.04	0.000635839
      6920.95	0.079195	866907.0	2823382.0	918921.0	-1.18076	 1.12249	   69.68	   31.46	   53.96	   28.53	   60.45	   66.95	  102.66	   58.58	   81.26	553.52	0.000638500
      6921.25	0.069569	761131.0	2480254.0	807323.0	-1.18131	 1.12239	   54.27	   38.58	   39.70	   36.67	   70.93	   59.79	   75.48	   32.88	   64.77	473.09	0.000621560
      6921.55	0.066596	728443.0	2374119.0	774605.0	-1.18147	 1.12003	   80.96	   17.25	   31.57	   30.57	   63.66	   44.35	   93.34	   45.20	   51.44	458.35	0.000629216
      6921.85	0.076809	840952.0	2738249.0	892926.0	-1.18054	 1.12057	   71.75	   23.34	   38.69	   33.64	   70.95	   48.46	   87.02	   48.34	   71.00	493.19	0.000586464
      6922.15	0.077376	846788.0	2758595.0	900142.0	-1.18103	 1.11992	   59.42	   35.52	   31.57	   31.60	   80.36	   69.13	   92.17	   39.06	   69.93	508.77	0.000600821
      6922.45	0.073133	799972.0	2607454.0	851432.0	-1.18155	 1.11921	   59.43	   35.51	   32.58	   32.61	   80.36	   63.87	   65.98	   54.49	   63.70	488.54	0.000610693
      6922.75	0.078158	855143.0	2786474.0	912165.0	-1.18126	 1.11671	   71.74	   37.53	   39.72	   42.79	   78.23	   63.88	  108.92	   47.26	   66.84	556.91	0.000651243
      6923.05	0.071749	785291.0	2557961.0	836537.0	-1.18091	 1.11769	   77.89	   19.28	   46.82	   26.48	   77.17	   62.90	   79.68	   47.29	   70.95	508.44	0.000647458
      6923.35	0.072082	788862.0	2569713.0	841128.0	-1.18096	 1.11681	   46.11	   27.41	   43.77	   38.73	   85.55	   59.78	  100.58	   47.28	   56.52	505.72	0.000641077
      6923.64	0.070780	774749.0	2523381.0	827562.0	-1.18082	 1.11487	   56.38	   30.44	   40.73	   31.60	   80.43	   59.82	   95.41	   38.05	   49.37	482.23	0.000622435
      6923.94	0.076571	838969.0	2729632.0	894114.0	-1.17975	 1.11609	   63.52	   37.56	   42.76	   39.74	   71.93	   63.93	   82.77	   48.31	   69.95	520.46	0.000620362
