# Diamond Light Source
# Instrument: B18-CORE XAS Date: Sat, 30 Jul 2016 01:35:30 BST
# Ring energy:   3.0
# Ring current - start: 299.9
# Primary slits:  vertical gap=  2.4; horizontal gap= 52.0; vertical offset=  0.4; horizontal offset= -1.0
# Secondary slits:  vertical gap=  5.0; horizontal gap= 23.0; vertical offset=  5.3; horizontal offset= -14.5
# OH Mirror Coating: Pt
# White beam filter: 140um PyC
# Crystal cut: Si(111)
# PostDCM slits:  vertical gap= 18.0; horizontal gap= 28.0; vertical offset= -9.1; horizontal offset= -16.5
# Experimental slits:  vertical gap= 30.0; horizontal gap= 45.0; vertical offset=  5.0; horizontal offset= -17.5
# HR Mirror : in; Y: -39.2; Pitch:  8.3; Coating: Pt
# Mirror 2: Pitch:  2.2; Height: -6.3; Yaw: -1.5; Bend:  0.8;
# I0 Stanford sensitivity: 100 nA/V Offsets: 20 pA
# It Stanford sensitivity: 20 nA/V Offsets: 1 pA
# Iref Stanford sensitivity: 5 nA/V Offsets: 1 pA
#
# Ascii output file name: 'Fe//ascii/264055_Fe_I_8.dat'
# Nexus output file: '/dls/b18/data/2016/sp10306-9/Fe//nexus/264055_Fe_I_8.nxs'
# XML folder and files:
# /dls/b18/data/2016/sp10306-9/xml/Fe/
# QEXAFS_Parameters
# Sample_Parameters
# Detector_Parameters
# Output_Parameters
# The contents of these files are also stored in the nexus file.
#
# Sample name: Fe_I
# Sample description: Fedpbz2Br
# Additional comments: default additional comments
# command: qexafs_energy 6912.0 8062.0 3286 242.57 qexafs_counterTimer01 qexafs_xspress QexafsFFI0
#
#
# qexafs_energy	    time	      I0	       It	     Iref	  lnI0It	lnItIref	Element0	Element1	Element2	Element3	Element4	Element5	Element6	Element7	Element8	    FF	 QexafsFFI0
      6906.93	0.074567	814950.0	2658566.0	1001654.0	-1.18242	0.976134	   59.43	   28.40	   39.69	   37.70	   86.54	   56.62	   91.00	   48.28	   67.82	515.49	0.000632541
      6907.23	0.071754	784608.0	2558267.0	966587.0	-1.18190	0.973314	   53.21	   29.41	   37.65	   24.45	   68.82	   53.54	   99.41	   54.42	   67.80	488.71	0.000622865
      6907.52	0.072213	789319.0	2574570.0	974842.0	-1.18227	0.971162	   71.70	   37.54	   42.75	   36.67	   75.03	   54.59	   90.02	   48.29	   67.79	524.36	0.000664318
      6907.82	0.070938	776066.0	2529203.0	957046.0	-1.18142	0.971808	   64.53	   31.46	   42.73	   34.63	   76.10	   54.60	   84.83	   55.49	   62.68	507.04	0.000653350
      6908.12	0.075236	822498.0	2682433.0	1015434.0	-1.18213	0.971408	   67.56	   25.35	   47.81	   35.64	   80.27	   52.52	   99.37	   46.20	   43.15	497.88	0.000605332
      6908.42	0.069371	758239.0	2473305.0	937813.0	-1.18231	0.969760	   69.66	   36.54	   49.90	   33.62	   74.01	   43.23	   94.23	   35.95	   68.83	505.97	0.000667299
      6908.71	0.079517	869123.0	2835125.0	1076059.0	-1.18236	0.968781	   75.78	   26.38	   50.87	   39.73	   87.51	   69.06	  102.55	   54.45	   74.03	580.36	0.000667748
      6909.01	0.074668	816241.0	2662075.0	1008679.0	-1.18215	0.970464	   61.44	   27.39	   48.86	   32.60	   87.57	   52.57	   82.73	   32.86	   61.64	487.66	0.000597443
      6909.31	0.073202	800840.0	2609818.0	992744.0	-1.18137	0.966563	   63.51	   25.36	   30.55	   42.77	  103.15	   51.51	   92.06	   55.48	   56.52	520.91	0.000650458
      6909.61	0.065467	715663.0	2334271.0	887108.0	-1.18225	0.967488	   58.39	   25.37	   36.65	   27.50	   73.05	   47.40	   74.33	   45.18	   49.35	437.23	0.000610939
