# Diamond Light Source
# Instrument: B18-CORE XAS Date: Fri, 19 May 2017 16:36:38 BST
# Ring energy:   3.0
# Ring current - start: 299.3
# Primary slits:  vertical gap=  2.4; horizontal gap= 52.0; vertical offset=  0.4; horizontal offset= -1.0
# Secondary slits:  vertical gap=  5.0; horizontal gap= 23.0; vertical offset=  5.3; horizontal offset= -14.5
# OH Mirror Coating: Pt
# White beam filter: 140um PyC
# Crystal cut: Si(111)
# PostDCM slits:  vertical gap= 18.0; horizontal gap= 28.0; vertical offset= -9.1; horizontal offset= -16.5
# Experimental slits:  vertical gap= 40.0; horizontal gap= 45.0; vertical offset=  0.0; horizontal offset= -17.5
# HR Mirror : in; Y: -39.3; Pitch:  8.3; Coating: Pt
# Mirror 2: Pitch:  2.2; Height: -6.2; Yaw: -1.6; Bend:  0.8;
# I0 Stanford sensitivity: 100 nA/V Offsets: 1 pA
# It Stanford sensitivity: 200 nA/V Offsets: 1 pA
# Iref Stanford sensitivity: 20 nA/V Offsets: 1 pA
# Last ionchamber fill pressures (mBar) and gases: ionc1: 199.7656 (N2); ionc2: 170.8081 (Ar); ionc3: 173.5659 (Ar); ionc4: 0.0000 (None)
#
# Ascii output file name: 'Experiment_1/ascii/304376_FeBr2_DPBZ2_rxn_pos_colArow1-R_2.dat'
# Nexus output file: '/dls/b18/data/2017/sp15151-4/Experiment_1/nexus/304376_FeBr2_DPBZ2_rxn_pos_colArow1-R_2.nxs'
# XML folder and files:
# /dls/b18/data/2017/sp15151-4/xml/Experiment_1/
# QEXAFS_Parameters
# Detector_Parameters
# Sample_Parameters
# Output_Parameters
# The contents of these files are also stored in the nexus file.
#
# Sample name: FeBr2_DPBZ2_rxn_pos_colArow1-R
# Sample description: FeBr2_DPBZ2 plus Zn  reaction column A row 1 right side of row (Fe 1mMol)
# Additional comments: default additional comments
# command: qexafs_energy 6912.0 7712.0 2288 70.67 qexafs_counterTimer01 qexafs_xspress QexafsFFI0
#
#
# qexafs_energy	    time	      I0	    It	 Iref	 lnI0It	lnItIref	Element_0	Element_1	Element_2	Element_3	Element_4	Element_5	Element_6	Element_7	Element_8	Element_9	Element_10	Element_11	Element_12	Element_13	Element_14	Element_15	Element_16	Element_17	Element_18	Element_19	Element_20	Element_21	Element_22	Element_23	Element_24	Element_25	Element_26	Element_27	Element_28	Element_29	Element_30	Element_31	Element_32	Element_33	Element_34	Element_35	  FF	 QexafsFFI0
      6911.50	0.033194	416500.0	1100.0	857.0	5.93658	0.249628	    132.1	    161.3	    137.2	    161.9	    117.2	    117.0	    122.2	    128.9	    123.2	    138.5	     151.2	     129.0	     111.8	     97.98	     103.3	     112.0	     117.8	     130.1	     105.0	     128.6	     70.48	     87.41	     87.31	     112.5	     80.53	     92.41	     89.78	     64.64	     75.61	     74.54	     69.89	     65.20	     50.06	     50.92	     48.26	     82.18	3728	0.008950675
      6911.81	0.033018	414367.0	1091.0	845.0	5.93966	0.255513	    126.8	    112.6	    122.4	    136.2	    131.8	    121.1	    106.5	    127.8	    129.6	    112.4	     127.1	     110.2	     118.9	     99.27	     109.3	     109.8	     113.5	     121.8	     108.0	     85.48	     94.36	     66.92	     79.00	     82.51	     82.64	     71.89	     65.07	     61.58	     72.61	     73.62	     69.87	     63.09	     31.70	     46.90	     66.68	     62.62	3422	0.008257961
      6912.12	0.030948	388360.0	1030.0	788.0	5.93237	0.267816	    138.5	    124.0	    125.5	    132.0	    112.0	    121.1	    105.5	    112.4	    110.7	    111.3	     121.2	     135.3	     98.37	     84.39	     98.26	     80.76	     110.5	     107.1	     88.28	     93.59	     74.55	     83.44	     79.03	     87.71	     74.35	     64.80	     51.56	     52.31	     63.28	     82.81	     56.60	     51.87	     38.82	     56.06	     60.57	     55.45	3244	0.008353166
      6912.43	0.029287	367494.0	967.0	751.0	5.94026	0.252793	    111.3	    148.8	    127.8	    97.79	    93.40	    112.0	    109.6	    102.2	    103.4	    122.8	     109.6	     114.3	     85.86	     95.96	     96.04	     99.43	     117.7	     111.3	     97.48	     61.76	     78.70	     65.88	     67.50	     90.76	     66.04	     65.75	     63.96	     59.53	     51.86	     66.26	     54.47	     49.85	     31.66	     55.05	     57.49	     60.56	3104	0.008446231
      6912.74	0.029284	367484.0	971.0	754.0	5.93611	0.252934	    123.6	    120.9	    127.7	    125.7	    97.41	    104.8	    105.5	    119.7	    106.7	    97.84	     111.8	     116.5	     97.33	     69.74	     102.3	     101.6	     93.96	     105.1	     81.17	     84.38	     71.49	     62.87	     73.81	     60.95	     63.01	     70.85	     45.37	     65.67	     62.35	     65.24	     62.71	     47.84	     31.67	     41.74	     50.33	     49.26	3019	0.008215287
      6913.06	0.030025	376781.0	997.0	771.0	5.93467	0.257062	    99.91	    145.9	    124.4	    143.3	    97.45	    121.1	    96.91	    105.2	    113.9	    114.5	     122.0	     95.75	     102.5	     86.62	     92.98	     117.0	     118.7	     100.8	     85.23	     94.72	     76.73	     66.99	     73.85	     88.69	     65.02	     64.70	     57.77	     58.56	     69.51	     80.85	     66.84	     49.93	     39.90	     53.93	     51.31	     47.29	3191	0.008468852
      6913.37	0.032660	409872.0	1091.0	836.0	5.92875	0.266221	    152.9	    126.0	    131.8	    131.0	    104.9	    122.2	    119.3	    122.7	    133.5	    118.8	     116.8	     113.4	     91.01	     92.89	     91.86	     122.4	     108.4	     135.2	     90.38	     83.30	     62.13	     97.80	     76.93	     84.56	     70.12	     73.89	     50.50	     64.64	     71.59	     77.64	     75.09	     31.52	     45.99	     42.79	     66.65	     59.60	3360	0.008198165
      6913.68	0.032799	411602.0	1091.0	848.0	5.93296	0.251969	    139.4	    137.4	    122.6	    122.7	    133.7	    125.3	    85.60	    115.5	    110.8	    133.2	     129.4	     109.4	     104.7	     97.99	     102.2	     104.7	     108.3	     110.2	     96.70	     95.74	     78.72	     69.02	     81.05	     86.72	     71.17	     54.45	     59.79	     73.95	     62.25	     70.40	     63.65	     61.04	     46.97	     38.73	     58.48	     69.84	3332	0.008094886
      6913.99	0.030295	380192.0	1009.0	773.0	5.93172	0.266436	    120.8	    121.0	    128.7	    114.3	    115.1	    126.2	    101.5	    115.5	    108.7	    108.5	     136.7	     103.1	     94.07	     87.53	     86.81	     109.8	     132.1	     114.7	     83.11	     73.04	     85.04	     58.63	     74.81	     68.09	     79.42	     60.59	     55.68	     50.26	     68.43	     71.46	     64.69	     46.79	     39.83	     47.93	     57.50	     62.68	3173	0.008345839
      6914.30	0.029628	371810.0	989.0	773.0	5.92944	0.246415	    115.6	    121.8	    122.5	    121.5	    98.40	    104.6	    80.44	    109.3	    100.4	    113.4	     102.4	     83.27	     83.78	     75.21	     90.95	     107.9	     106.2	     110.3	     107.2	     70.00	     69.38	     72.13	     74.80	     84.59	     76.41	     51.37	     46.48	     57.41	     74.74	     51.81	     57.56	     53.93	     50.12	     34.63	     58.52	     57.45	2997	0.008059489
