# Diamond Light Source
# Instrument: B18-CORE XAS Date: Fri, 19 May 2017 17:34:02 BST
# Ring energy:   3.0
# Ring current - start: 300.5
# Primary slits:  vertical gap=  2.4; horizontal gap= 52.0; vertical offset=  0.4; horizontal offset= -1.0
# Secondary slits:  vertical gap=  5.0; horizontal gap= 23.0; vertical offset=  5.3; horizontal offset= -14.5
# OH Mirror Coating: Pt
# White beam filter: 140um PyC
# Crystal cut: Si(111)
# PostDCM slits:  vertical gap= 18.0; horizontal gap= 28.0; vertical offset= -9.1; horizontal offset= -16.5
# Experimental slits:  vertical gap= 40.0; horizontal gap= 45.0; vertical offset=  0.0; horizontal offset= -17.5
# HR Mirror : in; Y: -39.3; Pitch:  8.3; Coating: Pt
# Mirror 2: Pitch:  2.2; Height: -6.2; Yaw: -1.6; Bend:  0.8;
# I0 Stanford sensitivity: 100 nA/V Offsets: 1 pA
# It Stanford sensitivity: 200 nA/V Offsets: 1 pA
# Iref Stanford sensitivity: 20 nA/V Offsets: 1 pA
# Last ionchamber fill pressures (mBar) and gases: ionc1: 199.7656 (N2); ionc2: 170.8081 (Ar); ionc3: 173.5659 (Ar); ionc4: 0.0000 (None)
#
# Ascii output file name: 'Experiment_1/ascii/304408_FeBr2_DPBZ2_rxn_pos_colArow23-R_6.dat'
# Nexus output file: '/dls/b18/data/2017/sp15151-4/Experiment_1/nexus/304408_FeBr2_DPBZ2_rxn_pos_colArow23-R_6.nxs'
# XML folder and files:
# /dls/b18/data/2017/sp15151-4/xml/Experiment_1/
# QEXAFS_Parameters
# Detector_Parameters
# Sample_Parameters
# Output_Parameters
# The contents of these files are also stored in the nexus file.
#
# Sample name: FeBr2_DPBZ2_rxn_pos_colArow23-R
# Sample description: FeBr2_DPBZ2 plus Zn  reaction column A row 23 right side of row (Fe 1mMol)
# Additional comments: default additional comments
# command: qexafs_energy 6912.0 7712.0 2288 70.67 qexafs_counterTimer01 qexafs_xspress QexafsFFI0
#
#
# qexafs_energy	    time	      I0	   It	 Iref	 lnI0It	 lnItIref	Element_0	Element_1	Element_2	Element_3	Element_4	Element_5	Element_6	Element_7	Element_8	Element_9	Element_10	Element_11	Element_12	Element_13	Element_14	Element_15	Element_16	Element_17	Element_18	Element_19	Element_20	Element_21	Element_22	Element_23	Element_24	Element_25	Element_26	Element_27	Element_28	Element_29	Element_30	Element_31	Element_32	Element_33	Element_34	Element_35	  FF	 QexafsFFI0
      6911.50	0.033442	418549.0	435.0	735.0	6.86920	-0.524524	    105.4	    95.38	    94.72	    105.5	    75.24	    106.4	    70.34	    73.85	    85.30	    81.61	     105.0	     107.4	     67.74	     61.96	     61.55	     67.87	     74.78	     82.55	     62.92	     52.04	     51.32	     48.02	     53.50	     63.59	     63.49	     62.22	     45.01	     42.82	     56.47	     55.50	     55.10	     48.59	     29.49	     32.45	     50.03	     54.12	2449	0.005852117
      6911.81	0.032782	410401.0	428.0	713.0	6.86577	-0.510358	    105.3	    91.28	    96.85	    116.8	    76.27	    97.18	    91.06	    85.08	    81.13	    76.44	     74.97	     72.36	     63.70	     65.13	     85.09	     61.58	     74.76	     95.02	     48.39	     45.94	     45.18	     42.96	     50.43	     60.53	     55.24	     40.80	     41.91	     40.78	     47.39	     48.25	     47.98	     36.45	     32.51	     27.36	     31.63	     36.78	2291	0.005581157
      6912.12	0.030710	384436.0	402.0	688.0	6.86308	-0.537337	    84.64	    90.23	    83.45	    87.08	    88.75	    72.60	    60.03	    73.75	    72.95	    66.08	     89.50	     72.40	     69.93	     56.77	     69.67	     58.56	     60.47	     77.47	     63.85	     55.19	     59.50	     56.23	     62.83	     63.61	     47.08	     43.84	     42.95	     42.89	     47.34	     56.58	     40.81	     36.45	     27.43	     34.48	     29.60	     36.77	2182	0.005675269
      6912.43	0.029141	364775.0	379.0	640.0	6.86950	-0.523932	    65.00	    96.43	    100.9	    73.80	    80.37	    74.57	    63.17	    85.18	    73.90	    71.27	     87.31	     60.95	     64.69	     53.73	     62.54	     53.47	     59.48	     78.42	     51.47	     50.03	     42.07	     37.84	     57.68	     45.13	     38.91	     42.81	     28.61	     46.88	     37.06	     40.07	     39.77	     33.46	     24.39	     37.52	     40.79	     38.77	2039	0.005588382
      6912.74	0.029031	363402.0	376.0	639.0	6.87368	-0.530315	    116.7	    86.22	    89.64	    83.95	    90.71	    82.78	    75.56	    64.60	    76.02	    68.17	     63.66	     79.46	     60.60	     48.55	     55.31	     50.37	     56.41	     72.18	     66.99	     43.88	     51.32	     41.94	     55.54	     46.12	     46.05	     61.21	     42.94	     36.67	     40.11	     43.17	     42.87	     28.37	     28.46	     23.34	     28.60	     42.94	2091	0.005754924
      6913.06	0.031186	390444.0	398.0	678.0	6.88859	-0.532695	    91.87	    80.06	    83.45	    91.25	    90.74	    76.69	    71.37	    74.85	    92.65	    72.32	     64.72	     73.34	     64.77	     63.99	     65.55	     68.80	     91.24	     99.20	     59.65	     63.36	     47.19	     53.18	     57.77	     54.33	     63.45	     48.96	     40.92	     45.83	     54.50	     49.39	     54.11	     30.42	     27.41	     32.43	     39.82	     49.06	2289	0.005861621
      6913.37	0.031920	399613.0	416.0	704.0	6.86757	-0.526093	    109.4	    91.28	    93.72	    110.7	    84.57	    95.11	    71.37	    77.89	    71.93	    69.24	     83.24	     67.05	     75.99	     63.09	     68.68	     74.02	     76.85	     68.12	     64.84	     59.28	     47.19	     60.30	     70.08	     51.28	     49.16	     50.96	     42.97	     27.52	     48.30	     46.18	     43.88	     39.53	     36.54	     18.25	     36.74	     41.94	2287	0.005723543
      6913.68	0.033164	415172.0	433.0	728.0	6.86571	-0.519563	    75.43	    103.7	    103.1	    109.7	    95.89	    95.19	    84.00	    60.43	    79.13	    85.79	     77.02	     77.43	     68.82	     60.94	     70.69	     61.70	     72.74	     90.87	     80.39	     71.55	     56.47	     56.17	     49.40	     65.58	     60.51	     46.87	     54.16	     36.72	     55.55	     54.47	     60.25	     40.53	     38.58	     33.46	     32.64	     49.04	2415	0.005816618
      6913.99	0.030754	385000.0	399.0	679.0	6.87204	-0.531660	    85.73	    79.99	    102.1	    95.26	    97.07	    89.99	    79.70	    81.01	    92.50	    70.24	     84.26	     67.16	     66.74	     58.85	     68.64	     38.05	     81.05	     67.09	     61.84	     62.29	     54.41	     41.95	     56.74	     71.81	     48.18	     47.90	     33.75	     31.61	     42.12	     39.04	     42.86	     35.47	     27.43	     28.37	     54.11	     59.19	2244	0.005829834
      6914.30	0.029310	367013.0	391.0	663.0	6.84444	-0.528067	    81.58	    82.06	    94.73	    84.08	    75.27	    64.37	    86.90	    63.62	    74.02	    71.26	     75.09	     66.09	     67.77	     71.21	     64.60	     62.65	     72.85	     78.43	     55.63	     56.19	     43.11	     59.32	     61.86	     51.30	     45.05	     51.00	     44.99	     30.58	     51.47	     44.14	     31.61	     31.44	     41.68	     38.55	     28.55	     40.87	2144	0.005841574
      6914.62	0.030142	377325.0	396.0	659.0	6.85945	-0.509309	    78.41	    86.35	    62.87	    78.90	    77.40	    82.89	    59.96	    64.57	    71.85	    50.60	     81.15	     90.88	     64.74	     59.96	     59.56	     62.66	     67.73	     74.24	     64.88	     72.54	     37.97	     61.40	     58.71	     68.71	     37.89	     48.92	     38.83	     47.95	     48.40	     51.41	     46.98	     39.53	     34.57	     21.28	     37.77	     43.90	2136	0.005661854
      6914.93	0.030201	378145.0	395.0	661.0	6.86415	-0.514868	    83.60	    96.49	    80.46	    88.13	    74.27	    81.78	    72.41	    66.63	    67.82	    62.96	     86.30	     71.26	     67.79	     58.83	     51.26	     59.66	     58.44	     66.02	     61.73	     55.15	     41.07	     54.18	     62.92	     65.57	     41.98	     44.86	     31.68	     39.74	     38.06	     34.97	     44.91	     31.41	     21.35	     29.38	     38.78	     36.76	2069	0.005470410
      6915.24	0.030618	383322.0	400.0	663.0	6.86517	-0.505310	    89.90	    83.08	    94.77	    81.98	    66.04	    82.85	    70.40	    69.72	    86.32	    71.30	     84.32	     85.73	     69.78	     51.61	     66.64	     53.46	     89.32	     84.73	     64.90	     47.02	     49.31	     35.79	     61.88	     49.24	     43.01	     57.11	     34.76	     33.64	     41.16	     48.28	     43.89	     30.41	     34.57	     29.40	     38.77	     47.01	2172	0.005666427
      6915.55	0.031486	394303.0	415.0	709.0	6.85660	-0.535577	    78.42	    82.04	    90.68	    89.15	    78.46	    100.3	    90.12	    83.07	    83.13	    77.59	     75.01	     85.73	     68.84	     58.82	     57.46	     71.94	     85.16	     73.28	     67.03	     53.11	     45.14	     50.14	     57.69	     61.55	     57.35	     46.95	     38.85	     49.97	     55.55	     52.40	     35.75	     33.46	     19.31	     34.47	     33.66	     32.71	2254	0.005717118
      6915.86	0.031930	399771.0	415.0	690.0	6.87037	-0.508413	    82.57	    94.35	    101.1	    84.11	    77.41	    90.95	    84.78	    70.67	    96.52	    96.99	     95.59	     66.06	     59.56	     55.71	     60.49	     77.12	     69.75	     83.69	     52.49	     66.34	     34.85	     52.13	     57.72	     68.68	     36.86	     48.97	     40.87	     46.91	     39.04	     65.78	     51.04	     42.58	     28.46	     35.47	     49.94	     57.20	2323	0.005810192
      6916.18	0.030343	379904.0	394.0	674.0	6.87132	-0.536879	    97.03	    79.01	    101.0	    71.77	    86.62	    76.68	    73.51	    69.72	    61.60	    66.06	     86.36	     95.13	     70.84	     62.00	     60.50	     66.94	     67.70	     58.83	     51.41	     61.29	     43.16	     40.88	     56.67	     48.22	     51.16	     43.82	     27.60	     41.82	     45.19	     51.39	     42.90	     42.56	     37.61	     28.39	     36.70	     40.85	2143	0.005640709
      6916.49	0.029826	373400.0	386.0	659.0	6.87457	-0.534886	    66.02	    94.55	    98.06	    80.86	    91.85	    73.64	    73.55	    63.58	    70.88	    85.85	     70.96	     75.41	     61.62	     53.65	     69.82	     57.58	     62.58	     70.22	     61.74	     58.20	     56.53	     50.05	     56.65	     55.42	     41.97	     46.90	     33.74	     45.86	     55.62	     35.95	     34.73	     32.42	     26.44	     30.41	     39.80	     50.15	2133	0.005713091
      6916.80	0.030481	381659.0	400.0	682.0	6.86082	-0.533565	    78.48	    87.24	    78.25	    78.91	    86.63	    90.00	    80.77	    67.67	    84.32	    86.87	     68.91	     62.01	     66.74	     57.84	     64.70	     70.90	     64.62	     77.46	     60.77	     38.77	     53.45	     56.26	     44.34	     66.63	     66.58	     36.72	     35.80	     38.72	     38.04	     41.08	     59.24	     31.43	     30.45	     42.59	     32.64	     50.06	2176	0.005701142
      6917.11	0.030473	381549.0	396.0	679.0	6.87058	-0.539207	    101.3	    82.12	    80.41	    80.97	    79.34	    78.78	    66.31	    67.70	    70.87	    89.90	     85.35	     79.63	     66.71	     72.30	     57.43	     73.98	     65.65	     75.30	     48.44	     53.08	     58.61	     58.27	     53.61	     54.32	     41.96	     52.00	     38.86	     33.64	     52.44	     44.19	     31.64	     39.52	     38.61	     35.48	     32.62	     50.08	2191	0.005743607
