# Diamond Light Source
# Instrument: B18-CORE XAS Date: Fri, 19 May 2017 17:55:55 BST
# Ring energy:   3.0
# Ring current - start: 299.9
# Primary slits:  vertical gap=  2.4; horizontal gap= 52.0; vertical offset=  0.4; horizontal offset= -1.0
# Secondary slits:  vertical gap=  5.0; horizontal gap= 23.0; vertical offset=  5.3; horizontal offset= -14.5
# OH Mirror Coating: Pt
# White beam filter: 140um PyC
# Crystal cut: Si(111)
# PostDCM slits:  vertical gap= 18.0; horizontal gap= 28.0; vertical offset= -9.1; horizontal offset= -16.5
# Experimental slits:  vertical gap= 40.0; horizontal gap= 45.0; vertical offset=  0.0; horizontal offset= -17.5
# HR Mirror : in; Y: -39.3; Pitch:  8.3; Coating: Pt
# Mirror 2: Pitch:  2.2; Height: -6.2; Yaw: -1.6; Bend:  0.8;
# I0 Stanford sensitivity: 100 nA/V Offsets: 1 pA
# It Stanford sensitivity: 200 nA/V Offsets: 1 pA
# Iref Stanford sensitivity: 20 nA/V Offsets: 1 pA
# Last ionchamber fill pressures (mBar) and gases: ionc1: 199.7656 (N2); ionc2: 170.8081 (Ar); ionc3: 173.5659 (Ar); ionc4: 0.0000 (None)
#
# Ascii output file name: 'Experiment_1/ascii/304414_FeBr2_DPBZ2_rxn_pos_colCrow23_1.dat'
# Nexus output file: '/dls/b18/data/2017/sp15151-4/Experiment_1/nexus/304414_FeBr2_DPBZ2_rxn_pos_colCrow23_1.nxs'
# XML folder and files:
# /dls/b18/data/2017/sp15151-4/xml/Experiment_1/
# QEXAFS_Parameters
# Detector_Parameters
# Sample_Parameters
# Output_Parameters
# The contents of these files are also stored in the nexus file.
#
# Sample name: FeBr2_DPBZ2_rxn_pos_colCrow23
# Sample description: FeBr2_DPBZ2 plus Zn  reaction column C row 23 right side of row (Fe 1mMol)
# Additional comments: default additional comments
# command: qexafs_energy 6912.0 7712.0 2288 70.67 qexafs_counterTimer01 qexafs_xspress QexafsFFI0
#
#
# qexafs_energy	    time	      I0	   It	 Iref	 lnI0It	 lnItIref	Element_0	Element_1	Element_2	Element_3	Element_4	Element_5	Element_6	Element_7	Element_8	Element_9	Element_10	Element_11	Element_12	Element_13	Element_14	Element_15	Element_16	Element_17	Element_18	Element_19	Element_20	Element_21	Element_22	Element_23	Element_24	Element_25	Element_26	Element_27	Element_28	Element_29	Element_30	Element_31	Element_32	Element_33	Element_34	Element_35	  FF	 QexafsFFI0
      6911.50	0.033841	424571.0	436.0	665.0	6.88119	-0.422145	    66.51	    74.34	    67.41	    77.36	    58.26	    77.27	    62.48	    51.89	    43.82	    46.06	     60.17	     55.23	     53.03	     42.99	     41.72	     44.82	     51.90	     54.18	     38.83	     54.85	     40.79	     29.46	     49.05	     38.66	     35.60	     34.50	     53.94	     28.39	     34.71	     31.57	     27.41	     46.49	     22.27	     21.21	     33.47	     33.49	1684	0.003966747
      6911.81	0.032267	404840.0	420.0	639.0	6.87099	-0.419650	    62.48	    59.08	    59.25	    65.15	    69.60	    59.91	    41.98	    56.97	    40.77	    59.34	     58.15	     52.26	     63.24	     36.82	     46.83	     41.79	     48.84	     55.22	     48.00	     40.63	     36.71	     30.49	     44.93	     47.87	     44.79	     44.69	     29.49	     31.44	     32.67	     34.69	     26.40	     23.24	     23.28	     24.26	     18.27	     33.49	1593	0.003934905
      6912.12	0.030196	378855.0	381.0	599.0	6.90211	-0.452462	    64.45	    48.89	    59.27	    69.25	    54.17	    48.81	    38.90	    48.83	    42.85	    41.97	     36.67	     48.13	     51.03	     36.80	     48.85	     41.82	     34.61	     47.11	     34.73	     50.83	     37.72	     36.58	     35.75	     38.67	     39.72	     36.55	     34.59	     37.52	     21.41	     27.54	     37.58	     19.18	     20.25	     19.20	     29.40	     26.39	1446	0.003816873
      6912.43	0.029594	371366.0	382.0	597.0	6.87952	-0.446497	    61.32	    62.11	    58.27	    54.94	    51.13	    44.72	    51.23	    35.63	    50.98	    35.83	     60.20	     46.05	     38.76	     32.74	     39.72	     37.67	     46.87	     48.08	     45.96	     42.63	     32.64	     36.58	     23.49	     47.85	     38.69	     29.44	     30.52	     28.38	     24.47	     36.70	     39.66	     38.42	     13.18	     25.26	     25.37	     29.41	1445	0.003890806
      6912.74	0.028944	363166.0	364.0	574.0	6.90546	-0.455476	    47.01	    60.05	    53.14	    62.09	    60.33	    46.73	    39.95	    40.70	    39.73	    53.22	     48.90	     50.15	     44.84	     40.95	     36.65	     35.65	     42.77	     52.25	     42.88	     45.71	     29.58	     29.46	     22.48	     26.46	     41.74	     41.64	     20.36	     28.42	     36.74	     32.62	     38.59	     15.15	     31.40	     14.14	     29.42	     18.25	1400	0.003855401
      6913.06	0.030420	381694.0	390.0	599.0	6.88623	-0.429115	    51.16	    63.17	    65.45	    59.99	    37.83	    55.93	    52.24	    45.80	    47.93	    41.94	     49.96	     38.87	     46.86	     42.98	     47.87	     45.99	     52.93	     50.14	     44.94	     36.57	     25.48	     29.45	     40.83	     42.76	     37.67	     35.53	     38.65	     33.48	     31.64	     36.71	     32.49	     25.24	     28.34	     19.19	     23.34	     36.56	1496	0.003919133
      6913.37	0.032256	404761.0	424.0	645.0	6.86132	-0.419517	    59.36	    70.36	    60.27	    47.83	    53.21	    57.94	    55.30	    49.87	    62.21	    43.97	     55.02	     60.36	     55.09	     47.12	     41.75	     49.94	     42.76	     49.05	     45.98	     38.61	     45.91	     38.61	     33.71	     32.60	     31.53	     28.43	     29.51	     23.31	     32.62	     35.70	     29.48	     25.25	     26.35	     26.27	     25.37	     33.50	1544	0.003814917
      6913.68	0.032867	412435.0	421.0	652.0	6.88720	-0.437412	    65.50	    63.13	    75.58	    68.15	    58.27	    64.06	    59.44	    51.87	    52.00	    50.13	     64.23	     66.48	     44.90	     46.06	     39.73	     64.30	     49.89	     66.49	     47.00	     27.39	     17.35	     42.73	     35.77	     33.59	     31.54	     34.51	     37.67	     27.38	     30.60	     43.85	     30.46	     28.30	     28.37	     23.25	     31.47	     41.58	1643	0.003983674
      6913.99	0.030826	386795.0	394.0	609.0	6.88930	-0.435467	    55.26	    68.21	    61.39	    57.00	    56.21	    56.90	    34.79	    48.88	    45.88	    43.97	     53.99	     53.21	     47.92	     31.70	     45.79	     33.62	     47.86	     37.86	     47.02	     42.64	     35.72	     30.45	     44.91	     45.85	     25.46	     38.56	     28.46	     25.35	     36.78	     30.59	     38.64	     33.35	     27.36	     25.29	     33.47	     36.54	1507	0.003895813
      6914.30	0.028927	363021.0	375.0	568.0	6.87529	-0.415195	    48.06	    46.85	    57.19	    59.02	    55.24	    57.92	    34.83	    34.59	    37.70	    43.96	     48.92	     46.04	     55.03	     46.06	     47.85	     44.88	     35.65	     40.89	     45.96	     32.52	     36.71	     25.41	     32.72	     31.55	     29.52	     30.45	     27.47	     26.36	     31.61	     31.62	     24.37	     27.27	     28.35	     24.27	     31.47	     18.27	1377	0.003791946
