# Diamond Light Source
# Instrument: B18-CORE XAS Date: Fri, 19 May 2017 19:29:04 BST
# Ring energy:   3.0
# Ring current - start: 298.4
# Primary slits:  vertical gap=  2.4; horizontal gap= 52.0; vertical offset=  0.4; horizontal offset= -1.0
# Secondary slits:  vertical gap=  5.0; horizontal gap= 23.0; vertical offset=  5.3; horizontal offset= -14.5
# OH Mirror Coating: Pt
# White beam filter: 140um PyC
# Crystal cut: Si(111)
# PostDCM slits:  vertical gap= 18.0; horizontal gap= 28.0; vertical offset= -9.1; horizontal offset= -16.5
# Experimental slits:  vertical gap= 40.0; horizontal gap= 45.0; vertical offset=  0.0; horizontal offset= -17.5
# HR Mirror : in; Y: -39.3; Pitch:  8.3; Coating: Pt
# Mirror 2: Pitch:  2.2; Height: -6.2; Yaw: -1.6; Bend:  0.8;
# I0 Stanford sensitivity: 100 nA/V Offsets: 1 pA
# It Stanford sensitivity: 200 nA/V Offsets: 1 pA
# Iref Stanford sensitivity: 20 nA/V Offsets: 1 pA
# Last ionchamber fill pressures (mBar) and gases: ionc1: 199.7656 (N2); ionc2: 170.8081 (Ar); ionc3: 173.5659 (Ar); ionc4: 0.0000 (None)
#
# Ascii output file name: 'Experiment_1/ascii/304455_FeBr2_DPBZ2_rxn_pos_colE_posy_45_7.dat'
# Nexus output file: '/dls/b18/data/2017/sp15151-4/Experiment_1/nexus/304455_FeBr2_DPBZ2_rxn_pos_colE_posy_45_7.nxs'
# XML folder and files:
# /dls/b18/data/2017/sp15151-4/xml/Experiment_1/
# QEXAFS_Parameters
# Detector_Parameters
# Sample_Parameters
# Output_Parameters
# The contents of these files are also stored in the nexus file.
#
# Sample name: FeBr2_DPBZ2_rxn_pos_colE_posy_45
# Sample description: FeBr2_DPBZ2 plus Zn  reaction column D row 23 right side of y=45.26 (Fe 1mMol)
# Additional comments: default additional comments
# command: qexafs_energy 6912.0 7712.0 2288 70.67 qexafs_counterTimer01 qexafs_xspress QexafsFFI0
#
#
# qexafs_energy	    time	      I0	   It	 Iref	 lnI0It	 lnItIref	Element_0	Element_1	Element_2	Element_3	Element_4	Element_5	Element_6	Element_7	Element_8	Element_9	Element_10	Element_11	Element_12	Element_13	Element_14	Element_15	Element_16	Element_17	Element_18	Element_19	Element_20	Element_21	Element_22	Element_23	Element_24	Element_25	Element_26	Element_27	Element_28	Element_29	Element_30	Element_31	Element_32	Element_33	Element_34	Element_35	  FF	 QexafsFFI0
      6911.50	0.033598	419765.0	415.0	522.0	6.91917	-0.229389	    63.42	    58.04	    82.66	    59.00	    61.22	    59.89	    44.03	    43.74	    48.92	    63.44	     54.00	     46.00	     59.11	     35.84	     39.72	     43.88	     51.92	     52.18	     66.45	     51.80	     42.85	     42.70	     32.69	     41.69	     40.73	     38.60	     31.59	     25.38	     40.83	     42.81	     34.56	     34.37	     25.35	     19.21	     35.51	     27.38	1642	0.003910569
      6911.81	0.033101	413424.0	414.0	513.0	6.90636	-0.214410	    52.09	    69.24	    65.34	    52.89	    40.85	    54.87	    69.65	    44.78	    55.05	    63.43	     71.41	     56.27	     49.98	     47.11	     41.70	     56.12	     45.80	     42.93	     44.97	     37.62	     39.79	     37.58	     40.86	     42.73	     22.41	     41.68	     30.55	     23.34	     26.52	     35.68	     49.79	     35.37	     31.42	     28.31	     27.40	     38.56	1614	0.003904114
      6912.12	0.030235	377627.0	374.0	463.0	6.91741	-0.213471	    64.48	    53.95	    59.22	    63.08	    64.30	    43.67	    55.31	    46.79	    51.99	    46.01	     64.26	     47.02	     44.88	     40.88	     45.82	     56.13	     32.56	     50.06	     44.94	     29.46	     31.61	     36.61	     40.87	     38.69	     35.66	     32.54	     28.52	     27.40	     31.65	     30.56	     43.72	     25.25	     26.36	     29.32	     22.33	     37.55	1523	0.004034348
      6912.43	0.029163	364267.0	363.0	440.0	6.91124	-0.192372	    48.04	    45.78	    53.09	    54.92	    40.85	    52.77	    44.04	    40.69	    55.04	    52.15	     59.15	     51.10	     49.93	     35.80	     36.68	     33.64	     51.94	     47.01	     46.98	     37.57	     32.67	     33.55	     30.64	     26.45	     24.42	     35.57	     30.55	     21.32	     27.54	     24.47	     21.33	     29.33	     21.30	     20.22	     25.36	     26.37	1368	0.003756167
      6912.74	0.029083	363292.0	359.0	439.0	6.91964	-0.201177	    55.21	    61.11	    70.39	    54.92	    50.04	    52.76	    42.00	    42.76	    48.91	    50.17	     61.16	     50.05	     52.03	     41.94	     46.84	     45.93	     40.70	     54.18	     44.95	     55.91	     26.51	     45.78	     25.56	     36.63	     43.80	     40.60	     29.55	     26.37	     14.27	     29.57	     27.41	     31.37	     23.32	     17.18	     26.37	     28.39	1495	0.004114193
      6913.06	0.029890	373387.0	371.0	475.0	6.91417	-0.247113	    52.15	    48.84	    55.14	    50.88	    53.10	    43.65	    49.12	    51.89	    59.09	    40.89	     50.97	     51.13	     41.76	     33.72	     35.65	     41.82	     51.85	     46.98	     36.80	     41.64	     38.78	     42.71	     37.75	     38.66	     39.71	     34.53	     25.45	     30.46	     30.63	     26.49	     28.46	     26.29	     28.40	     27.29	     31.46	     27.38	1452	0.003887480
      6913.37	0.032517	406129.0	402.0	492.0	6.91797	-0.202027	    70.55	    42.77	    73.49	    56.98	    52.09	    56.86	    47.10	    49.82	    62.25	    44.01	     42.83	     41.93	     50.97	     49.14	     43.81	     40.81	     69.20	     42.95	     55.17	     45.73	     41.81	     40.67	     38.79	     39.69	     51.93	     28.44	     28.49	     41.64	     37.77	     32.60	     37.58	     31.34	     23.29	     24.26	     32.49	     28.41	1598	0.003933867
      6913.68	0.033210	414854.0	417.0	506.0	6.90260	-0.193450	    57.23	    53.93	    62.30	    60.06	    55.14	    48.71	    57.37	    56.94	    56.03	    38.89	     50.94	     72.59	     38.74	     34.81	     41.76	     52.03	     50.85	     59.24	     39.84	     38.62	     37.75	     43.68	     44.88	     38.66	     45.82	     38.63	     26.46	     35.51	     31.66	     36.67	     36.61	     33.36	     28.37	     21.23	     29.42	     22.31	1577	0.003801515
      6913.99	0.030864	385501.0	384.0	477.0	6.91166	-0.216874	    58.27	    49.89	    68.36	    60.03	    51.05	    45.64	    50.15	    39.69	    53.00	    60.39	     52.00	     43.96	     47.92	     36.82	     45.82	     41.85	     49.88	     49.08	     48.02	     30.48	     29.61	     39.67	     40.88	     45.84	     28.50	     39.63	     36.65	     23.34	     37.77	     36.71	     26.41	     27.29	     34.45	     20.21	     17.26	     27.37	1494	0.003875248
      6914.30	0.029674	370646.0	377.0	461.0	6.89076	-0.201153	    57.27	    57.02	    57.12	    54.96	    45.92	    43.67	    44.02	    53.99	    66.32	    45.05	     49.93	     36.77	     45.89	     28.64	     48.90	     39.79	     46.83	     46.04	     37.80	     48.80	     28.57	     30.51	     34.72	     29.50	     28.53	     34.54	     35.65	     21.29	     26.52	     35.68	     21.36	     34.38	     31.44	     14.15	     28.40	     36.52	1426	0.003848643
