# Diamond Light Source
# Instrument: B18-CORE XAS Date: Sat, 30 Jul 2016 05:21:42 BST
# Ring energy:   3.0
# Ring current - start: 301.1
# Primary slits:  vertical gap=  2.4; horizontal gap= 52.0; vertical offset=  0.4; horizontal offset= -1.0
# Secondary slits:  vertical gap=  5.0; horizontal gap= 23.0; vertical offset=  5.3; horizontal offset= -14.5
# OH Mirror Coating: Pt
# White beam filter: 140um PyC
# Crystal cut: Si(111)
# PostDCM slits:  vertical gap= 18.0; horizontal gap= 28.0; vertical offset= -9.1; horizontal offset= -16.5
# Experimental slits:  vertical gap= 30.0; horizontal gap= 45.0; vertical offset=  5.0; horizontal offset= -17.5
# HR Mirror : in; Y: -39.2; Pitch:  8.3; Coating: Pt
# Mirror 2: Pitch:  2.2; Height: -6.3; Yaw: -1.5; Bend:  0.8;
# I0 Stanford sensitivity: 100 nA/V Offsets: 20 pA
# It Stanford sensitivity: 20 nA/V Offsets: 1 pA
# Iref Stanford sensitivity: 5 nA/V Offsets: 1 pA
#
# Ascii output file name: 'Fe//ascii/264095_FeBr3_10.dat'
# Nexus output file: '/dls/b18/data/2016/sp10306-9/Fe//nexus/264095_FeBr3_10.nxs'
# XML folder and files:
# /dls/b18/data/2016/sp10306-9/xml/Fe/
# QEXAFS_Parameters
# Sample_Parameters
# Detector_Parameters
# Output_Parameters
# The contents of these files are also stored in the nexus file.
#
# Sample name: FeBr3
# Sample description: FeBr3
# Additional comments: default additional comments
# command: qexafs_energy 6912.0 8062.0 3286 242.57 qexafs_counterTimer01 qexafs_xspress QexafsFFI0
#
#
# qexafs_energy	    time	      I0	     It	   Iref	 lnI0It	lnItIref	Element0	Element1	Element2	Element3	Element4	Element5	Element6	Element7	Element8	    FF	 QexafsFFI0
      6906.93	0.075720	811889.0	77608.0	17642.0	2.34769	 1.48139	   19.18	    5.03	   14.09	    3.02	   28.52	   27.36	   41.88	   23.28	   18.23	180.60	0.000222443
      6907.23	0.071063	761871.0	72844.0	16598.0	2.34746	 1.47904	   16.14	    2.01	   17.11	   12.08	   32.61	   21.28	   39.85	   28.36	   27.34	196.79	0.000258296
      6907.52	0.071569	767439.0	73422.0	16735.0	2.34684	 1.47872	   25.23	    5.03	    8.06	   11.08	   32.64	   21.29	   36.80	   20.26	   22.28	182.66	0.000238016
      6907.82	0.072375	776128.0	74386.0	17002.0	2.34505	 1.47594	   12.11	    9.05	   11.08	   12.09	   36.70	   26.37	   36.78	   15.19	   26.33	185.69	0.000239246
      6908.12	0.075137	805871.0	77219.0	17581.0	2.34528	 1.47983	   13.13	    5.03	    8.05	    9.06	   29.55	   23.31	   36.76	   18.22	   29.39	172.50	0.000214049
      6908.42	0.070101	751416.0	72003.0	16440.0	2.34525	 1.47699	   19.18	    6.03	   10.07	    4.03	   30.58	   23.33	   32.70	   15.19	   23.30	164.41	0.000218797
      6908.71	0.078767	843872.0	80938.0	18486.0	2.34432	 1.47667	   15.13	    7.04	   11.08	   22.16	   31.60	   26.36	   28.60	   15.19	   23.29	180.45	0.000213840
      6909.01	0.074740	800674.0	76876.0	17553.0	2.34326	 1.47697	   17.16	   10.06	   10.07	   10.07	   37.69	   22.30	   35.79	   17.21	   32.44	192.77	0.000240759
      6909.31	0.072640	778248.0	74694.0	17080.0	2.34365	 1.47549	   20.20	    4.02	   16.11	    7.05	   22.43	   32.45	   58.28	   15.18	   25.32	201.05	0.000258334
      6909.61	0.065620	703586.0	67649.0	15474.0	2.34186	 1.47517	   25.24	    4.02	    9.06	    7.05	   30.59	   13.18	   28.60	   10.13	   26.33	154.20	0.000219162
