# Diamond Light Source
# Instrument: B18-CORE XAS Date: Fri, 19 May 2017 16:37:59 BST
# Ring energy:   3.0
# Ring current - start: 298.8
# Primary slits:  vertical gap=  2.4; horizontal gap= 52.0; vertical offset=  0.4; horizontal offset= -1.0
# Secondary slits:  vertical gap=  5.0; horizontal gap= 23.0; vertical offset=  5.3; horizontal offset= -14.5
# OH Mirror Coating: Pt
# White beam filter: 140um PyC
# Crystal cut: Si(111)
# PostDCM slits:  vertical gap= 18.0; horizontal gap= 28.0; vertical offset= -9.1; horizontal offset= -16.5
# Experimental slits:  vertical gap= 40.0; horizontal gap= 45.0; vertical offset=  0.0; horizontal offset= -17.5
# HR Mirror : in; Y: -39.3; Pitch:  8.3; Coating: Pt
# Mirror 2: Pitch:  2.2; Height: -6.2; Yaw: -1.6; Bend:  0.8;
# I0 Stanford sensitivity: 100 nA/V Offsets: 1 pA
# It Stanford sensitivity: 200 nA/V Offsets: 1 pA
# Iref Stanford sensitivity: 20 nA/V Offsets: 1 pA
# Last ionchamber fill pressures (mBar) and gases: ionc1: 199.7656 (N2); ionc2: 170.8081 (Ar); ionc3: 173.5659 (Ar); ionc4: 0.0000 (None)
#
# Ascii output file name: 'Experiment_1/ascii/304377_FeBr2_DPBZ2_rxn_pos_colArow1-R_3.dat'
# Nexus output file: '/dls/b18/data/2017/sp15151-4/Experiment_1/nexus/304377_FeBr2_DPBZ2_rxn_pos_colArow1-R_3.nxs'
# XML folder and files:
# /dls/b18/data/2017/sp15151-4/xml/Experiment_1/
# QEXAFS_Parameters
# Detector_Parameters
# Sample_Parameters
# Output_Parameters
# The contents of these files are also stored in the nexus file.
#
# Sample name: FeBr2_DPBZ2_rxn_pos_colArow1-R
# Sample description: FeBr2_DPBZ2 plus Zn  reaction column A row 1 right side of row (Fe 1mMol)
# Additional comments: default additional comments
# command: qexafs_energy 6912.0 7712.0 2288 70.67 qexafs_counterTimer01 qexafs_xspress QexafsFFI0
#
#
# qexafs_energy	    time	      I0	    It	 Iref	 lnI0It	lnItIref	Element_0	Element_1	Element_2	Element_3	Element_4	Element_5	Element_6	Element_7	Element_8	Element_9	Element_10	Element_11	Element_12	Element_13	Element_14	Element_15	Element_16	Element_17	Element_18	Element_19	Element_20	Element_21	Element_22	Element_23	Element_24	Element_25	Element_26	Element_27	Element_28	Element_29	Element_30	Element_31	Element_32	Element_33	Element_34	Element_35	  FF	 QexafsFFI0
      6911.50	0.033472	419334.0	1091.0	861.0	5.95157	0.236755	    135.2	    162.2	    125.4	    136.1	    112.0	    128.2	    128.5	    118.9	    110.6	    120.8	     103.5	     112.3	     104.5	     93.87	     94.02	     114.1	     144.5	     131.2	     95.53	     79.23	     71.46	     74.16	     102.8	     79.42	     78.46	     80.08	     63.91	     54.36	     66.41	     73.60	     68.92	     68.18	     49.07	     39.72	     64.66	     62.71	3449	0.008224107
      6911.81	0.033512	419925.0	1092.0	856.0	5.95207	0.243496	    147.6	    141.6	    152.8	    142.3	    128.7	    114.9	    111.7	    115.7	    133.5	    102.9	     131.6	     135.2	     85.86	     86.41	     97.08	     99.62	     121.8	     123.9	     107.0	     82.20	     74.63	     62.72	     94.68	     81.56	     71.22	     83.25	     70.20	     59.55	     74.74	     86.91	     60.67	     55.99	     59.32	     57.02	     69.71	     58.59	3483	0.008294323
      6912.12	0.030617	383525.0	999.0	782.0	5.95041	0.244900	    127.7	    123.0	    125.7	    144.5	    97.54	    123.1	    88.65	    130.1	    97.34	    109.3	     97.18	     96.77	     88.99	     89.76	     87.75	     100.5	     113.6	     91.62	     78.93	     93.63	     69.46	     65.95	     84.30	     75.29	     57.76	     81.15	     62.95	     60.52	     74.70	     82.94	     55.49	     45.82	     44.96	     46.82	     65.78	     69.81	3149	0.008211758
      6912.43	0.029407	368413.0	963.0	749.0	5.94691	0.251314	    118.5	    149.0	    117.4	    118.7	    117.4	    106.8	    112.7	    120.8	    116.9	    110.3	     119.9	     91.51	     95.18	     91.62	     95.00	     105.7	     92.94	     106.2	     82.07	     84.37	     74.65	     60.72	     74.84	     86.54	     64.95	     49.34	     44.41	     64.69	     65.42	     71.46	     58.58	     61.06	     54.19	     39.69	     54.44	     63.71	3142	0.008527215
      6912.74	0.029445	368929.0	960.0	749.0	5.95143	0.248194	    126.9	    135.4	    136.0	    123.7	    106.8	    94.38	    97.19	    112.4	    128.5	    106.3	     110.7	     110.3	     86.88	     86.49	     62.96	     100.5	     82.62	     107.1	     92.48	     81.31	     73.56	     84.56	     86.25	     75.33	     80.43	     60.61	     58.86	     50.29	     65.34	     79.79	     52.41	     52.88	     30.63	     38.71	     53.43	     57.55	3090	0.008374303
      6913.06	0.030751	385313.0	1009.0	784.0	5.94510	0.252306	    122.6	    134.5	    133.9	    138.3	    105.9	    114.9	    121.0	    111.5	    120.2	    129.2	     101.3	     105.1	     96.12	     87.51	     94.97	     99.52	     94.95	     119.7	     94.49	     85.26	     77.85	     83.50	     72.81	     95.96	     60.89	     76.06	     63.90	     58.49	     61.25	     90.06	     73.09	     50.87	     30.65	     42.72	     58.58	     54.42	3262	0.008466102
      6913.37	0.031913	399835.0	1039.0	825.0	5.95279	0.230631	    143.4	    112.6	    130.8	    125.9	    116.2	    128.4	    100.2	    109.4	    114.9	    103.0	     124.2	     112.4	     106.5	     87.65	     104.4	     104.7	     101.1	     119.6	     101.9	     80.26	     83.99	     56.59	     98.87	     83.52	     96.07	     82.21	     62.95	     81.16	     70.48	     76.71	     61.71	     62.10	     52.08	     45.83	     66.79	     69.81	3378	0.008449311
      6913.68	0.032552	407838.0	1065.0	828.0	5.94790	0.251717	    125.7	    144.6	    150.5	    142.2	    116.3	    136.6	    118.0	    111.5	    114.9	    114.7	     97.15	     130.9	     95.26	     92.77	     103.3	     88.10	     107.5	     134.3	     113.4	     77.25	     70.57	     79.23	     73.83	     88.76	     54.66	     88.41	     64.00	     57.47	     75.72	     73.52	     66.78	     61.06	     42.92	     45.85	     61.53	     77.04	3396	0.008327285
      6913.99	0.030323	379910.0	992.0	780.0	5.94797	0.240429	    135.3	    135.4	    139.2	    126.8	    111.0	    112.7	    95.96	    103.2	    113.9	    96.82	     125.2	     127.0	     88.94	     108.4	     78.43	     80.80	     114.6	     115.5	     72.75	     74.05	     64.40	     76.33	     83.29	     76.29	     69.07	     74.99	     52.62	     65.67	     66.50	     85.94	     76.09	     46.84	     50.12	     38.70	     63.67	     60.60	3207	0.008441366
      6914.30	0.029640	371360.0	975.0	757.0	5.94249	0.253074	    136.3	    122.9	    102.7	    110.3	    104.8	    127.2	    100.2	    84.50	    98.26	    104.1	     108.6	     121.7	     97.12	     71.02	     108.5	     90.18	     93.87	     106.1	     95.52	     84.31	     65.30	     55.63	     85.15	     85.69	     60.90	     68.75	     63.82	     54.43	     67.46	     57.98	     43.14	     42.72	     51.05	     41.75	     57.47	     53.46	3023	0.008140065
