[Measurement conditions]		
Sample identification	Red	
Comment - 1	"Configuration=Anton Paar XRK-900, Owner=User-1, Creation date=2/4/2004 2:42:16 PM"	
Comment - 2	Goniometer=PW3050/60 (Theta/Theta); Minimum step size 2Theta:0.001; Minimum step size Omega:0.001	
Comment - 3	Sample stage=Anton Paar XRK-900	
Comment - 4	Diffractometer system=XPERT-PRO	
Comment - 5	"Measurement program=Cristina_CO2, Owner=User-1, Creation date=9/11/2015 4:13:06 PM"	
Anode material	Cu	
K-Alpha1 wavelength	1.540598	
K-Alpha2 wavelength	1.544426	
Ratio K-Alpha2/K-Alpha1	0.5	
Divergence slit	Fixed	0.76mm
Monochromator used	NO	
Generator voltage	40	
Tube current	40	
File date and time	16/09/2015 04:57	
Unit cell		
h k l	 0 0 0	
Temperature [K]	493	
Scan axis	Gonio	
Scan range	15	90.00017517
Scan step size	0.0167113	
No. of points	4488	
Scan type	CONTINUOUS	
Time per step	99.695	
[Scan points]		
Angle	Intensity	
15.00835563	566	
15.0250669	592	
15.04177817	607	
15.05848944	597	
15.07520071	598	
15.09191198	607	
15.10862324	593	
15.12533451	607	
15.14204578	601	
15.15875705	650	
15.17546832	600	
15.19217959	602	
15.20889086	636	
15.22560213	579	
15.2423134	627	
15.25902467	591	
15.27573593	560	
15.2924472	652	
15.30915847	557	
15.32586974	623	
15.34258101	561	
15.35929228	610	
15.37600355	601	
15.39271482	602	
15.40942609	629	
15.42613735	617	
15.44284862	558	
15.45955989	574	
15.47627116	600	
15.49298243	601	
15.5096937	574	
15.52640497	625	
15.54311624	577	
15.55982751	571	
15.57653878	566	
15.59325004	615	
15.60996131	603	
15.62667258	634	
15.64338385	632	
15.66009512	584	
15.67680639	550	
15.69351766	626	
15.71022893	584	
15.7269402	587	
15.74365147	602	
15.76036273	653	
15.777074	618	
15.79378527	580	
15.81049654	599	
15.82720781	557	
15.84391908	588	
15.86063035	594	
15.87734162	598	
15.89405289	598	
15.91076416	586	
15.92747542	579	
15.94418669	593	
15.96089796	591	
15.97760923	599	
15.9943205	594	
16.01103177	604	
16.02774304	588	
16.04445431	586	
16.06116558	616	
16.07787685	607	
16.09458811	595	
16.11129938	536	
16.12801065	641	
16.14472192	611	
16.16143319	607	
16.17814446	566	
16.19485573	569	
16.211567	550	
16.22827827	561	
16.24498953	582	
16.2617008	573	
16.27841207	553	
16.29512334	588	
16.31183461	629	
16.32854588	579	
16.34525715	543	
16.36196842	597	
16.37867969	570	
16.39539096	610	
16.41210222	558	
16.42881349	544	
16.44552476	574	
16.46223603	589	
16.4789473	583	
16.49565857	587	
16.51236984	575	
16.52908111	569	
16.54579238	544	
16.56250365	582	
16.57921491	599	
16.59592618	574	
16.61263745	571	
16.62934872	615	
16.64605999	578	
16.66277126	516	
16.67948253	557	
16.6961938	591	
16.71290507	599	
16.72961634	592	
16.7463276	571	
16.76303887	588	
16.77975014	553	
16.79646141	554	
16.81317268	563	
16.82988395	567	
16.84659522	590	
16.86330649	556	
16.88001776	562	
16.89672903	561	
16.91344029	531	
16.93015156	543	
16.94686283	621	
16.9635741	556	
16.98028537	547	
16.99699664	533	
17.01370791	536	
17.03041918	558	
17.04713045	589	
17.06384171	583	
17.08055298	571	
17.09726425	639	
17.11397552	536	
17.13068679	545	
17.14739806	573	
17.16410933	569	
17.1808206	524	
17.19753187	587	
17.21424314	566	
17.2309544	603	
17.24766567	557	
17.26437694	563	
