# Diamond Light Source
# Instrument: B18-CORE XAS Date: Thu, 27 Nov 2014 10:22:21 GMT
# Ring energy:   3.0
# Ring current - start: 233.7
# Primary slits:  vertical gap=  2.4; horizontal gap= 52.0; vertical offset=  0.6; horizontal offset= -1.0
# Secondary slits:  vertical gap=  3.5; horizontal gap= 19.0; vertical offset=  5.3; horizontal offset= -14.5
# OH Mirror Coating: Pt
# White beam filter: 0.9mm PyC
# Crystal cut: Si(311)
# PostDCM slits:  vertical gap=  5.0; horizontal gap= 28.0; vertical offset= -8.2; horizontal offset= -17.0
# Experimental slits:  vertical gap=  8.0; horizontal gap= 40.0; vertical offset= -4.0; horizontal offset= -20.0
# HR Mirror : out; Y: 38.0; Pitch:  8.6; Coating: Pt
# Mirror 2: Pitch:  2.3; Height: -7.7; Yaw: -1.6; Bend:  0.8;
# I0 Stanford sensitivity: 200 nA/V Offsets: 100 pA
# It Stanford sensitivity: 100 nA/V Offsets: 1 pA
# Iref Stanford sensitivity: 50 nA/V Offsets: 1 pA
#
# Ascii output file name: 'Experiment_1//ascii/172092_MoOx_Al2O3_2.dat'
# Nexus output file: '/dls/b18/data/2014/sp10306-1/Experiment_1//nexus/172092_MoOx_Al2O3_2.nxs'
# XML folder and files:
# /dls/b18/data/2014/sp10306-1/xml/Experiment_1/
# QEXAFS_Parameters
# Sample_Parameters
# Detector_Parameters
# Output_Parameters
# The contents of these files are also stored in the nexus file.
#
# Sample name: MoOx_Al2O3
# Sample description: MoOx_Al2O3
# Additional comments: default additional comments
# command: qexafs_energy 19800.0 20850.0 2100 56.15 qexafs_counterTimer01
#
#
# qexafs_energy	    time	    I0	    It	  Iref	   lnI0It	lnItIref
     19800.24	0.026233	7887.0	7612.0	3685.0	0.0354899	0.725455
     19800.71	0.027210	8185.0	7903.0	3825.0	0.0350608	0.725684
     19801.18	0.026829	8109.0	7827.0	3788.0	0.0353953	0.725741
     19801.66	0.023757	7135.0	6885.0	3333.0	0.0356671	0.725472
     19802.13	0.024924	7516.0	7258.0	3512.0	0.0349298	0.725919
     19802.61	0.026491	7986.0	7708.0	3731.0	0.0354313	0.725582
     19803.08	0.027042	8156.0	7877.0	3814.0	0.0348067	0.725269
     19803.56	0.027343	8148.0	7864.0	3807.0	0.0354771	0.725454
     19804.03	0.026201	7788.0	7519.0	3641.0	0.0351509	0.725175
     19804.51	0.025788	7738.0	7472.0	3619.0	0.0349806	0.724965
     19804.98	0.026243	7920.0	7652.0	3705.0	0.0344242	0.725284
     19805.45	0.027480	8317.0	8035.0	3890.0	0.0344946	0.725398
     19805.93	0.025947	7772.0	7504.0	3636.0	0.0350913	0.724552
     19806.40	0.026183	7836.0	7571.0	3667.0	0.0344033	0.724951
     19806.88	0.025914	7775.0	7512.0	3640.0	0.0344117	0.724518
     19807.35	0.027756	8321.0	8041.0	3896.0	0.0342290	0.724603
     19807.83	0.025639	7760.0	7504.0	3635.0	0.0335461	0.724827
     19808.30	0.026129	7916.0	7655.0	3707.0	0.0335270	0.725136
     19808.78	0.027648	8303.0	8023.0	3889.0	0.0343045	0.724160
     19809.25	0.026575	7992.0	7726.0	3743.0	0.0338498	0.724704
     19809.73	0.025316	7606.0	7350.0	3563.0	0.0342371	0.724097
     19810.20	0.028901	8687.0	8399.0	4070.0	0.0337150	0.724470
     19810.67	0.028794	8625.0	8336.0	4044.0	0.0340815	0.723349
     19811.15	0.027402	8230.0	7960.0	3858.0	0.0333570	0.724280
     19811.62	0.027109	8130.0	7861.0	3812.0	0.0336471	0.723760
     19812.10	0.027336	8181.0	7910.0	3836.0	0.0336866	0.723698
     19812.57	0.027531	8269.0	8001.0	3880.0	0.0329470	0.723731
     19813.05	0.027452	8219.0	7950.0	3855.0	0.0332766	0.723801
     19813.52	0.026635	7990.0	7727.0	3747.0	0.0334701	0.723765
     19814.00	0.025993	7838.0	7583.0	3678.0	0.0330748	0.723540
     19814.47	0.026879	8100.0	7837.0	3801.0	0.0330080	0.723592
     19814.95	0.027217	8209.0	7946.0	3854.0	0.0325625	0.723557
     19815.42	0.026414	7920.0	7664.0	3717.0	0.0328572	0.723617
     19815.90	0.026689	8012.0	7755.0	3762.0	0.0326026	0.723387
     19816.37	0.027539	8268.0	8005.0	3887.0	0.0323263	0.722429
     19816.85	0.026630	8025.0	7769.0	3769.0	0.0324202	0.723332
     19817.32	0.026345	7952.0	7698.0	3737.0	0.0324629	0.722677
     19817.80	0.026653	8033.0	7778.0	3776.0	0.0322588	0.722634
     19818.27	0.024082	7254.0	7024.0	3407.0	0.0322202	0.723501
     19818.75	0.024423	7355.0	7121.0	3458.0	0.0323322	0.722358
     19819.22	0.024097	7169.0	6940.0	3370.0	0.0324644	0.722389
     19819.70	0.026970	8059.0	7806.0	3790.0	0.0318968	0.722527
     19820.17	0.025637	7721.0	7478.0	3631.0	0.0319785	0.722457
     19820.65	0.025834	7770.0	7527.0	3654.0	0.0317736	0.722674
