# Diamond Light Source
# Instrument: B18-CORE XAS Date: Thu, 27 Nov 2014 12:17:54 GMT
# Ring energy:   3.0
# Ring current - start: 232.3
# Primary slits:  vertical gap=  2.4; horizontal gap= 52.0; vertical offset=  0.6; horizontal offset= -1.0
# Secondary slits:  vertical gap=  3.5; horizontal gap= 19.0; vertical offset=  5.3; horizontal offset= -14.5
# OH Mirror Coating: Pt
# White beam filter: 0.9mm PyC
# Crystal cut: Si(311)
# PostDCM slits:  vertical gap=  5.0; horizontal gap= 28.0; vertical offset= -8.2; horizontal offset= -17.0
# Experimental slits:  vertical gap=  8.0; horizontal gap= 40.0; vertical offset= -4.0; horizontal offset= -20.0
# HR Mirror : out; Y: 38.0; Pitch:  8.6; Coating: Pt
# Mirror 2: Pitch:  2.3; Height: -7.7; Yaw: -1.6; Bend:  0.8;
# I0 Stanford sensitivity: 200 nA/V Offsets: 100 pA
# It Stanford sensitivity: 100 nA/V Offsets: 1 pA
# Iref Stanford sensitivity: 50 nA/V Offsets: 1 pA
#
# Ascii output file name: 'Experiment_1//ascii/172184_MoOx_Al2O3_actif_89.dat'
# Nexus output file: '/dls/b18/data/2014/sp10306-1/Experiment_1//nexus/172184_MoOx_Al2O3_actif_89.nxs'
# XML folder and files:
# /dls/b18/data/2014/sp10306-1/xml/Experiment_1/
# QEXAFS_Parameters
# Sample_Parameters
# Detector_Parameters
# Output_Parameters
# The contents of these files are also stored in the nexus file.
#
# Sample name: MoOx_Al2O3_actif
# Sample description: MoOx_Al2O3_actif
# Additional comments: default additional comments
# command: qexafs_energy 19800.0 20850.0 2100 56.15 qexafs_counterTimer01
#
#
# qexafs_energy	    time	    I0	    It	  Iref	   lnI0It	lnItIref
     19800.24	0.026384	6729.0	6466.0	3177.0	0.0398689	0.710620
     19800.71	0.025161	6423.0	6171.0	3033.0	0.0400244	0.710309
     19801.18	0.025315	6434.0	6182.0	3038.0	0.0399546	0.710442
     19801.66	0.025553	6480.0	6227.0	3062.0	0.0398258	0.709826
     19802.13	0.026662	6769.0	6504.0	3198.0	0.0399360	0.709892
     19802.61	0.026868	6849.0	6583.0	3235.0	0.0396121	0.710462
     19803.08	0.025519	6457.0	6207.0	3053.0	0.0394871	0.709553
     19803.56	0.027825	7065.0	6788.0	3338.0	0.0399967	0.709785
     19804.03	0.025965	6575.0	6319.0	3109.0	0.0397136	0.709260
     19804.51	0.026463	6759.0	6499.0	3198.0	0.0392266	0.709123
     19804.98	0.027539	7036.0	6764.0	3329.0	0.0394254	0.708942
     19805.45	0.025951	6589.0	6335.0	3119.0	0.0393118	0.708577
     19805.93	0.025464	6481.0	6232.0	3067.0	0.0391775	0.708997
     19806.40	0.026629	6669.0	6411.0	3155.0	0.0394547	0.709027
     19806.88	0.028721	7238.0	6957.0	3425.0	0.0395966	0.708647
     19807.35	0.026327	6649.0	6391.0	3146.0	0.0395757	0.708759
     19807.83	0.025269	6370.0	6127.0	3016.0	0.0388942	0.708774
     19808.30	0.027002	6821.0	6561.0	3229.0	0.0388631	0.708971
     19808.78	0.027497	6999.0	6732.0	3314.0	0.0388950	0.708716
     19809.25	0.025712	6555.0	6304.0	3105.0	0.0390438	0.708171
     19809.73	0.026927	6884.0	6621.0	3261.0	0.0389535	0.708213
     19810.20	0.028709	7339.0	7066.0	3479.0	0.0379080	0.708550
     19810.67	0.027897	7047.0	6776.0	3337.0	0.0392150	0.708315
     19811.15	0.027449	6887.0	6626.0	3263.0	0.0386343	0.708354
     19811.62	0.027180	6797.0	6540.0	3219.0	0.0385442	0.708866
     19812.10	0.027436	6966.0	6705.0	3303.0	0.0381877	0.708022
     19812.57	0.026349	6704.0	6453.0	3181.0	0.0381592	0.707350
